sampleID	MouseID	Genotype	Sex	Injury	Treatment	Timepoint	Project
Villapol_234_B	234	WT	M	CCI	PAN	Baseline	PAN
Villapol_236_B	236	WT	M	CCI	PAN	Baseline	PAN
Villapol_237_B	237	WT	M	CCI	PAN	Baseline	PAN
Villapol_238_B	238	WT	M	CCI	PAN	Baseline	PAN
Villapol_239_B	239	WT	M	CCI	PAN	Baseline	PAN
Villapol_240_B	240	WT	M	CCI	PAN	Baseline	PAN
Villapol_241_B	241	WT	M	CCI	PAN	Baseline	PAN
Villapol_242_B	242	WT	M	CCI	PAN	Baseline	PAN
Villapol_243_B	243	WT	M	CCI	PAN	Baseline	PAN
Villapol_244_B	244	WT	F	CCI	PAN	Baseline	PAN
Villapol_245_B	245	WT	F	CCI	PAN	Baseline	PAN
Villapol_246_B	246	WT	F	CCI	PAN	Baseline	PAN
Villapol_247_B	247	WT	F	CCI	PAN	Baseline	PAN
Villapol_248_B	248	WT	F	CCI	PAN	Baseline	PAN
Villapol_249_B	249	WT	F	CCI	PAN	Baseline	PAN
Villapol_250_B	250	WT	F	CCI	PAN	Baseline	PAN
Villapol_251_B	251	WT	F	CCI	PAN	Baseline	PAN
Villapol_252_B	252	WT	F	CCI	PAN	Baseline	PAN
Villapol_253_B	253	WT	F	CCI	PAN	Baseline	PAN
Villapol_254_B	254	WT	M	CCI	Vehicle	Baseline	PAN
Villapol_255_B	255	WT	M	CCI	Vehicle	Baseline	PAN
Villapol_256_B	256	WT	M	CCI	Vehicle	Baseline	PAN
Villapol_257_B	257	WT	M	CCI	Vehicle	Baseline	PAN
Villapol_258_B	258	WT	M	CCI	Vehicle	Baseline	PAN
Villapol_259_B	259	WT	M	CCI	Vehicle	Baseline	PAN
Villapol_260_B	260	WT	M	CCI	Vehicle	Baseline	PAN
Villapol_261_B	261	WT	M	CCI	Vehicle	Baseline	PAN
Villapol_262_B	262	WT	M	CCI	Vehicle	Baseline	PAN
Villapol_263_B	263	WT	M	CCI	Vehicle	Baseline	PAN
Villapol_264_B	264	WT	F	CCI	Vehicle	Baseline	PAN
Villapol_265_B	265	WT	F	CCI	Vehicle	Baseline	PAN
Villapol_266_B	266	WT	F	CCI	Vehicle	Baseline	PAN
Villapol_267_B	267	WT	F	CCI	Vehicle	Baseline	PAN
Villapol_268_B	268	WT	F	CCI	Vehicle	Baseline	PAN
Villapol_269_B	269	WT	F	CCI	Vehicle	Baseline	PAN
