Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Villapol_234_B_1	25.232001562957894	56.79886685552404
Villapol_234_B_2	21.275764384096902	58.87711243528376
Villapol_236_B_1	25.671115696262387	55.69239366389412
Villapol_236_B_2	23.500333139897265	57.08513336342338
Villapol_237_B_1	20.555142503097894	60.33209417596039
Villapol_237_B_2	18.03965303593556	60.27509293680299
Villapol_238_B_1	20.677843153058756	59.62561457241878
Villapol_238_B_2	18.652776658338034	61.2496977512694
Villapol_239_B_1	27.975225746700627	53.0041676313961
Villapol_239_B_2	26.219418075171724	52.548815312186484
Villapol_240_B_1	24.22772299569014	56.57648306518942
Villapol_240_B_2	23.65683597716452	56.335040729291265
Villapol_241_B_1	13.690103097239934	66.37992521667715
Villapol_241_B_2	13.022240473771804	66.18756349017659
Villapol_242_B_1	24.676611983942113	55.925063190761804
Villapol_242_B_2	23.645735243098578	56.14808940873271
Villapol_243_B_1	18.62355032591213	61.03783966816222
Villapol_243_B_2	17.99881486497926	60.59595361042914
Villapol_244_B_1	16.60738310695	64.44460826775276
Villapol_244_B_2	15.739324351720452	63.70556036786526
Villapol_245_B_1	17.62181171888294	63.89608425192391
Villapol_245_B_2	17.285257804080242	62.28327251413337
Villapol_246_B_1	11.697007742205482	67.41045102627025
Villapol_246_B_2	11.11111111111111	67.35148091080292
Villapol_247_B_1	15.667687871688592	64.15570373040191
Villapol_247_B_2	14.99729681023608	64.54135880338795
Villapol_248_B_1	7.994673865460382	70.94885451627025
Villapol_248_B_2	10.176200204290092	67.16583977819928
Villapol_249_B_1	26.00948721969578	55.03959542104435
Villapol_249_B_2	25.01372118551043	54.990591187078536
Villapol_250_B_1	16.659910822861775	64.67851834694163
Villapol_250_B_2	15.800953539097035	64.01644565406215
Villapol_251_B_1	31.000577217810154	50.620011544356196
Villapol_251_B_2	29.623216098405685	51.06785294878686
Villapol_252_B_1	15.89663897356205	63.566632797401994
Villapol_252_B_2	15.1455382224613	62.60633952941646
Villapol_253_B_1	25.928616697324287	53.39835840044516
Villapol_253_B_2	24.453959470112686	54.96421560292465
Villapol_254_B_1	19.777399061625534	61.659197542552945
Villapol_254_B_2	17.59767720759957	60.99223631887895
Villapol_255_B_1	20.94280694905329	60.17763029474918
Villapol_255_B_2	20.040991606480578	59.416357602967025
Villapol_256_B_1	22.047731493156654	58.35301130241417
Villapol_256_B_2	20.264105091817786	58.62812077305763
Villapol_257_B_1	12.315436241610739	67.88787998420842
Villapol_257_B_2	11.638373470193446	66.79826292933281
Villapol_258_B_1	17.79377301640442	61.432875795112196
Villapol_258_B_2	15.98803146970204	62.554402410445306
Villapol_259_B_1	28.96890653057367	52.91560344012857
Villapol_259_B_2	26.840563273792643	52.99877138266696
Villapol_260_B_1	16.793094925759043	63.790186125211555
