Sample	Unique Reads	Duplicate Reads
Villapol_234_B_1	2857.0	38091.0
Villapol_234_B_2	4448.0	36500.0
Villapol_236_B_1	3385.0	43142.0
Villapol_236_B_2	4662.0	41865.0
Villapol_237_B_1	3114.0	37236.0
Villapol_237_B_2	4757.0	35593.0
Villapol_238_B_1	3789.0	45839.0
Villapol_238_B_2	5493.0	44135.0
Villapol_239_B_1	3786.0	48042.0
Villapol_239_B_2	5696.0	46132.0
Villapol_240_B_1	3261.0	41056.0
Villapol_240_B_2	4622.0	39695.0
Villapol_241_B_1	3837.0	42430.0
Villapol_241_B_2	5300.0	40967.0
Villapol_242_B_1	3077.0	37277.0
Villapol_242_B_2	4293.0	36061.0
Villapol_243_B_1	4592.0	54473.0
Villapol_243_B_2	6438.0	52627.0
Villapol_244_B_1	3719.0	50540.0
Villapol_244_B_2	5702.0	48557.0
Villapol_245_B_1	3626.0	49263.0
Villapol_245_B_2	5519.0	47370.0
Villapol_246_B_1	4353.0	48216.0
Villapol_246_B_2	6024.0	46545.0
Villapol_247_B_1	4134.0	51356.0
Villapol_247_B_2	5832.0	49658.0
Villapol_248_B_1	4416.0	50408.0
Villapol_248_B_2	6573.0	48251.0
Villapol_249_B_1	3544.0	47472.0
Villapol_249_B_2	5208.0	45808.0
Villapol_250_B_1	3735.0	48072.0
Villapol_250_B_2	5157.0	46650.0
Villapol_251_B_1	3334.0	46907.0
Villapol_251_B_2	4885.0	45356.0
Villapol_252_B_1	3935.0	46258.0
Villapol_252_B_2	5878.0	44315.0
Villapol_253_B_1	4616.0	60077.0
Villapol_253_B_2	6494.0	58199.0
Villapol_254_B_1	3327.0	44202.0
Villapol_254_B_2	5488.0	42041.0
Villapol_255_B_1	3777.0	47453.0
Villapol_255_B_2	5400.0	45830.0
Villapol_256_B_1	3398.0	40221.0
Villapol_256_B_2	4892.0	38727.0
Villapol_257_B_1	3890.0	46770.0
Villapol_257_B_2	5663.0	44997.0
Villapol_258_B_1	4055.0	43737.0
Villapol_258_B_2	5537.0	42255.0
Villapol_259_B_1	3641.0	49264.0
Villapol_259_B_2	5414.0	47491.0
Villapol_260_B_1	4088.0	48511.0
Villapol_260_B_2	6149.0	46450.0
Villapol_261_B_1	4275.0	59571.0
Villapol_261_B_2	6512.0	57334.0
Villapol_262_B_1	3575.0	41626.0
Villapol_262_B_2	5916.0	39285.0
Villapol_263_B_1	2700.0	41494.0
Villapol_263_B_2	4265.0	39929.0
Villapol_264_B_1	3627.0	49542.0
Villapol_264_B_2	5947.0	47222.0
Villapol_265_B_1	3536.0	51942.0
Villapol_265_B_2	5232.0	50246.0
Villapol_266_B_1	2500.0	34866.0
Villapol_266_B_2	4252.0	33114.0
Villapol_267_B_1	2699.0	49167.0
Villapol_267_B_2	4520.0	47346.0
Villapol_268_B_1	2429.0	32990.0
Villapol_268_B_2	3870.0	31549.0
Villapol_269_B_1	4951.0	70588.0
Villapol_269_B_2	7737.0	67802.0
Villapol_270_B_1	3657.0	49491.0
Villapol_270_B_2	5841.0	47307.0
Villapol_271_B_1	3182.0	36370.0
Villapol_271_B_2	4599.0	34953.0
Villapol_272_B_1	3388.0	42797.0
