Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Villapol_234_B_1	Villapol_234_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	40948.0	12.2 Mbp	0.0	300.0	55.0	6.977141740744358	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_234_B_2	Villapol_234_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	40948.0	12.2 Mbp	0.0	300.0	55.0	10.862557389860312	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_236_B_1	Villapol_236_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	46527.0	13.9 Mbp	0.0	300.0	54.0	7.275345498312808	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_236_B_2	Villapol_236_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	46527.0	13.9 Mbp	0.0	300.0	55.0	10.019988393835837	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_237_B_1	Villapol_237_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	40350.0	12.1 Mbp	0.0	300.0	55.0	7.717472118959108	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_237_B_2	Villapol_237_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	40350.0	12.1 Mbp	0.0	300.0	55.0	11.789343246592317	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_238_B_1	Villapol_238_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	49628.0	14.8 Mbp	0.0	300.0	55.0	7.634802933827678	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_238_B_2	Villapol_238_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	49628.0	14.8 Mbp	0.0	300.0	55.0	11.06633352139921	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_239_B_1	Villapol_239_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	51828.0	15.5 Mbp	0.0	300.0	56.0	7.304931697152119	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_239_B_2	Villapol_239_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	51828.0	15.5 Mbp	0.0	300.0	57.0	10.988268889403411	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_240_B_1	Villapol_240_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	44317.0	13.2 Mbp	0.0	300.0	55.0	7.3583500688223475	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_240_B_2	Villapol_240_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	44317.0	13.2 Mbp	0.0	300.0	56.0	10.429406322630141	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_241_B_1	Villapol_241_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	46267.0	13.8 Mbp	0.0	300.0	55.0	8.29316791665766	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_241_B_2	Villapol_241_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	46267.0	13.8 Mbp	0.0	300.0	56.0	11.455248881492208	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_242_B_1	Villapol_242_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	40354.0	12.1 Mbp	0.0	300.0	55.0	7.6250185855181645	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_242_B_2	Villapol_242_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	40354.0	12.1 Mbp	0.0	300.0	56.0	10.63835059721465	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_243_B_1	Villapol_243_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	59065.0	17.7 Mbp	0.0	300.0	55.0	7.7744857360535	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_243_B_2	Villapol_243_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	59065.0	17.7 Mbp	0.0	300.0	56.0	10.89985609074748	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_244_B_1	Villapol_244_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	54259.0	16.2 Mbp	0.0	300.0	56.0	6.854162443096998	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_244_B_2	Villapol_244_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	54259.0	16.2 Mbp	0.0	300.0	56.0	10.508855673713116	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_245_B_1	Villapol_245_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	52889.0	15.8 Mbp	0.0	300.0	55.0	6.855867949857249	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_245_B_2	Villapol_245_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	52889.0	15.8 Mbp	0.0	300.0	55.0	10.435062111214052	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_246_B_1	Villapol_246_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	52569.0	15.7 Mbp	0.0	300.0	55.0	8.280545568681163	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_246_B_2	Villapol_246_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	52569.0	15.7 Mbp	0.0	300.0	55.0	11.459225018547052	300.0	300	pass	fail	pass	pass	fail	warn	pass	pass	fail	fail	pass
Villapol_247_B_1	Villapol_247_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	55490.0	16.6 Mbp	0.0	300.0	56.0	7.449990989367454	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_247_B_2	Villapol_247_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	55490.0	16.6 Mbp	0.0	300.0	56.0	10.510001802126508	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_248_B_1	Villapol_248_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	54824.0	16.4 Mbp	0.0	300.0	56.0	8.054866481832775	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_248_B_2	Villapol_248_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	54824.0	16.4 Mbp	0.0	300.0	56.0	11.989274770173648	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_249_B_1	Villapol_249_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	51016.0	15.3 Mbp	0.0	300.0	54.0	6.946840206993884	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_249_B_2	Villapol_249_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	51016.0	15.3 Mbp	0.0	300.0	54.0	10.208562019758508	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_250_B_1	Villapol_250_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	51807.0	15.5 Mbp	0.0	300.0	55.0	7.209450460362499	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_250_B_2	Villapol_250_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	51807.0	15.5 Mbp	0.0	300.0	55.0	9.95232304514834	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_251_B_1	Villapol_251_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	50241.0	15 Mbp	0.0	300.0	53.0	6.636014410541192	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_251_B_2	Villapol_251_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	50241.0	15 Mbp	0.0	300.0	53.0	9.723134491749766	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_252_B_1	Villapol_252_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	50193.0	15 Mbp	0.0	300.0	55.0	7.839738608969378	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_252_B_2	Villapol_252_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	50193.0	15 Mbp	0.0	300.0	55.0	11.708804016496325	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_253_B_1	Villapol_253_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	64693.0	19.4 Mbp	0.0	300.0	54.0	7.135238742986104	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_253_B_2	Villapol_253_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	64693.0	19.4 Mbp	0.0	300.0	54.0	10.038180328629064	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_254_B_1	Villapol_254_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	47529.0	14.2 Mbp	0.0	300.0	55.0	6.999936880641293	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_254_B_2	Villapol_254_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	47529.0	14.2 Mbp	0.0	300.0	56.0	11.546634686191588	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_255_B_1	Villapol_255_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	51230.0	15.3 Mbp	0.0	300.0	55.0	7.372633222721062	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_255_B_2	Villapol_255_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	51230.0	15.3 Mbp	0.0	300.0	56.0	10.540698809291431	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_256_B_1	Villapol_256_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	43619.0	13 Mbp	0.0	300.0	55.0	7.79018317705587	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_256_B_2	Villapol_256_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	43619.0	13 Mbp	0.0	300.0	56.0	11.21529608656778	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_257_B_1	Villapol_257_B_1.gz	Conventional base calls	Sanger / Illumina 1.9	50660.0	15.1 Mbp	0.0	300.0	55.0	7.678641926569285	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
Villapol_257_B_2	Villapol_257_B_2.gz	Conventional base calls	Sanger / Illumina 1.9	50660.0	15.1 Mbp	0.0	300.0	56.0	11.178444532175286	300.0	300	pass	fail	pass	pass	fail	warn	pass	pass	fail	fail	pass
