Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Villapol_234_B_1	93.02285825925564	55.0	300.0	300	45.45454545454545	40948.0
Villapol_234_B_2	89.13744261013969	55.0	300.0	300	45.45454545454545	40948.0
Villapol_236_B_1	92.7246545016872	54.0	300.0	300	45.45454545454545	46527.0
Villapol_236_B_2	89.98001160616417	55.0	300.0	300	45.45454545454545	46527.0
Villapol_237_B_1	92.28252788104089	55.0	300.0	300	45.45454545454545	40350.0
Villapol_237_B_2	88.21065675340768	55.0	300.0	300	45.45454545454545	40350.0
Villapol_238_B_1	92.36519706617233	55.0	300.0	300	45.45454545454545	49628.0
Villapol_238_B_2	88.93366647860078	55.0	300.0	300	45.45454545454545	49628.0
Villapol_239_B_1	92.69506830284789	56.0	300.0	300	45.45454545454545	51828.0
Villapol_239_B_2	89.01173111059659	57.0	300.0	300	45.45454545454545	51828.0
Villapol_240_B_1	92.64164993117765	55.0	300.0	300	45.45454545454545	44317.0
Villapol_240_B_2	89.57059367736986	56.0	300.0	300	45.45454545454545	44317.0
Villapol_241_B_1	91.70683208334233	55.0	300.0	300	45.45454545454545	46267.0
Villapol_241_B_2	88.54475111850779	56.0	300.0	300	45.45454545454545	46267.0
Villapol_242_B_1	92.37498141448184	55.0	300.0	300	45.45454545454545	40354.0
Villapol_242_B_2	89.36164940278535	56.0	300.0	300	45.45454545454545	40354.0
Villapol_243_B_1	92.2255142639465	55.0	300.0	300	45.45454545454545	59065.0
Villapol_243_B_2	89.10014390925252	56.0	300.0	300	45.45454545454545	59065.0
Villapol_244_B_1	93.145837556903	56.0	300.0	300	45.45454545454545	54259.0
Villapol_244_B_2	89.49114432628689	56.0	300.0	300	45.45454545454545	54259.0
Villapol_245_B_1	93.14413205014276	55.0	300.0	300	45.45454545454545	52889.0
Villapol_245_B_2	89.56493788878595	55.0	300.0	300	45.45454545454545	52889.0
Villapol_246_B_1	91.71945443131884	55.0	300.0	300	45.45454545454545	52569.0
Villapol_246_B_2	88.54077498145296	55.0	300.0	300	36.36363636363637	52569.0
Villapol_247_B_1	92.55000901063255	56.0	300.0	300	45.45454545454545	55490.0
Villapol_247_B_2	89.48999819787349	56.0	300.0	300	45.45454545454545	55490.0
Villapol_248_B_1	91.94513351816722	56.0	300.0	300	45.45454545454545	54824.0
Villapol_248_B_2	88.01072522982635	56.0	300.0	300	45.45454545454545	54824.0
Villapol_249_B_1	93.05315979300612	54.0	300.0	300	45.45454545454545	51016.0
Villapol_249_B_2	89.7914379802415	54.0	300.0	300	45.45454545454545	51016.0
Villapol_250_B_1	92.7905495396375	55.0	300.0	300	45.45454545454545	51807.0
Villapol_250_B_2	90.04767695485165	55.0	300.0	300	45.45454545454545	51807.0
Villapol_251_B_1	93.3639855894588	53.0	300.0	300	45.45454545454545	50241.0
Villapol_251_B_2	90.27686550825024	53.0	300.0	300	45.45454545454545	50241.0
Villapol_252_B_1	92.16026139103062	55.0	300.0	300	45.45454545454545	50193.0
Villapol_252_B_2	88.29119598350367	55.0	300.0	300	45.45454545454545	50193.0
Villapol_253_B_1	92.8647612570139	54.0	300.0	300	45.45454545454545	64693.0
Villapol_253_B_2	89.96181967137093	54.0	300.0	300	45.45454545454545	64693.0
Villapol_254_B_1	93.00006311935871	55.0	300.0	300	45.45454545454545	47529.0
Villapol_254_B_2	88.4533653138084	56.0	300.0	300	45.45454545454545	47529.0
Villapol_255_B_1	92.62736677727894	55.0	300.0	300	45.45454545454545	51230.0
Villapol_255_B_2	89.45930119070857	56.0	300.0	300	45.45454545454545	51230.0
Villapol_256_B_1	92.20981682294413	55.0	300.0	300	45.45454545454545	43619.0
Villapol_256_B_2	88.78470391343222	56.0	300.0	300	45.45454545454545	43619.0
Villapol_257_B_1	92.32135807343072	55.0	300.0	300	45.45454545454545	50660.0
Villapol_257_B_2	88.82155546782471	56.0	300.0	300	36.36363636363637	50660.0
Villapol_258_B_1	91.51531637094074	55.0	300.0	300	45.45454545454545	47792.0
Villapol_258_B_2	88.41437897556077	56.0	300.0	300	45.45454545454545	47792.0
Villapol_259_B_1	93.1178527549381	55.0	300.0	300	45.45454545454545	52905.0
Villapol_259_B_2	89.7665627067385	56.0	300.0	300	45.45454545454545	52905.0
