pathway	description	Villapol_234_B	Villapol_236_B	Villapol_237_B	Villapol_238_B	Villapol_239_B	Villapol_240_B	Villapol_241_B	Villapol_242_B	Villapol_243_B	Villapol_244_B	Villapol_245_B	Villapol_246_B	Villapol_247_B	Villapol_248_B	Villapol_249_B	Villapol_250_B	Villapol_251_B	Villapol_252_B	Villapol_253_B	Villapol_254_B	Villapol_255_B	Villapol_256_B	Villapol_257_B	Villapol_258_B	Villapol_259_B	Villapol_260_B	Villapol_261_B	Villapol_262_B	Villapol_263_B	Villapol_264_B	Villapol_265_B	Villapol_266_B	Villapol_267_B	Villapol_268_B	Villapol_269_B	Villapol_270_B	Villapol_271_B	Villapol_272_B	Villapol_273_B	Villapol_274_B	Villapol_275_B	Villapol_276_B	Villapol_277_B	Villapol_278_B	Villapol_279_B	Villapol_280_B	Villapol_281_B	Villapol_282_B	Villapol_283_B	Villapol_284_B	Villapol_285_B	Villapol_286_B	Villapol_287_B	Villapol_288_B	Villapol_289_B	Villapol_290_B	Villapol_291_B	Villapol_292_B	Villapol_293_B	Villapol_35d_234	Villapol_35d_236	Villapol_35d_237	Villapol_35d_238	Villapol_35d_239	Villapol_35d_240	Villapol_35d_241	Villapol_35d_242	Villapol_35d_243	Villapol_35d_244	Villapol_35d_245	Villapol_35d_246	Villapol_35d_247	Villapol_35d_248	Villapol_35d_249	Villapol_35d_250	Villapol_35d_251	Villapol_35d_252	Villapol_35d_253	Villapol_35d_254	Villapol_35d_255	Villapol_35d_256	Villapol_35d_257	Villapol_35d_258	Villapol_35d_259	Villapol_35d_261	Villapol_35d_262	Villapol_35d_263	Villapol_35d_264	Villapol_35d_265	Villapol_35d_266	Villapol_35d_267	Villapol_35d_268	Villapol_35d_269	Villapol_35d_270	Villapol_35d_271	Villapol_35d_272	Villapol_35d_273	Villapol_35d_274	Villapol_35d_275	Villapol_35d_276	Villapol_35d_277	Villapol_35d_278	Villapol_35d_279	Villapol_35d_280	Villapol_35d_281	Villapol_35d_282	Villapol_35d_283	Villapol_35d_284	Villapol_35d_285	Villapol_35d_286	Villapol_35d_287	Villapol_35d_288	Villapol_35d_289	Villapol_35d_290	Villapol_35d_291	Villapol_35d_292	Villapol_35d_293
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	6902.456298695295	8325.361110450127	6900.79064784284	9106.710017098228	8952.849541194913	7761.072217607221	8741.876011388673	6873.4833809818265	10707.453558586289	9117.366140668712	9548.124090092382	10525.578638083509	10169.269332893728	11106.288354385732	9214.410554816268	9749.878423365804	9865.39394862052	9863.201401167616	13190.743584973046	8288.806656921253	9439.948944181198	8799.265523219015	11248.332408591934	9733.153259270272	10105.919257855348	11016.074698698836	12163.20227711322	7965.704748973502	7714.330001795625	8708.89711492554	9068.267333525991	4671.2414436165545	6672.166754358472	5373.741904987904	12657.308274328698	9446.5529227546	6848.958749437697	7852.857831876976	10889.083699692892	11581.769723714866	13478.693325915836	16331.738550496217	14738.911819635612	13838.371829477628	5916.415433029251	9428.27368985822	12813.559337792636	7367.053003589739	11640.165035672737	12825.368096478054	12770.047192325112	10957.447559023629	18508.911299257943	12882.030584373657	7825.024750474759	5895.508488552759	7915.02004831331	8420.676107454874	8606.067484219197	8142.006524448322	6256.277010546444	9573.750094448673	11917.039449874635	11516.078440377756	10903.570946810183	13847.998468968011	11468.725028019358	12237.36498906174	4115.466802993567	10527.068256505145	9901.485561063457	11880.503671117029	10495.332905192266	10666.144327142878	12154.386233962096	12383.443557691253	11342.99024351088	11459.149401153352	9766.87500020059	9726.007955740815	17859.49799201281	17224.690478305496	7231.757360900432	8194.76150333697	9015.008309501009	6562.760232726843	10171.040062657565	13098.355672298	9724.065849504968	10084.932935887142	11752.298391853432	4408.263735640313	6741.984164400396	9682.853052698076	8046.708870063302	6765.118467522679	6826.898122714403	12540.601510199698	11174.77177132224	11626.83741784661	12061.822806841668	13217.469739731314	9582.198099010116	11711.707949796291	13535.06927135024	9392.566155578756	5031.445237088313	8491.257022453996	6487.005766039154	10508.43193190447	11811.55840294812	11231.707212585192	12639.138991451451	5276.425527250133	9603.875471948106	11282.995951245011	8971.184909645399
ANAEROFRUCAT-PWY	homolactic fermentation	7945.2053069443455	9622.367721952642	8104.447514337705	10725.718830400816	9572.89484799375	8627.201352651557	9867.272336018264	7674.005084151557	12042.293783030304	10341.78027148174	11277.28036908894	12198.103649626477	11831.633515142106	12125.9195226137	11352.536272539204	11614.83855886496	12413.410861720558	12057.036606339088	15833.671948737334	9767.97574259241	10793.096785638674	9689.499125992985	11482.568967431733	9941.89594239514	11129.304508520032	11069.766761358398	13845.175478898986	8792.598585335194	8529.20516605083	10160.20207045032	9840.85303043581	4650.343128337076	6504.704011237912	5832.709012288339	13990.485597285524	10673.719192661634	7324.817555734608	9281.346862068594	11090.64805768076	14127.28381032837	16456.742448833244	18143.109092489947	17708.518803819414	17040.962210165202	6902.407881061901	10620.113068561075	13404.112660284873	8106.87628902305	12093.736761143413	12196.739319341374	11515.028631393	11677.694637693545	20156.83980207701	10504.012186765562	8133.1806349322	5650.58229601117	8545.053655336422	9253.81736447676	9040.496811630344	8630.04279855689	6193.774859665193	10399.427832726924	12786.890634508653	13324.837515291498	11923.106652244802	16300.94090597439	12913.38505542161	12516.36904491698	5040.416678597239	12411.187242686974	11962.250518092698	13836.135439364323	12455.31641378714	12847.771700982892	13757.053998551237	15112.480089702054	13164.019403950855	13143.213062926538	9748.69452005278	10642.164213673228	16357.019737235085	15569.821747519638	7681.481376647604	8555.411484702934	9231.010323731074	6218.294044544772	10709.90283098764	13207.07703106666	10195.178757460391	10570.223809833156	14154.84839872542	4949.882735701874	7109.247535370159	10223.637307139985	8557.77644486309	7069.96906160751	7196.594132301941	13424.779632326958	11529.7862042391	11552.582469367286	12000.939272949803	10689.986747608982	11342.353039467082	13166.5920376274	13514.938686829097	10231.862397272576	5560.124952369275	8858.274621173217	6996.350126379789	11096.562495053644	13010.998565217678	11188.275187943656	14001.30871456566	5728.079198831424	10001.407954440032	11452.680330996976	9198.914782755684
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	9310.851238884494	11341.81724685809	9561.65037253038	12595.972538587095	11769.36105923928	10259.238471560362	11667.111576441785	9189.762611819357	14171.6728581827	12208.104294914974	13111.016920777693	14261.796480150562	13787.664508192202	14771.522397291854	13141.570007557024	13089.352561830874	14170.39217089704	13519.365606237456	18129.534041803166	11259.339346303062	12676.307778243388	11888.03568517056	14862.961997774264	12712.846064401489	13605.38784714315	14542.220944117424	16565.97698876232	10740.914275928364	10433.96326227973	11795.798482560076	11836.56658884234	6007.159947705804	8811.106645052372	7129.613162276034	17000.54293855663	12945.945769477015	9105.799827999112	10779.746783195278	14456.24103141179	15711.497903205787	18026.675684056398	21346.925156398866	20465.427216981643	18734.41028044521	8090.758065964269	12568.272688916635	17001.02690617752	9620.00581458766	15809.464398937042	16473.694700409087	16730.45106250319	14186.515869693332	24117.102741084444	16869.079227885595	10028.080847491858	7837.315199513344	10488.601340212004	10966.838496588716	11230.92806980454	10716.288770283409	8361.209275888463	12886.159064335608	15708.544372096676	15658.591782407557	14646.221066168058	18759.49561526374	15986.996061084456	16027.90400011495	5741.692116992189	14291.134732884178	13660.800441729922	15859.873301103164	14548.84497337296	15145.736070489796	16624.473620121382	17410.342087045035	15743.82600727733	15588.360933353644	12618.74343280988	12551.249632252058	22973.871760293678	22821.824356050085	9208.731198526895	10768.44946464622	12004.51070039093	8518.388119597626	13365.840142695884	16785.285045046774	12679.58953118658	12815.862080724206	15866.405280221892	5821.10016070479	8982.450491411859	12753.16267846628	10797.79693192902	8953.183311323512	9119.993852056718	16346.465538940887	14697.25419633422	15470.991903378552	16041.49006109577	16631.86732555235	13453.063666885457	15683.916942533868	17981.771578043546	12574.28142144579	6836.443965888212	10862.611453321648	8560.9429576114	13371.094594132095	15649.166700007292	14737.716544585996	16686.827740950575	7049.811345165774	13016.359272950142	14929.873849622138	11886.406700983418
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	1497.031886626951	1485.7641010380269	1547.2755838936205	2027.600930960711	1358.3613386307013	820.9345921594396	1232.3407383240665	1193.0252093471954	1700.644803550329	1239.7788091072118	1237.164878859167	1501.1954924418285	1098.9511962446584	1644.5714862800587	964.7566945340744	1207.7950795790948	1015.2868417629016	1422.8036268398637	1527.056700204097	1801.2445786429398	1894.9984080086435	1739.622301465868	2003.8767128471984	1606.6264813106125	1858.7306280305768	1466.8245940850377	2514.1528107851227	1371.4608745306589	1463.955341673195	1662.738061186241	1041.3014918543197	420.737387136273	816.5019622888108	668.0998517405355	1648.3774008366886	1272.1904345591404	1085.7210206045318	1798.3372639092818	1634.7322236423036	1945.2241354338096	1738.6487299812595	1712.0539596701713	3475.374161238592	2213.026161162129	1256.882575031967	1176.3918088487928	2086.16359749055	717.9566600046596	1931.3202069893464	1493.0947242777063	1574.880480020451	1682.629548496194	2687.674809547581	2087.104215376942	1154.1306213601315	850.9257531110737	1275.8371093431342	1328.140340181338	1502.5990740796217	1016.1788304881018	886.8668458440557	1658.0282365004648	2138.302348932656	1676.501652362904	1168.9609265648244	2542.1081391060825	1978.1603291389536	1596.6766852586488	492.5195872472546	1162.4875259236076	1154.548287894478	1191.3455660519387	1533.3359116315098	1549.72890960259	1736.7961109051948	2002.0066528914008	1435.718509484508	1498.392548369706	1592.519318727121	1374.9847528945477	1970.0535674347627	2385.269553171158	511.2175746898485	998.0438165220738	1606.888693110891	616.1148499191683	1548.9584106717036	1248.3983356411325	913.5138109066588	772.466770122636	1291.437285512415	399.8520341323548	917.978544060147	1162.2681758402923	1632.3573535868704	956.44255379685	1056.8091536926097	1138.0275333595057	1190.833898912003	1280.809939577996	1357.4606253961708	705.6453135633083	1738.4412918141434	2114.2135364193823	2232.152955182828	1179.795459288586	931.9006292441228	770.4319300881535	573.1065528417813	1101.921090161677	1672.9357728023829	1125.6292573356295	2098.285754408457	1021.9082906028162	1970.1782347296544	1722.9717765297253	1009.3069139389715
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	1055.7939282562202	917.9275321765977	798.2906570653283	1265.9315803386928	956.3217759787012	638.8226510439816	1002.266310937885	784.1810702298526	1058.6696239512696	565.385662483717	691.430057681269	1120.4711037587094	885.791159393405	1017.49260825384	730.5875061955292	905.3305241084486	660.3593755104675	1405.8102170988757	1084.7325670433547	1041.3647853156165	1148.4849190202276	1006.1523412601643	1364.2296309833164	1107.1515851679674	645.7320445262626	941.3228421791164	970.0276179699056	709.4253162041684	504.178175954292	768.4359757244632	733.5877989120979	322.62978192506625	392.2853328420248	343.8815682554999	999.2419937188956	776.4192767149265	582.6545348819155	528.8914453439309	869.927651474484	1568.77027312613	1701.9258031442264	2141.4142289552565	2521.9091742042297	1723.0882791705171	827.9246944118896	1115.5761290297132	1315.8005975614246	542.3631331643732	1076.3654383238547	1885.0341366916232	1862.797543719331	1586.3656186467886	2685.9454128358407	1539.687092447069	1080.80960642462	477.24746936625246	751.2415213073357	758.6046247899227	878.9727194742231	718.8636325764259	580.4073210859921	970.9124638928524	1450.1864872270778	888.1634162843658	692.2367170584475	1533.104827202205	923.532225314775	1189.0435171300455	198.52371835998744	777.450473119971	823.6906282804933	1206.4913118238094	925.8024256326275	1054.9284743152425	1411.564356245347	1095.4748725720408	1028.2192936409883	1187.6900131093737	732.9295204895584	723.8355265551272	1433.626194634408	1570.2221341899483	545.0185890567572	386.524984567636	639.6327144236615	344.37004330305047	598.6393223777254	856.8417318420082	714.2850081571235	859.2625056263654	670.4427036087278	268.6008022218643	483.555035004885	803.7494810381804	485.7925934564171	592.4641522521786	453.4743744801713	1080.7548103030322	1131.6475600735805	1018.5914363564972	1003.70482223726	1039.6906744639618	894.7521269067338	1656.67771982967	1600.8512555992015	895.116683815134	476.1326617165676	443.9114388915319	189.70550080063984	680.4361729941963	705.8520424733043	949.774180267604	1126.1759260153538	444.9049891458768	784.4503045477683	880.8165777315298	818.0350904710148
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	6092.084141290692	7088.683484808358	5799.360852848382	7803.888081954338	8175.977301205827	6936.069540550169	7509.633768124816	5939.484650875159	9472.066687794011	7545.237126767389	7265.651304677271	8913.465477902153	8968.042876197416	10152.006590638846	6817.806771071311	7930.66896000206	6564.282445215233	8151.48151328081	9944.27891136048	7021.197636691732	8141.448674412788	7831.741747551119	10007.455466373762	9194.357340006847	8986.588048986476	10112.444139083877	11103.131509999976	7303.643920043853	6725.788804680645	7128.355767513465	7768.433987898199	4078.839377196995	5627.032774594097	4609.108146051194	10855.730346827091	7967.909012289946	6269.154126794649	6305.937200840316	9906.574546789525	10123.167217278688	11719.180150810342	14525.168817744718	12438.25096368996	11029.127433778776	5756.139203332292	8682.723008614736	11839.765942416809	6357.956866070029	10439.104623097615	12597.17878329902	12947.893637749732	9997.614829194776	16654.44060562483	13020.16307750342	7295.392009292908	4856.309672666751	6739.017854609589	7277.77146933224	7708.005652628975	6907.904640302626	5636.634385614953	8511.436895068839	10784.150461359102	9435.104549230846	9348.268730085456	11509.964077296128	9357.281519767404	10581.223885753818	3018.644409174912	8378.914640819394	7389.650214414392	9353.208539774128	8410.391822328998	8465.876981516658	10396.63954200697	9270.873459095694	9541.04600578255	10119.249290041647	8921.364943405659	8001.500215226479	16974.4735083353	15121.045197629692	6129.57638363458	7371.222947159693	8159.552170480296	5881.482306944254	9295.982053771606	11640.836801774049	8556.77113680938	9047.404332693744	8224.539155247876	3552.545527422732	5497.411847001135	8572.935722697977	6497.449218270688	5978.324779564857	5921.690403612003	10941.981369213314	10260.01136411393	10510.53174286808	10900.02454083388	12994.801785161582	7634.996832388205	10649.818411646582	12595.482757645175	8217.93959355325	4502.063209834366	7631.10303294094	5213.811629916386	9276.784955883464	10330.9835923724	10684.869107794257	10824.068177402478	4584.947825794784	8460.151900221286	10580.5128256492	8069.6905646866335
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	6116.09766017056	7128.867097012634	5698.807829591679	7624.878995791226	8235.616476990295	7028.028880806719	7502.134188683645	5937.170538124628	9570.170988031572	7478.236110861575	7114.284298572866	8991.073487667529	8915.516843399424	10190.84271858053	6577.486648811351	7865.40781871432	6142.565646267135	7919.518830324689	9766.957197072506	6857.86447718854	8054.563029304893	7772.460213766217	9934.59595131486	9306.208216091924	8934.464586434493	10129.10837112118	11048.10161930169	7292.129723891357	6696.227177685886	7052.965185187527	7875.9347444171535	4141.600332534499	5686.1630959031	4601.685260939456	10856.749660174248	7889.778098251452	6297.616405669683	6256.777677551829	10009.823560312852	10153.612337391109	11820.40537635033	14692.871933877585	12148.107482033964	10969.033287148077	5780.660912136282	8776.287015103797	11785.280628998044	6385.444098319474	10511.459510712712	12860.44785954773	13204.247001436335	10072.984651341592	16791.47121906516	13125.20723428694	7413.55168222946	4887.518890056728	6681.71612091891	7377.747001647282	7669.039242909979	6958.412276767978	5710.076931799146	8481.56646335317	10904.230461734309	9027.12357791484	9272.956489414084	11248.115491645956	9203.648012583291	10374.282426265716	2946.125646193901	8271.445548241501	7221.375021334049	9276.160941116812	8185.628033904632	8182.255773507556	10364.450653816904	8814.16655077612	9385.621227794943	10118.626982253329	8979.069734003766	7890.632058829597	17197.49280077716	14850.908420940372	6190.151439260716	7364.247511016961	8144.266748122739	5886.312964332618	9240.129840688507	11737.199235876396	8549.622916385306	9240.342677823675	7979.83419108139	3533.1776166192544	5500.529751627439	8645.167064001556	6478.0286793054765	6027.77551070342	5878.518302588378	10945.905299033708	10201.619489534603	10453.48951425884	10874.854569510564	13116.039967073564	7477.631689178525	10601.635981979707	12574.451517625048	8184.251564995588	4491.9663713347245	7521.919115468566	5133.023242595969	9136.332278071037	10265.56086502596	10689.66487012155	10797.656907744678	4546.390850138168	8330.082731728546	10653.95711832059	8004.097043312328
ARO-PWY	chorismate biosynthesis I	7073.714079716789	8535.220907303885	7252.224349412637	9583.68688006509	9738.045647470146	8185.257456457552	9382.26313913754	7260.247636007633	11593.145016435945	9551.24898447893	9525.647753506955	11522.387777791764	11013.766455850364	12439.853944590166	8841.361081615947	10127.166407842224	9366.956446835093	10216.533827337713	12852.3318225513	9072.000385214997	10146.68341453181	10054.284523526569	12685.359488583112	10922.891513875657	11273.560913709567	12479.231398465638	13864.243768127608	9021.842263719534	8298.793591985137	9515.483815842445	9396.56050207162	4646.385497676922	6122.176815442785	5757.528605120978	14028.560173888736	10457.041093234451	7843.032456516434	8450.818985524127	12449.317048235149	12731.965686114729	14019.280575766945	17183.353685015747	16881.269340930634	14349.201971387503	6779.9700181400085	10379.305237411429	14601.324565014042	7704.188330704744	13460.914608852696	14512.496911875936	14986.700961748576	11895.443669866285	19704.39145207112	15330.470341328835	7795.062575672242	5262.650014472234	8316.097141443985	8745.302570006133	8798.419656098906	8206.41204717869	7199.121519230683	10561.483016425314	13038.585710997784	12706.074550240442	12281.134855743448	14865.702986418542	13604.02920473052	13745.041379482413	4370.236349013399	11376.347387201273	10282.997581410453	12683.70333902646	11687.760208258953	11980.394840284218	13963.76855415923	13654.032132537415	12747.759887842669	12847.97366261253	10928.369591103854	10481.81163513574	20314.5723224334	20089.82759002272	7202.590089609008	8856.454322208134	10198.34679603462	6432.926659247853	11227.11187542137	14474.08558120094	10949.81108215846	10492.147456168184	11897.207003371508	4799.98974240803	6732.433484582899	10273.034759244236	8084.838600817154	7207.523925364519	7469.693500705959	13202.326062547032	12273.154568964688	13149.92935859515	13644.145483254992	15127.251650326943	10282.474353066284	12985.861769297588	15403.108888741626	10558.59807614822	5590.245742185051	8914.811042213032	6622.617135745159	11046.021381621124	12688.108134244798	12773.848484975177	13230.811554314005	5693.4201309232585	10676.676956712596	12845.480477849344	9680.331806701177
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	7493.517467697091	8910.514379723794	7894.834706052121	10354.347484270436	9592.236299464068	8388.133572418785	9828.91753641077	7603.170518720592	11627.452792281263	10135.530710567386	11144.171913336122	11516.726459315032	11354.923161863248	12178.666899684044	10253.049243630268	10657.65996046198	11390.130143056916	10995.631525033788	14208.861463618114	9504.046322860468	10696.148019303437	9983.131979521962	12876.667480133105	10559.600543583952	11415.138863416154	12280.186689215554	13531.808289183968	8893.667033919506	8574.412003814614	9824.55430618753	9551.658452133914	4801.434757878821	6952.066707444064	5934.808609297821	13967.605181715557	10446.645227568464	7501.841245542218	9083.265068632934	11788.190778176928	12693.932039369978	14277.8838365395	16901.173138107573	17623.77080524936	15564.41340990148	6634.673841567494	10071.262231254015	13969.668863312192	7900.886040786731	13009.840441163138	13466.005988754672	13563.18176873457	11510.400520963914	19390.732709368014	14312.005270007252	8029.740112450719	6151.502387649855	8545.046745014417	8848.15144510756	9267.524866061758	8747.396154873959	6947.997641873105	10798.226099751642	13271.28975382002	14069.42150694135	12441.585715169076	16133.257457428264	13621.707584866232	14018.294265723773	4930.866241950733	12035.826947565032	11509.613168713771	13742.818413686433	12143.681194773704	11776.993500539997	13638.742624425367	14696.37549920072	12285.839806205811	12141.666140795673	10938.824594905003	11143.95247871927	19484.711199811623	19869.92288358544	7797.692755985149	9056.950876094392	9932.225784262926	6953.71849225935	11553.112767005638	13907.107463551334	10289.113455278586	10193.00237709842	13501.035213305968	4804.225986186436	7437.667777717891	10385.993223233463	9027.105858596782	7235.383248836591	7549.417156469472	13413.54885628496	12095.731943984936	12991.24644630654	13386.8619399072	14322.067885212322	10877.104246604831	13218.04299496248	14849.87986886685	10327.50979857206	5656.166700614568	9643.31927437888	7158.283427971612	11613.422407484191	12978.987093338272	12186.597702798012	13899.849932513916	5704.46970112735	10627.863313907104	12141.307103530113	9553.91318883154
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.24539499751258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.35270886963095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.59437918914756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
