task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	8e/cb560d	274500	NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE (PAN_Metadata.tsv)	CACHED	0	2024-01-29 10:14:38.489	876ms	1s	211.7%	3.4 MB	47.4 MB	6 MB	1.2 KB
3	5b/cbbe39	274670	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_234_B)	CACHED	0	2024-01-29 10:14:38.891	374ms	27ms	48.0%	2.6 MB	3.9 MB	12.6 MB	12.5 MB
4	f5/a8b9b0	274948	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_234_B)	CACHED	0	2024-01-29 10:14:39.369	4.9s	5s	193.0%	394.7 MB	6.1 GB	25.2 MB	5.8 MB
5	8e/3c6652	274887	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_234_B)	CACHED	0	2024-01-29 10:14:39.293	14.5s	14s	102.8%	834.1 MB	2.4 GB	51.1 MB	3.9 MB
6	69/277d87	275674	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_236_B)	CACHED	0	2024-01-29 10:14:44.288	305ms	36ms	77.4%	2.6 MB	3.9 MB	14.1 MB	13.9 MB
8	db/bf90a1	280166	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_236_B)	CACHED	0	2024-01-29 10:14:57.680	13.2s	13s	102.6%	913.7 MB	2.4 GB	52.5 MB	4.6 MB
7	30/af0378	279635	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_236_B)	CACHED	0	2024-01-29 10:14:53.830	3.8s	3s	192.3%	392.3 MB	6.1 GB	26.5 MB	5.8 MB
9	8c/489405	275684	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_237_B)	CACHED	0	2024-01-29 10:14:44.292	297ms	37ms	58.1%	2.6 MB	3.9 MB	12.9 MB	12.7 MB
10	13/c1bcac	278897	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_237_B)	CACHED	0	2024-01-29 10:14:46.726	3.9s	4s	212.2%	393.4 MB	6.1 GB	25.4 MB	5.7 MB
11	c8/36dd9f	279417	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_237_B)	CACHED	0	2024-01-29 10:14:50.596	12.4s	12s	103.1%	872.9 MB	2.4 GB	51.3 MB	3.9 MB
12	31/fba8c7	275704	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_238_B)	CACHED	0	2024-01-29 10:14:44.297	306ms	34ms	78.7%	2.8 MB	3.9 MB	15.3 MB	15.2 MB
13	8d/295d44	281109	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_238_B)	CACHED	0	2024-01-29 10:15:10.882	3.8s	3s	198.4%	400.6 MB	6.1 GB	27.8 MB	5.7 MB
14	4d/7169ec	280563	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_238_B)	CACHED	0	2024-01-29 10:15:02.951	13.7s	13s	102.7%	929.8 MB	2.4 GB	53.8 MB	4.9 MB
15	4a/41600e	276181	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_239_B)	CACHED	0	2024-01-29 10:14:44.593	431ms	37ms	76.2%	2.8 MB	3.9 MB	16.2 MB	16.1 MB
17	ad/7274de	282806	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_239_B)	CACHED	0	2024-01-29 10:15:24.327	13.1s	13s	103.7%	941.6 MB	2.5 GB	54.7 MB	4.9 MB
16	30/930779	282306	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_239_B)	CACHED	0	2024-01-29 10:15:20.507	3.8s	4s	190.8%	413 MB	6.1 GB	28.7 MB	5.9 MB
18	1a/1ab203	276189	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_240_B)	CACHED	0	2024-01-29 10:14:44.598	393ms	31ms	58.1%	2.6 MB	3.9 MB	13.5 MB	13.4 MB
19	59/f4eccb	281805	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_240_B)	CACHED	0	2024-01-29 10:15:16.644	3.9s	4s	192.8%	398 MB	6.1 GB	26 MB	5.8 MB
20	14/1890dc	281610	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_240_B)	CACHED	0	2024-01-29 10:15:14.724	13.1s	13s	102.9%	903 MB	2.5 GB	52 MB	4.4 MB
21	77/48d3d6	276211	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_241_B)	CACHED	0	2024-01-29 10:14:44.613	415ms	42ms	50.7%	2.5 MB	3.9 MB	14.4 MB	14.3 MB
22	d1/1651e5	283092	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_241_B)	CACHED	0	2024-01-29 10:15:27.869	3.8s	3s	195.1%	401.6 MB	6.1 GB	26.9 MB	5.8 MB
23	ab/cccce0	283617	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_241_B)	CACHED	0	2024-01-29 10:15:31.699	12.6s	13s	103.8%	913.2 MB	2.4 GB	52.9 MB	4.7 MB
24	62/81848a	276683	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_242_B)	CACHED	0	2024-01-29 10:14:44.995	325ms	32ms	65.5%	2.6 MB	3.9 MB	12.5 MB	12.4 MB
25	c7/295ee3	284495	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_242_B)	CACHED	0	2024-01-29 10:15:44.264	3.8s	4s	177.9%	402.1 MB	6.1 GB	25 MB	5.9 MB
26	e4/06fa68	284018	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_242_B)	CACHED	0	2024-01-29 10:15:37.474	11.7s	12s	103.9%	873.4 MB	2.4 GB	51 MB	4 MB
27	00/eb59a2	276741	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_243_B)	CACHED	0	2024-01-29 10:14:45.028	322ms	35ms	61.0%	2.5 MB	3.9 MB	18.5 MB	18.4 MB
28	76/c0c528	285160	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_243_B)	CACHED	0	2024-01-29 10:15:49.167	3.8s	3s	192.6%	408.4 MB	6.1 GB	30.9 MB	5.8 MB
29	75/75d402	284999	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_243_B)	CACHED	0	2024-01-29 10:15:48.069	14s	14s	103.6%	978.8 MB	2.5 GB	56.9 MB	5.9 MB
30	39/ce1d59	276747	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_244_B)	CACHED	0	2024-01-29 10:14:45.035	327ms	43ms	52.2%	2.8 MB	3.9 MB	16.7 MB	16.5 MB
32	e5/41f26c	285688	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_244_B)	CACHED	0	2024-01-29 10:15:52.996	13.3s	13s	103.6%	953.9 MB	2.5 GB	55.1 MB	5.2 MB
31	1b/d8cdcf	286251	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_244_B)	CACHED	0	2024-01-29 10:16:02.093	3.8s	3s	195.6%	400 MB	6.1 GB	29.1 MB	5.8 MB
33	a8/548ada	277168	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_245_B)	CACHED	0	2024-01-29 10:14:45.323	332ms	34ms	81.4%	2.6 MB	3.9 MB	16.1 MB	16 MB
35	f9/737982	286721	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_245_B)	CACHED	0	2024-01-29 10:16:05.898	3.8s	3s	210.9%	400.4 MB	6.2 GB	28.6 MB	5.8 MB
34	b0/24eb06	286923	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_245_B)	CACHED	0	2024-01-29 10:16:06.310	13.5s	13s	102.6%	946.8 MB	2.5 GB	54.5 MB	5.3 MB
36	c0/97e856	277233	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_246_B)	CACHED	0	2024-01-29 10:14:45.357	422ms	38ms	69.6%	2.6 MB	3.9 MB	16.5 MB	16.4 MB
38	2e/6ac02f	288393	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_246_B)	CACHED	0	2024-01-29 10:16:23.327	13.5s	13s	103.4%	944.8 MB	2.5 GB	55 MB	5.5 MB
37	6e/4bbc41	288562	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_246_B)	CACHED	0	2024-01-29 10:16:23.594	3.9s	4s	201.9%	401.2 MB	6.1 GB	29.1 MB	5.8 MB
39	ca/83a43f	277251	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_247_B)	CACHED	0	2024-01-29 10:14:45.367	311ms	37ms	73.8%	2.6 MB	3.9 MB	17.2 MB	17.1 MB
40	b8/8baec4	288002	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_247_B)	CACHED	0	2024-01-29 10:16:19.799	3.8s	4s	184.9%	402.3 MB	6.1 GB	29.6 MB	5.8 MB
41	7b/dc6732	287378	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_247_B)	CACHED	0	2024-01-29 10:16:09.710	13.6s	14s	103.3%	960.7 MB	2.5 GB	55.6 MB	5.5 MB
42	50/b3d9e4	277687	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_248_B)	CACHED	0	2024-01-29 10:14:45.659	323ms	31ms	66.7%	2.6 MB	3.9 MB	17.6 MB	17.4 MB
43	a0/e06b4e	289633	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_248_B)	CACHED	0	2024-01-29 10:16:36.829	3.8s	3s	172.9%	378.1 MB	6.1 GB	30 MB	5.7 MB
44	1d/68271b	289046	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_248_B)	CACHED	0	2024-01-29 10:16:27.466	13.5s	13s	103.4%	957.5 MB	2.5 GB	56 MB	5.4 MB
1	e8/3c29c1	310896	NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY	CACHED	0	2024-01-29 10:17:37.563	3.6s	3.4s	98.5%	5.6 MB	9.8 MB	132 MB	652.4 MB
45	6b/6f69a8	277727	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_249_B)	CACHED	0	2024-01-29 10:14:45.682	310ms	37ms	61.0%	2.5 MB	3.9 MB	15.3 MB	15.2 MB
46	03/6cfc0a	290099	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_249_B)	CACHED	0	2024-01-29 10:16:40.643	3.8s	4s	188.6%	396.6 MB	6.2 GB	27.8 MB	5.8 MB
47	39/214fde	290268	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_249_B)	CACHED	0	2024-01-29 10:16:41.009	13.3s	13s	102.5%	936.9 MB	2.5 GB	53.8 MB	5.1 MB
48	41/604913	277851	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_250_B)	CACHED	0	2024-01-29 10:14:45.781	313ms	30ms	44.4%	2.6 MB	3.9 MB	15.7 MB	15.6 MB
49	2d/d14868	291349	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_250_B)	CACHED	0	2024-01-29 10:16:54.272	3.8s	4s	161.9%	383.9 MB	6.1 GB	28.1 MB	5.8 MB
