# Constructed from biom file
#OTU ID	Villapol_234_B	Villapol_236_B	Villapol_237_B	Villapol_238_B	Villapol_239_B	Villapol_240_B	Villapol_241_B	Villapol_242_B	Villapol_243_B	Villapol_244_B	Villapol_245_B	Villapol_246_B	Villapol_247_B	Villapol_248_B	Villapol_249_B	Villapol_250_B	Villapol_251_B	Villapol_252_B	Villapol_253_B	Villapol_254_B	Villapol_255_B	Villapol_256_B	Villapol_257_B	Villapol_258_B	Villapol_259_B	Villapol_260_B	Villapol_261_B	Villapol_262_B	Villapol_263_B	Villapol_264_B	Villapol_265_B	Villapol_266_B	Villapol_267_B	Villapol_268_B	Villapol_269_B	Villapol_270_B	Villapol_271_B	Villapol_272_B	Villapol_273_B	Villapol_274_B	Villapol_275_B	Villapol_276_B	Villapol_277_B	Villapol_278_B	Villapol_279_B	Villapol_280_B	Villapol_281_B	Villapol_282_B	Villapol_283_B	Villapol_284_B	Villapol_285_B	Villapol_286_B	Villapol_287_B	Villapol_288_B	Villapol_289_B	Villapol_290_B	Villapol_291_B	Villapol_292_B	Villapol_293_B	Villapol_35d_234	Villapol_35d_236	Villapol_35d_237	Villapol_35d_238	Villapol_35d_239	Villapol_35d_240	Villapol_35d_241	Villapol_35d_242	Villapol_35d_243	Villapol_35d_244	Villapol_35d_245	Villapol_35d_246	Villapol_35d_247	Villapol_35d_248	Villapol_35d_249	Villapol_35d_250	Villapol_35d_251	Villapol_35d_252	Villapol_35d_253	Villapol_35d_254	Villapol_35d_255	Villapol_35d_256	Villapol_35d_257	Villapol_35d_258	Villapol_35d_259	Villapol_35d_261	Villapol_35d_262	Villapol_35d_263	Villapol_35d_264	Villapol_35d_265	Villapol_35d_266	Villapol_35d_267	Villapol_35d_268	Villapol_35d_269	Villapol_35d_270	Villapol_35d_271	Villapol_35d_272	Villapol_35d_273	Villapol_35d_274	Villapol_35d_275	Villapol_35d_276	Villapol_35d_277	Villapol_35d_278	Villapol_35d_279	Villapol_35d_280	Villapol_35d_281	Villapol_35d_282	Villapol_35d_283	Villapol_35d_284	Villapol_35d_285	Villapol_35d_286	Villapol_35d_287	Villapol_35d_288	Villapol_35d_289	Villapol_35d_290	Villapol_35d_291	Villapol_35d_292	Villapol_35d_293
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae	1287.0	1271.0	1285.0	1842.0	1464.0	1294.0	1617.0	1314.0	1738.0	2617.0	2175.0	1449.0	2077.0	2382.0	2053.0	2084.0	1940.0	2677.0	1177.0	1773.0	1899.0	1474.0	1748.0	1300.0	1662.0	1661.0	2252.0	1321.0	1589.0	1917.0	1435.0	693.0	1261.0	838.0	2060.0	1673.0	1845.0	1989.0	2179.0	1544.0	2195.0	2394.0	2261.0	2270.0	1377.0	1859.0	3224.0	2442.0	1900.0	1395.0	1911.0	2273.0	3105.0	3093.0	1555.0	1421.0	2147.0	1981.0	2644.0	2513.0	730.0	3366.0	2092.0	3057.0	2776.0	3845.0	3054.0	4481.0	990.0	2319.0	2057.0	3334.0	2728.0	2863.0	2222.0	3522.0	2410.0	2077.0	3503.0	5339.0	4508.0	3518.0	1645.0	2511.0	2043.0	1687.0	3767.0	3402.0	2747.0	2145.0	3080.0	1037.0	2221.0	2920.0	2444.0	1682.0	1977.0	3734.0	1584.0	1821.0	2044.0	5286.0	2535.0	5549.0	3439.0	2144.0	1955.0	5775.0	3374.0	7811.0	6424.0	5257.0	5199.0	2583.0	5963.0	2902.0	4834.0
Bacteria;Firmicutes;Bacilli;RF39;	8.0	36.0	22.0	51.0	6.0	38.0	45.0	20.0	129.0	28.0	14.0	105.0	18.0	44.0	0.0	0.0	0.0	0.0	0.0	12.0	11.0	50.0	19.0	29.0	83.0	20.0	56.0	60.0	51.0	14.0	25.0	6.0	29.0	22.0	6.0	21.0	0.0	19.0	12.0	17.0	8.0	5.0	23.0	97.0	15.0	3.0	18.0	0.0	49.0	28.0	80.0	43.0	113.0	64.0	33.0	14.0	14.0	26.0	34.0	39.0	61.0	36.0	30.0	90.0	2.0	43.0	20.0	164.0	0.0	0.0	0.0	0.0	32.0	60.0	49.0	44.0	48.0	17.0	0.0	60.0	115.0	69.0	10.0	7.0	73.0	0.0	38.0	0.0	16.0	34.0	0.0	0.0	0.0	8.0	34.0	11.0	15.0	10.0	10.0	33.0	54.0	17.0	9.0	40.0	211.0	10.0	27.0	34.0	11.0	54.0	35.0	53.0	34.0	68.0	102.0	81.0	20.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	4016.0	5122.0	3161.0	4100.0	1995.0	3430.0	3627.0	2754.0	3881.0	3760.0	6843.0	4411.0	3413.0	2502.0	9629.0	6017.0	11310.0	6009.0	12173.0	3359.0	4199.0	1866.0	2331.0	2195.0	2174.0	1621.0	2612.0	1605.0	2745.0	3893.0	4577.0	2062.0	5112.0	1748.0	3807.0	3221.0	869.0	4744.0	2119.0	6005.0	10293.0	7598.0	5901.0	10793.0	1081.0	3004.0	1098.0	2920.0	2428.0	1957.0	609.0	3173.0	6865.0	38.0	3958.0	4587.0	2738.0	3990.0	2752.0	3843.0	840.0	1478.0	3691.0	1547.0	1803.0	3475.0	1903.0	559.0	2672.0	4437.0	6610.0	6259.0	2540.0	2805.0	2190.0	3930.0	2480.0	2814.0	1357.0	2489.0	1674.0	41.0	3390.0	1466.0	570.0	2147.0	1118.0	2379.0	1165.0	4117.0	9591.0	1511.0	3533.0	2580.0	4684.0	1745.0	1082.0	3869.0	862.0	386.0	345.0	187.0	4327.0	2362.0	1538.0	1817.0	907.0	1054.0	2641.0	1585.0	3790.0	822.0	5275.0	1253.0	331.0	1660.0	487.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	1965.0	2625.0	1539.0	2013.0	3301.0	2896.0	3285.0	1991.0	4446.0	2525.0	2443.0	5045.0	3654.0	5128.0	2435.0	3978.0	2427.0	3100.0	5033.0	1717.0	2636.0	2734.0	4868.0	4665.0	2787.0	4413.0	2771.0	2647.0	1455.0	2347.0	2966.0	1174.0	962.0	1135.0	4525.0	2477.0	2199.0	1593.0	4634.0	4903.0	6071.0	9086.0	4676.0	5887.0	1460.0	3843.0	4543.0	1726.0	4722.0	7446.0	6998.0	5017.0	8190.0	8262.0	1987.0	679.0	1390.0	2873.0	1338.0	2156.0	2879.0	2627.0	5855.0	2859.0	4257.0	4985.0	3426.0	4722.0	1085.0	3427.0	2647.0	4571.0	2826.0	2139.0	4543.0	2837.0	2938.0	4288.0	4243.0	2763.0	8866.0	7314.0	2155.0	1875.0	2752.0	1088.0	2376.0	6146.0	3338.0	3928.0	3192.0	1406.0	880.0	3162.0	1101.0	1641.0	1378.0	4999.0	4267.0	4796.0	4781.0	8278.0	1900.0	3737.0	5651.0	3448.0	1323.0	1623.0	1523.0	2068.0	2877.0	5179.0	4841.0	1226.0	1746.0	4436.0	1681.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae	5294.0	6530.0	4349.0	5914.0	8456.0	6712.0	4373.0	5935.0	7173.0	7723.0	5616.0	4539.0	7676.0	4530.0	3462.0	4347.0	2882.0	3300.0	2687.0	5679.0	6270.0	6019.0	4519.0	4429.0	8577.0	5396.0	9223.0	7170.0	8945.0	7425.0	10285.0	7583.0	11613.0	7440.0	10794.0	8559.0	6428.0	6580.0	6732.0	1881.0	1617.0	415.0	3308.0	1550.0	4320.0	6598.0	8074.0	8810.0	6832.0	7557.0	6220.0	5829.0	10406.0	1628.0	10921.0	9257.0	9376.0	7948.0	13112.0	7962.0	4048.0	7728.0	4937.0	8095.0	7181.0	5707.0	8301.0	3477.0	3216.0	6938.0	6766.0	4479.0	7433.0	7325.0	8082.0	5741.0	7674.0	7277.0	4316.0	5848.0	7063.0	4640.0	8056.0	10277.0	9288.0	11399.0	11865.0	8950.0	9169.0	10093.0	5464.0	4116.0	10130.0	10411.0	10022.0	9193.0	8694.0	8412.0	10293.0	7013.0	9233.0	2981.0	8624.0	8616.0	7128.0	6744.0	5077.0	10476.0	6846.0	12647.0	10222.0	6571.0	6322.0	4094.0	7820.0	5927.0	12470.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	257.0	153.0	249.0	335.0	425.0	327.0	570.0	268.0	460.0	258.0	387.0	461.0	438.0	573.0	264.0	344.0	272.0	501.0	480.0	269.0	482.0	376.0	417.0	602.0	341.0	870.0	504.0	324.0	203.0	328.0	315.0	143.0	94.0	132.0	530.0	341.0	271.0	277.0	576.0	494.0	689.0	890.0	740.0	608.0	312.0	435.0	460.0	175.0	463.0	898.0	1006.0	509.0	1333.0	870.0	253.0	94.0	172.0	243.0	148.0	396.0	320.0	493.0	892.0	368.0	428.0	570.0	362.0	502.0	111.0	303.0	278.0	527.0	300.0	136.0	402.0	326.0	329.0	593.0	537.0	441.0	1447.0	927.0	276.0	324.0	277.0	132.0	402.0	417.0	367.0	464.0	325.0	107.0	122.0	285.0	181.0	161.0	175.0	729.0	484.0	704.0	580.0	992.0	219.0	840.0	853.0	362.0	230.0	284.0	188.0	257.0	444.0	738.0	723.0	195.0	233.0	648.0	247.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	404.0	237.0	614.0	752.0	392.0	398.0	566.0	448.0	483.0	616.0	973.0	300.0	434.0	509.0	495.0	478.0	786.0	653.0	680.0	788.0	699.0	640.0	1027.0	471.0	798.0	777.0	1020.0	350.0	401.0	543.0	245.0	89.0	163.0	269.0	486.0	295.0	267.0	421.0	234.0	551.0	335.0	436.0	1240.0	751.0	289.0	189.0	731.0	334.0	396.0	372.0	471.0	546.0	749.0	776.0	211.0	257.0	581.0	393.0	369.0	338.0	201.0	548.0	674.0	1531.0	581.0	1050.0	536.0	1124.0	304.0	783.0	802.0	939.0	689.0	473.0	607.0	1187.0	616.0	384.0	833.0	934.0	834.0	2032.0	612.0	493.0	465.0	222.0	715.0	443.0	381.0	136.0	1152.0	184.0	192.0	366.0	342.0	146.0	234.0	426.0	395.0	689.0	630.0	308.0	222.0	397.0	618.0	402.0	128.0	762.0	276.0	684.0	530.0	301.0	701.0	284.0	497.0	558.0	337.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae	17.0	30.0	29.0	43.0	55.0	36.0	30.0	37.0	61.0	92.0	98.0	104.0	134.0	96.0	117.0	107.0	110.0	152.0	163.0	112.0	72.0	80.0	43.0	31.0	38.0	25.0	73.0	58.0	94.0	53.0	81.0	53.0	44.0	58.0	79.0	126.0	86.0	106.0	94.0	89.0	107.0	68.0	161.0	69.0	44.0	126.0	97.0	100.0	86.0	61.0	130.0	114.0	175.0	66.0	43.0	49.0	118.0	140.0	85.0	96.0	29.0	61.0	59.0	73.0	65.0	117.0	112.0	156.0	65.0	139.0	96.0	95.0	121.0	88.0	100.0	71.0	151.0	83.0	64.0	93.0	80.0	101.0	35.0	69.0	68.0	106.0	105.0	49.0	146.0	80.0	78.0	58.0	99.0	114.0	63.0	84.0	88.0	98.0	69.0	104.0	99.0	37.0	69.0	80.0	56.0	114.0	26.0	38.0	39.0	125.0	146.0	90.0	57.0	35.0	105.0	147.0	125.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	192.0	266.0	194.0	229.0	300.0	172.0	327.0	218.0	345.0	297.0	282.0	564.0	272.0	615.0	242.0	385.0	267.0	318.0	631.0	214.0	332.0	302.0	466.0	289.0	425.0	630.0	423.0	310.0	149.0	257.0	326.0	150.0	126.0	129.0	529.0	316.0	341.0	253.0	583.0	583.0	495.0	1186.0	855.0	580.0	409.0	463.0	776.0	128.0	673.0	397.0	559.0	406.0	708.0	691.0	202.0	99.0	231.0	253.0	80.0	205.0	274.0	265.0	579.0	513.0	406.0	587.0	346.0	776.0	127.0	402.0	424.0	624.0	414.0	301.0	534.0	235.0	519.0	670.0	424.0	335.0	1045.0	851.0	126.0	362.0	535.0	129.0	330.0	830.0	544.0	556.0	305.0	138.0	159.0	461.0	301.0	404.0	399.0	401.0	354.0	483.0	462.0	723.0	152.0	260.0	671.0	307.0	127.0	152.0	99.0	152.0	277.0	237.0	376.0	87.0	288.0	465.0	211.0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	10.0	13.0	15.0	12.0	21.0	23.0	19.0	11.0	32.0	22.0	23.0	38.0	32.0	39.0	31.0	14.0	19.0	12.0	42.0	22.0	19.0	12.0	26.0	24.0	24.0	22.0	27.0	19.0	19.0	6.0	27.0	0.0	0.0	0.0	14.0	9.0	3.0	12.0	20.0	46.0	67.0	83.0	42.0	38.0	19.0	24.0	42.0	30.0	30.0	52.0	31.0	29.0	58.0	50.0	12.0	7.0	10.0	17.0	18.0	17.0	12.0	27.0	35.0	21.0	19.0	36.0	20.0	8.0	0.0	26.0	21.0	43.0	13.0	11.0	48.0	11.0	24.0	33.0	20.0	11.0	91.0	42.0	15.0	4.0	16.0	16.0	12.0	40.0	33.0	21.0	25.0	3.0	11.0	32.0	13.0	8.0	7.0	20.0	19.0	48.0	41.0	43.0	4.0	26.0	27.0	17.0	0.0	8.0	3.0	19.0	20.0	40.0	29.0	4.0	4.0	31.0	6.0
