sample	input_tax_filter	filtered_tax_filter	lost	retained_percent	lost_percent
Villapol_234_B	15107	15107.0	0.0	100.0	0.0
Villapol_236_B	18465	18465.0	0.0	100.0	0.0
Villapol_237_B	13975	13975.0	0.0	100.0	0.0
Villapol_238_B	18456	18456.0	0.0	100.0	0.0
Villapol_239_B	18213	18213.0	0.0	100.0	0.0
Villapol_240_B	16870	16870.0	0.0	100.0	0.0
Villapol_241_B	16444	16444.0	0.0	100.0	0.0
Villapol_242_B	14750	14750.0	0.0	100.0	0.0
Villapol_243_B	21283	21283.0	0.0	100.0	0.0
Villapol_244_B	20059	20059.0	0.0	100.0	0.0
Villapol_245_B	20927	20927.0	0.0	100.0	0.0
Villapol_246_B	18599	18599.0	0.0	100.0	0.0
Villapol_247_B	19694	19694.0	0.0	100.0	0.0
Villapol_248_B	18060	18060.0	0.0	100.0	0.0
Villapol_249_B	20920	20920.0	0.0	100.0	0.0
Villapol_250_B	19253	19253.0	0.0	100.0	0.0
Villapol_251_B	22136	22136.0	0.0	100.0	0.0
Villapol_252_B	18960	18960.0	0.0	100.0	0.0
Villapol_253_B	25682	25682.0	0.0	100.0	0.0
Villapol_254_B	16806	16806.0	0.0	100.0	0.0
Villapol_255_B	19257	19257.0	0.0	100.0	0.0
Villapol_256_B	16194	16194.0	0.0	100.0	0.0
Villapol_257_B	17773	17773.0	0.0	100.0	0.0
Villapol_258_B	16183	16183.0	0.0	100.0	0.0
Villapol_259_B	20016	20016.0	0.0	100.0	0.0
Villapol_260_B	18067	18067.0	0.0	100.0	0.0
Villapol_261_B	23752	23752.0	0.0	100.0	0.0
Villapol_262_B	15934	15934.0	0.0	100.0	0.0
Villapol_263_B	18092	18092.0	0.0	100.0	0.0
Villapol_264_B	18901	18901.0	0.0	100.0	0.0
Villapol_265_B	21731	21731.0	0.0	100.0	0.0
Villapol_266_B	12618	12618.0	0.0	100.0	0.0
Villapol_267_B	20565	20565.0	0.0	100.0	0.0
Villapol_268_B	13161	13161.0	0.0	100.0	0.0
Villapol_269_B	25699	25699.0	0.0	100.0	0.0
Villapol_270_B	19902	19902.0	0.0	100.0	0.0
Villapol_271_B	14194	14194.0	0.0	100.0	0.0
Villapol_272_B	18371	18371.0	0.0	100.0	0.0
Villapol_273_B	19580	19580.0	0.0	100.0	0.0
Villapol_274_B	19445	19445.0	0.0	100.0	0.0
Villapol_275_B	25616	25616.0	0.0	100.0	0.0
Villapol_276_B	24842	24842.0	0.0	100.0	0.0
Villapol_277_B	24048	24048.0	0.0	100.0	0.0
Villapol_278_B	25403	25403.0	0.0	100.0	0.0
Villapol_279_B	11689	11689.0	0.0	100.0	0.0
Villapol_280_B	18675	18675.0	0.0	100.0	0.0
Villapol_281_B	23072	23072.0	0.0	100.0	0.0
Villapol_282_B	18361	18361.0	0.0	100.0	0.0
Villapol_283_B	20728	20728.0	0.0	100.0	0.0
Villapol_284_B	21484	21484.0	0.0	100.0	0.0
Villapol_285_B	20334	20334.0	0.0	100.0	0.0
