id	clr	W
;;	-0.15426750683016266	0
Bacteria;;	0.4277817447194652	1
Bacteria;Actinobacteriota;Actinobacteria	-0.66934229680362	8
Bacteria;Actinobacteriota;Coriobacteriia	0.18289507935769878	2
Bacteria;Bacteroidota;Bacteroidia	0.034946860651504874	1
Bacteria;Firmicutes;	-0.09466116934032165	0
Bacteria;Firmicutes;Bacilli	-0.2149194280436033	3
Bacteria;Firmicutes;Clostridia	0.07136818046003812	1
Bacteria;Proteobacteria;Gammaproteobacteria	0.6143047562786578	3
Bacteria;Verrucomicrobiota;Verrucomicrobiae	-0.1981062204496541	0
