	W	Reject null hypothesis
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Ileibacterium	93	True
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Dubosiella	85	True
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Coriobacteriaceae UCG-002	78	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	54	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;	17	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	16	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tuzzerella	16	False
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	10	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;	7	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Paludicola	6	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum	6	False
Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae;Anaerofustis	6	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;	6	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;	6	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;	5	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Asaccharobacter	5	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008	5	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;ASF356	5	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003	5	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Candidatus Stoquefichus	5	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetitomaculum	5	False
Bacteria;Bacteroidota;Bacteroidia;;;	5	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gauvreauii group	5	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor	5	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter	5	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	5	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	5	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;	5	False
;;;;;	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] oxidoreducens group	4	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	4	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001	4	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Candidatus Soleaferrea	4	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;	4	False
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;	4	False
