	W	Reject null hypothesis
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FCS020 group	75	True
Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae;Defluviitaleaceae UCG-011	75	True
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum	75	True
Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Anaeroplasma	70	True
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	65	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	55	False
Bacteria;Firmicutes;Bacilli;RF39;;	39	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter	39	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;	39	False
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;	37	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;	37	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group	35	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001	35	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-009	35	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Paludicola	34	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus	30	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	26	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Dubosiella	26	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Harryflintia	23	False
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	22	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	19	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	17	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	16	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;	16	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;	16	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] oxidoreducens group	15	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003	15	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Candidatus Soleaferrea	15	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;;	15	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;;	15	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Candidatus Stoquefichus	15	False
Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae;Anaerofustis	15	False
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;	15	False
Bacteria;Bacteroidota;Bacteroidia;;;	15	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gauvreauii group	14	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	14	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;;	14	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	13	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;;	13	False
;;;;;	13	False
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	12	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Parvibacter	12	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus	12	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008	11	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Asaccharobacter	11	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;	10	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;	10	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;	10	False
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1	10	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group	10	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae Sedis	9	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005	9	False
Bacteria;Firmicutes;Bacilli;;;	9	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor	9	False
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia	8	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	8	False
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;;	8	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;	8	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetitomaculum	8	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	7	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;	7	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;	7	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Coriobacteriaceae UCG-002	6	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group	6	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;	6	False
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	6	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ventriosum group	6	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum	6	False
Bacteria;Firmicutes;Clostridia;;;	5	False
Bacteria;Firmicutes;;;;	5	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium	5	False
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;	5	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea	5	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group	5	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;	5	False
