Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	F	F	F	F	F	M	M	M	M	M
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;	694.0	1890.75	2147.0	2690.75	5938.0	731.0	1618.0	2093.0	3367.0	7786.0
Bacteria;Firmicutes;Bacilli;RF39;;	1.0	3.25	17.5	35.0	212.0	1.0	18.0	37.0	57.0	165.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	1.0	1.0	1.0	19.75	113.0	1.0	1.0	1.0	21.0	93.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	1.0	1.0	7.5	42.0	291.0	1.0	1.0	1.0	13.0	121.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Dubosiella	5.0	597.75	850.5	1841.25	3461.0	1.0	41.0	272.0	3147.0	7884.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	17.0	52.0	72.5	102.5	210.0	18.0	62.0	92.0	143.0	322.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	104.0	787.25	1135.0	1653.75	3205.0	73.0	486.0	857.0	1197.0	3216.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	332.0	1872.0	2748.0	4453.5	11354.0	39.0	1447.0	2196.0	3657.0	10321.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	90.0	269.5	397.5	610.25	1188.0	202.0	405.0	567.0	763.0	2033.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus	27.0	69.0	93.0	115.0	164.0	18.0	44.0	70.0	102.0	176.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor	7.0	25.75	42.0	67.25	159.0	2.0	30.0	41.0	73.0	255.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;	49.0	120.75	175.0	246.25	544.0	63.0	186.0	271.0	399.0	948.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;	72.0	224.0	404.0	695.5	1130.0	100.0	423.0	626.0	1078.0	2330.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	1.0	40.0	70.5	117.25	315.0	43.0	91.0	129.0	246.0	826.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;	8.0	35.25	58.0	76.25	124.0	9.0	32.0	55.0	89.0	290.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group	268.0	658.0	1041.5	1771.5	2641.0	370.0	986.0	1437.0	2216.0	3999.0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group	1.0	5.75	10.0	13.25	28.0	1.0	6.0	9.0	12.0	28.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter	8.0	23.75	43.0	60.75	110.0	16.0	51.0	62.0	88.0	227.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum	1.0	3132.0	4932.0	7019.0	10190.0	1.0	1.0	3772.0	5942.0	11729.0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;	10.0	49.5	88.5	246.25	925.0	30.0	129.0	211.0	326.0	760.0
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;	1.0	1.0	5.0	8.0	17.0	1.0	5.0	8.0	11.0	23.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001	1.0	18.25	59.5	199.75	1104.0	1.0	5.0	46.0	257.0	3086.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	200.0	464.5	733.0	965.75	1754.0	277.0	706.0	823.0	1091.0	1733.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1	1.0	21.0	176.0	318.25	1120.0	1.0	10.0	24.0	136.0	470.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Anaerotruncus	1.0	1.0	1.0	8.0	29.0	1.0	1.0	6.0	13.0	47.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;;	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group	6.0	70.0	135.0	221.0	848.0	1.0	162.0	267.0	403.0	801.0
Bacteria;;;;;	1.0	1.0	7.5	18.25	82.0	1.0	2.0	7.0	26.0	106.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas	1.0	4.0	8.0	19.25	48.0	1.0	6.0	10.0	22.0	61.0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;;	28.0	80.75	120.0	156.75	280.0	41.0	95.0	141.0	190.0	364.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;HT002	1.0	1.0	1.0	45.25	485.0	1.0	1.0	1.0	11.0	247.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;;	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	4.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia	1.0	56.5	192.0	362.0	996.0	1.0	159.0	372.0	549.0	963.0
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	1.0	13.75	24.5	36.0	68.0	1.0	12.0	25.0	47.0	236.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	17.0	71.75	119.5	225.25	810.0	8.0	64.0	88.0	164.0	431.0
Bacteria;Firmicutes;;;;	1.0	1.0	1.0	1.0	34.0	1.0	1.0	1.0	2.0	53.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus	1.0	32.75	69.0	119.25	279.0	1.0	40.0	75.0	152.0	360.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia	1.0	11.0	23.0	34.25	220.0	1.0	12.0	22.0	38.0	199.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae Sedis	25.0	105.0	175.5	304.25	669.0	61.0	123.0	201.0	310.0	1048.0
Bacteria;Firmicutes;Bacilli;;;	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	2.0	10.0
Bacteria;Bacteroidota;Bacteroidia;;;	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	1.0	11.0	25.0	49.25	165.0	1.0	25.0	48.0	79.0	245.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Ileibacterium	1.0	1.0	1.0	1.0	120.0	1.0	1.0	1.0	1.0	5785.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ventriosum group	45.0	158.75	234.0	340.25	685.0	1.0	169.0	241.0	313.0	796.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;	1.0	1.0	1.0	1.0	12.0	1.0	1.0	1.0	1.0	23.0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia	1.0	105.75	354.0	552.75	1017.0	1.0	31.0	165.0	268.0	1397.0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001	1.0	1.0	6.0	13.25	25.0	1.0	6.0	9.0	18.0	59.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;A2	1.0	46.75	75.0	158.25	375.0	8.0	67.0	108.0	231.0	816.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;	1.0	5.0	8.0	11.0	27.0	1.0	7.0	9.0	14.0	23.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	1.0	1.0	3.0	28.75	97.0	1.0	1.0	1.0	22.0	72.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;	1.0	1.0	6.0	11.25	83.0	1.0	1.0	5.0	9.0	37.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Asaccharobacter	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	5.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;	1.0	1.0	1.0	5.25	14.0	1.0	1.0	5.0	7.0	14.0
