	W	Reject null hypothesis
93ca769ae201bb1896db00a095254f31	3872	True
452afb6e36f623626dbf48eb303f997b	3872	True
18bd5640bde80098cbe9a16f97e3b5f7	3872	True
1785799e84a41b125f2c467a03c958bd	3867	True
494700f0c7a55f18674a4f7957a37b6a	3866	True
b64a96c805038e71f8db661b3c61e609	3861	True
46290349fdb3823a201c0b4fc6023bc7	3861	True
50c68ece8b4071ea800fbefc3d1c2c07	3860	True
dcb3972c65b7275c955cb08db91a2eb0	3854	True
9a50c310c570fa39a4245715c680fbfa	3789	True
fda7994e8f4e23aeac39c12f5cb77c1a	3754	True
1d7834c6774e38d56ed36b94d6a1b8e6	3726	True
436ce619f5e2ef1a96e5615f5442e2a4	3725	True
759837042ce553fc7eb0beb658795e08	3717	True
63a206a073822a020585f225ce0baa21	3684	True
d58e34c4ea23cb3fd60beb2d92888784	3578	True
e9077bc492b6fef0dd1c69ff427af6fc	3559	True
3e0562875a3e7e8064b04f8a61fe7fea	3478	False
abb426d2b1afec73dca9a0476a63cd8b	3460	False
1993b6a31dcf285bfd508a079f2b6455	3340	False
2b3b64ed13bbe0e244f1555509db42d4	3193	False
61ebe6bc68581c0b726665f67081674b	3177	False
a4d598c4b0ca87e01e75e6ef01c34d96	3085	False
a9472153b8f163c7347782056a82868c	2780	False
a4afa10edf3b3a22eeae6a9611aa5ee9	137	False
3ada00c2495bf99d9e0b37663a7ebb41	128	False
21c1649d92fde51270db045745f7bbff	102	False
e6e7fcb4277f3886d18fdde923a3db0a	95	False
0dc730c264aa9465ad446195387bea6e	84	False
d1600aadbf4d8d84e3a07bc4a21d79b6	61	False
a4cf3c3a3c3b97e1ee5b967a712e1457	43	False
e1964cd5b2ddbc4d9137a63dcbb3d83e	39	False
bf4739be86855c0a77c3351c4d60f03d	39	False
09bd5ef7d7c5aad8aa21510be7a1d1a1	38	False
c1c07a84fd1f4a1df1b02fbdfcb54f93	36	False
74679f3f81f03cd57d914304ce5fdbd1	36	False
2c86961e454abf32d4851d9a7ec138c5	34	False
61c37c1e5cf6b2f180632911a3ef2775	34	False
fe184f2b4abca7e52606d1584513a875	33	False
29c16acd3ee197be8d0e5c4af4c5767c	33	False
ed943af1e01a86e2032a7568e8a109d3	33	False
44914f464285d51c113f5d27ccf5640a	32	False
a470e7ba272dac261f44490fc2a834d1	32	False
7d88b53f36a04c8f253c6fd6d4e7b3ac	31	False
d81354216c6dbb9198c620f5a5462990	31	False
a663ce952e845f471b7befe3da01fb1a	31	False
8c63b6c34307dddd8477ba30b45e30aa	31	False
0d72ffece368e0a494422afd46e9ea6f	31	False
