	W	Reject null hypothesis
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus	97	True
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	96	True
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	96	True
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;HT002	95	True
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	33	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;	19	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;	17	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetitomaculum	13	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;;	12	False
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;;	11	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;	11	False
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	10	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Parvibacter	8	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes	8	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Candidatus Stoquefichus	8	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gauvreauii group	8	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;	7	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;	7	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003	7	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae Sedis	7	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008	6	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;;	6	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;	6	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus	6	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group	6	False
Bacteria;Bacteroidota;Bacteroidia;;;	6	False
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;	6	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;;	6	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	6	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;	5	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus	5	False
Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae;Anaerofustis	5	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	5	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	5	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] oxidoreducens group	5	False
;;;;;	5	False
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	5	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Asaccharobacter	5	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	5	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Candidatus Soleaferrea	5	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group	5	False
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia	5	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;;	5	False
Bacteria;Firmicutes;Bacilli;;;	4	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-009	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae;Defluviitaleaceae UCG-011	4	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005	4	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;	4	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas	4	False
Bacteria;;;;;	4	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Harryflintia	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group	4	False
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	4	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	4	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group	4	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Anaerotruncus	4	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum	4	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	4	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Coriobacteriaceae UCG-002	4	False
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001	4	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Paludicola	4	False
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;	4	False
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;	4	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Dubosiella	4	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	4	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;ASF356	4	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tuzzerella	4	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Ileibacterium	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ventriosum group	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia	4	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia	4	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;A2	4	False
Bacteria;Firmicutes;Bacilli;RF39;;	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	4	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;	4	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus	4	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;	4	False
Bacteria;Firmicutes;;;;	4	False
Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Anaeroplasma	4	False
Bacteria;Firmicutes;Clostridia;;;	4	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter	4	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium	4	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FCS020 group	4	False
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;	4	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group	4	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea	4	False
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;	4	False
