index,Bacteria,,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_234_B,15107.0,0.0,234.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_236_B,18465.0,0.0,236.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_237_B,13975.0,0.0,237.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_238_B,18456.0,0.0,238.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_239_B,18213.0,0.0,239.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_240_B,16870.0,0.0,240.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_241_B,16444.0,0.0,241.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_242_B,14750.0,0.0,242.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_243_B,21283.0,0.0,243.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_244_B,20057.0,2.0,244.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_245_B,20927.0,0.0,245.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_246_B,18599.0,0.0,246.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_247_B,19694.0,0.0,247.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_248_B,18060.0,0.0,248.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_249_B,20920.0,0.0,249.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_250_B,19253.0,0.0,250.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_251_B,22136.0,0.0,251.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_252_B,18960.0,0.0,252.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_253_B,25682.0,0.0,253.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_254_B,16806.0,0.0,254.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_255_B,19257.0,0.0,255.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_256_B,16194.0,0.0,256.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_257_B,17773.0,0.0,257.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_258_B,16183.0,0.0,258.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_259_B,20016.0,0.0,259.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_260_B,18067.0,0.0,260.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_261_B,23752.0,0.0,261.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_262_B,15934.0,0.0,262.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_263_B,18092.0,0.0,263.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_264_B,18901.0,0.0,264.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_265_B,21731.0,0.0,265.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_266_B,12618.0,0.0,266.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_267_B,20565.0,0.0,267.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_268_B,13161.0,0.0,268.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_269_B,25699.0,0.0,269.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_270_B,19902.0,0.0,270.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_271_B,14194.0,0.0,271.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_272_B,18371.0,0.0,272.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_273_B,19580.0,0.0,273.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_274_B,19445.0,0.0,274.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_275_B,25616.0,0.0,275.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_276_B,24842.0,0.0,276.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_277_B,24048.0,0.0,277.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_278_B,25403.0,0.0,278.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_279_B,11689.0,0.0,279.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_280_B,18675.0,0.0,280.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_281_B,23072.0,0.0,281.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_282_B,18361.0,0.0,282.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_283_B,20728.0,0.0,283.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_284_B,21484.0,0.0,284.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_285_B,20334.0,0.0,285.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_286_B,19928.0,0.0,286.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_287_B,34821.0,0.0,287.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_288_B,17731.0,0.0,288.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_289_B,20805.0,0.0,289.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_290_B,18016.0,0.0,290.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_291_B,19293.0,0.0,291.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_292_B,20182.0,0.0,292.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_293_B,23024.0,0.0,293.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_35d_234,19451.0,0.0,234.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_236,10606.0,0.0,236.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_237,19859.0,0.0,237.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_238,20893.0,0.0,238.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_239,20792.0,0.0,239.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_240,19618.0,0.0,240.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_241,23355.0,0.0,241.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_242,21395.0,2.0,242.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_243,19528.0,0.0,243.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_244,9201.0,0.0,244.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_245,20652.0,0.0,245.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_246,21349.0,0.0,246.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_247,21968.0,0.0,247.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_248,19739.0,0.0,248.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_249,21229.0,0.0,249.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_250,21723.0,0.0,250.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_251,22521.0,0.0,251.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_252,21913.0,0.0,252.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_253,21146.0,0.0,253.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_254,17433.0,0.0,254.0,WT,M,CCI,Vehicle,35d,PAN
