index,Bacteria;Bacteroidota,Bacteria;Firmicutes,Bacteria;Actinobacteriota,Bacteria;,Bacteria;Verrucomicrobiota,Bacteria;Proteobacteria,;,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_234_B,2083.0,12460.0,89.0,25.0,403.0,47.0,0.0,234.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_236_B,2111.0,15998.0,94.0,3.0,220.0,39.0,0.0,236.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_237_B,2738.0,10906.0,74.0,0.0,224.0,33.0,0.0,237.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_238_B,3609.0,14361.0,97.0,13.0,313.0,63.0,0.0,238.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_239_B,2647.0,14946.0,116.0,2.0,459.0,43.0,0.0,239.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_240_B,2216.0,14053.0,121.0,4.0,420.0,56.0,0.0,240.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_241_B,2999.0,12854.0,68.0,0.0,497.0,26.0,0.0,241.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_242_B,2223.0,12115.0,88.0,8.0,289.0,27.0,0.0,242.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_243_B,2926.0,17590.0,113.0,44.0,584.0,26.0,0.0,243.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_244_B,4007.0,15439.0,162.0,17.0,361.0,71.0,2.0,244.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_245_B,3944.0,16528.0,204.0,16.0,176.0,59.0,0.0,245.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_246_B,2553.0,15764.0,154.0,39.0,79.0,10.0,0.0,246.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_247_B,3407.0,16018.0,179.0,18.0,14.0,58.0,0.0,247.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_248_B,3701.0,13972.0,124.0,4.0,234.0,25.0,0.0,248.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_249_B,3661.0,16614.0,412.0,10.0,175.0,48.0,0.0,249.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_250_B,3359.0,15572.0,258.0,5.0,15.0,44.0,0.0,250.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_251_B,4112.0,17639.0,262.0,15.0,100.0,8.0,0.0,251.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_252_B,4321.0,13986.0,353.0,0.0,250.0,50.0,0.0,252.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_253_B,3610.0,21708.0,304.0,9.0,23.0,28.0,0.0,253.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_254_B,3158.0,12673.0,335.0,14.0,548.0,78.0,0.0,254.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_255_B,3370.0,15229.0,183.0,0.0,389.0,86.0,0.0,255.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_256_B,2762.0,12727.0,283.0,19.0,360.0,43.0,0.0,256.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_257_B,3590.0,13894.0,99.0,3.0,122.0,65.0,0.0,257.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_258_B,2607.0,13024.0,107.0,62.0,311.0,72.0,0.0,258.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_259_B,3550.0,15484.0,197.0,18.0,652.0,115.0,0.0,259.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_260_B,3612.0,13680.0,87.0,4.0,609.0,75.0,0.0,260.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_261_B,4437.0,17904.0,322.0,1.0,962.0,126.0,0.0,261.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_262_B,2435.0,12889.0,230.0,50.0,218.0,112.0,0.0,262.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_263_B,2794.0,14362.0,314.0,4.0,503.0,115.0,0.0,263.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_264_B,3115.0,15437.0,206.0,0.0,137.0,6.0,0.0,264.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_265_B,2213.0,19144.0,169.0,9.0,146.0,50.0,0.0,265.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_266_B,1086.0,11384.0,134.0,0.0,4.0,10.0,0.0,266.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_267_B,1762.0,18439.0,220.0,13.0,39.0,92.0,0.0,267.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_268_B,1528.0,11328.0,174.0,0.0,102.0,29.0,0.0,268.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_269_B,3747.0,21409.0,222.0,23.0,280.0,18.0,0.0,269.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_270_B,3196.0,16045.0,535.0,5.0,100.0,21.0,0.0,270.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_271_B,2559.0,11011.0,284.0,0.0,324.0,16.0,0.0,271.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_272_B,2898.0,14942.0,303.0,0.0,184.0,44.0,0.0,272.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_273_B,3253.0,15738.0,245.0,0.0,321.0,23.0,0.0,273.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_274_B,2923.0,15407.0,522.0,35.0,435.0,123.0,0.0,274.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_275_B,3423.0,20598.0,724.0,69.0,558.0,244.0,0.0,275.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_276_B,4562.0,20049.0,81.0,62.0,88.0,0.0,0.0,276.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_277_B,4570.0,18759.0,471.0,5.0,127.0,116.0,0.0,277.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_278_B,3887.0,21123.0,189.0,16.0,118.0,70.0,0.0,278.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_279_B,1957.0,8915.0,118.0,16.0,625.0,58.0,0.0,279.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_280_B,2660.0,15398.0,199.0,6.0,347.0,65.0,0.0,280.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_281_B,5048.0,16774.0,226.0,13.0,916.0,95.0,0.0,281.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_282_B,3107.0,14302.0,222.0,0.0,681.0,49.0,0.0,282.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_283_B,2876.0,17347.0,144.0,43.0,276.0,42.0,0.0,283.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_284_B,2257.0,18770.0,195.0,28.0,187.0,47.0,0.0,284.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_285_B,3099.0,16132.0,228.0,37.0,780.0,58.0,0.0,285.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_286_B,3570.0,15690.0,194.0,4.0,432.0,38.0,0.0,286.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_287_B,5299.0,28653.0,357.0,105.0,371.0,36.0,0.0,287.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_288_B,4970.0,12411.0,92.0,5.0,222.0,31.0,0.0,288.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_289_B,1965.0,18052.0,134.0,5.0,485.0,164.0,0.0,289.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_290_B,2052.0,15456.0,178.0,0.0,273.0,57.0,0.0,290.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_291_B,3339.0,15041.0,357.0,4.0,548.0,4.0,0.0,291.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_292_B,2755.0,16500.0,266.0,10.0,627.0,24.0,0.0,292.0,WT,F,Sham,Vehicle,Baseline,PAN
