index,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;;,Bacteria;Verrucomicrobiota;Verrucomicrobiae,Bacteria;Firmicutes;,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Actinobacteriota;Actinobacteria,;;,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_234_B,2083.0,9352.0,3108.0,17.0,25.0,403.0,0.0,47.0,72.0,0.0,234.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_236_B,2111.0,11784.0,4212.0,30.0,3.0,220.0,2.0,39.0,64.0,0.0,236.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_237_B,2738.0,7767.0,3138.0,29.0,0.0,224.0,1.0,33.0,45.0,0.0,237.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_238_B,3609.0,10328.0,4033.0,43.0,13.0,313.0,0.0,63.0,54.0,0.0,238.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_239_B,2647.0,10493.0,4451.0,55.0,2.0,459.0,2.0,43.0,61.0,0.0,239.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_240_B,2216.0,10210.0,3843.0,36.0,4.0,420.0,0.0,56.0,85.0,0.0,240.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_241_B,2999.0,8087.0,4766.0,30.0,0.0,497.0,1.0,26.0,38.0,0.0,241.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_242_B,2223.0,8935.0,3180.0,37.0,8.0,289.0,0.0,27.0,51.0,0.0,242.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_243_B,2926.0,11271.0,6318.0,61.0,44.0,584.0,1.0,26.0,52.0,0.0,243.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_244_B,4007.0,11734.0,3705.0,92.0,17.0,361.0,0.0,71.0,70.0,2.0,244.0,WT,F,CCI,PAN,Baseline,PAN
