index,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;;;,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;;,Bacteria;Firmicutes;Bacilli;,Bacteria;Bacteroidota;Bacteroidia;,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Firmicutes;Clostridia;,Bacteria;Firmicutes;Clostridia;Christensenellales,;;;,Bacteria;Firmicutes;Bacilli;Acholeplasmatales,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Clostridia;Eubacteriales,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_234_B,2083.0,8.0,4016.0,1977.0,5302.0,526.0,17.0,143.0,293.0,0.0,83.0,25.0,64.0,403.0,22.0,0.0,0.0,0.0,47.0,72.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,234.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_236_B,2111.0,36.0,5122.0,2630.0,6530.0,494.0,30.0,431.0,298.0,0.0,201.0,3.0,139.0,220.0,19.0,2.0,0.0,0.0,39.0,64.0,0.0,0.0,0.0,47.0,49.0,0.0,0.0,236.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_237_B,2738.0,22.0,3161.0,1548.0,4361.0,553.0,29.0,328.0,342.0,7.0,215.0,0.0,117.0,224.0,28.0,1.0,3.0,0.0,33.0,45.0,0.0,0.0,0.0,43.0,166.0,11.0,0.0,237.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_238_B,3609.0,51.0,4100.0,2024.0,5929.0,674.0,43.0,388.0,455.0,6.0,242.0,13.0,196.0,313.0,48.0,0.0,1.0,0.0,63.0,54.0,0.0,0.0,0.0,55.0,186.0,6.0,0.0,238.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_239_B,2647.0,6.0,1995.0,3301.0,8470.0,783.0,55.0,185.0,37.0,9.0,23.0,2.0,85.0,459.0,28.0,2.0,0.0,0.0,43.0,61.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,239.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_240_B,2216.0,38.0,3430.0,2904.0,6716.0,579.0,36.0,99.0,123.0,11.0,3.0,4.0,72.0,420.0,52.0,0.0,0.0,0.0,56.0,85.0,0.0,0.0,0.0,20.0,6.0,0.0,0.0,240.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_241_B,2999.0,45.0,3627.0,3292.0,4373.0,951.0,30.0,197.0,42.0,7.0,49.0,0.0,154.0,497.0,74.0,1.0,1.0,0.0,26.0,38.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,241.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_242_B,2223.0,20.0,2754.0,1995.0,5952.0,599.0,37.0,234.0,226.0,5.0,35.0,8.0,40.0,289.0,46.0,0.0,0.0,0.0,27.0,51.0,0.0,0.0,0.0,203.0,6.0,0.0,0.0,242.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_243_B,2926.0,129.0,3881.0,4455.0,7188.0,974.0,61.0,299.0,346.0,6.0,56.0,44.0,134.0,584.0,48.0,1.0,2.0,0.0,26.0,52.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,243.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_244_B,4007.0,28.0,3760.0,2527.0,7730.0,584.0,92.0,22.0,273.0,7.0,0.0,17.0,242.0,361.0,50.0,0.0,2.0,0.0,71.0,70.0,0.0,0.0,2.0,214.0,0.0,0.0,0.0,244.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_245_B,3944.0,14.0,6843.0,2443.0,5678.0,700.0,98.0,23.0,140.0,12.0,0.0,16.0,264.0,176.0,42.0,0.0,0.0,0.0,59.0,106.0,3.0,0.0,0.0,366.0,0.0,0.0,0.0,245.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_246_B,2553.0,105.0,4411.0,5048.0,4545.0,1084.0,104.0,38.0,89.0,13.0,0.0,39.0,146.0,79.0,32.0,0.0,3.0,0.0,10.0,50.0,1.0,0.0,0.0,249.0,0.0,0.0,0.0,246.0,WT,F,CCI,PAN,Baseline,PAN
