index,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae,Bacteria;Firmicutes;Bacilli;RF39;,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae,Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;,Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales;,Bacteria;;;;,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;,Bacteria;Firmicutes;Clostridia;Oscillospirales;,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae,Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae,Bacteria;Firmicutes;;;,Bacteria;Firmicutes;Bacilli;;,Bacteria;Bacteroidota;Bacteroidia;;,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010,Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae,Bacteria;Firmicutes;Clostridia;;,Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae,;;;;,Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis,Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae,Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae,Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae,Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group,Bacteria;Firmicutes;Bacilli;Erysipelotrichales;,Bacteria;Firmicutes;Bacilli;Lactobacillales;,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_234_B,1287.0,8.0,4016.0,1965.0,5294.0,257.0,404.0,17.0,192.0,10.0,293.0,0.0,392.0,83.0,0.0,25.0,64.0,0.0,403.0,22.0,0.0,0.0,0.0,47.0,0.0,133.0,3.0,8.0,72.0,0.0,0.0,0.0,13.0,0.0,12.0,0.0,13.0,0.0,25.0,0.0,0.0,0.0,49.0,0.0,0.0,234.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_236_B,1271.0,36.0,5122.0,2625.0,6530.0,153.0,237.0,30.0,266.0,13.0,298.0,0.0,603.0,201.0,0.0,3.0,139.0,0.0,220.0,19.0,2.0,0.0,0.0,39.0,0.0,418.0,8.0,0.0,64.0,0.0,0.0,0.0,47.0,0.0,5.0,0.0,49.0,0.0,30.0,0.0,0.0,0.0,37.0,0.0,0.0,236.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_237_B,1285.0,22.0,3161.0,1539.0,4349.0,249.0,614.0,29.0,194.0,15.0,342.0,7.0,839.0,215.0,0.0,0.0,117.0,0.0,224.0,28.0,1.0,3.0,0.0,33.0,0.0,313.0,7.0,12.0,45.0,0.0,0.0,0.0,43.0,0.0,9.0,0.0,166.0,11.0,11.0,0.0,0.0,0.0,92.0,0.0,0.0,237.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_238_B,1842.0,51.0,4100.0,2013.0,5914.0,335.0,752.0,43.0,229.0,12.0,455.0,6.0,1015.0,242.0,0.0,13.0,196.0,0.0,313.0,48.0,0.0,1.0,0.0,63.0,0.0,376.0,9.0,15.0,54.0,0.0,0.0,0.0,55.0,0.0,11.0,0.0,186.0,6.0,23.0,0.0,0.0,0.0,78.0,0.0,0.0,238.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_239_B,1464.0,6.0,1995.0,3301.0,8456.0,425.0,392.0,55.0,300.0,21.0,37.0,9.0,791.0,23.0,0.0,2.0,85.0,0.0,459.0,28.0,2.0,0.0,0.0,43.0,0.0,164.0,11.0,14.0,61.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,9.0,0.0,0.0,239.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_240_B,1294.0,38.0,3430.0,2896.0,6712.0,327.0,398.0,36.0,172.0,23.0,123.0,11.0,524.0,3.0,0.0,4.0,72.0,2.0,420.0,52.0,0.0,0.0,0.0,56.0,0.0,76.0,7.0,4.0,85.0,0.0,0.0,0.0,20.0,0.0,8.0,0.0,6.0,0.0,19.0,0.0,0.0,0.0,52.0,0.0,0.0,240.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_241_B,1617.0,45.0,3627.0,3285.0,4373.0,570.0,566.0,30.0,327.0,19.0,42.0,7.0,816.0,49.0,0.0,0.0,154.0,0.0,497.0,74.0,1.0,1.0,0.0,26.0,0.0,178.0,6.0,0.0,38.0,0.0,0.0,0.0,41.0,0.0,7.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,25.0,0.0,0.0,241.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_242_B,1314.0,20.0,2754.0,1991.0,5935.0,268.0,448.0,37.0,218.0,11.0,226.0,5.0,461.0,35.0,0.0,8.0,40.0,0.0,289.0,46.0,0.0,0.0,0.0,27.0,0.0,223.0,8.0,17.0,51.0,0.0,0.0,0.0,203.0,0.0,4.0,0.0,6.0,0.0,20.0,0.0,0.0,0.0,85.0,0.0,0.0,242.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_243_B,1738.0,129.0,3881.0,4446.0,7173.0,460.0,483.0,61.0,345.0,32.0,346.0,6.0,705.0,56.0,0.0,44.0,134.0,0.0,584.0,48.0,1.0,2.0,0.0,26.0,0.0,267.0,7.0,15.0,52.0,0.0,0.0,0.0,71.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,151.0,0.0,0.0,243.0,WT,M,CCI,PAN,Baseline,PAN
Villapol_244_B,2617.0,28.0,3760.0,2525.0,7723.0,258.0,616.0,92.0,297.0,22.0,273.0,7.0,773.0,0.0,0.0,17.0,242.0,0.0,361.0,50.0,0.0,2.0,0.0,71.0,1.0,0.0,8.0,7.0,70.0,0.0,0.0,2.0,214.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,13.0,0.0,0.0,244.0,WT,F,CCI,PAN,Baseline,PAN
