id	Sex	Injury	Treatment	Timepoint	pielou_evenness
#q2:types	categorical	categorical	categorical	categorical	numeric
Villapol_234_B	M	CCI	PAN	Baseline	0.627336461579255
Villapol_236_B	M	CCI	PAN	Baseline	0.621534890274474
Villapol_237_B	M	CCI	PAN	Baseline	0.663402800913815
Villapol_238_B	M	CCI	PAN	Baseline	0.652384917230431
Villapol_239_B	M	CCI	PAN	Baseline	0.665503412837028
Villapol_240_B	M	CCI	PAN	Baseline	0.661828761286784
Villapol_241_B	M	CCI	PAN	Baseline	0.708192713322685
Villapol_242_B	M	CCI	PAN	Baseline	0.675151279552683
Villapol_243_B	M	CCI	PAN	Baseline	0.705562283963341
Villapol_244_B	F	CCI	PAN	Baseline	0.692332908635523
Villapol_245_B	F	CCI	PAN	Baseline	0.668956892203611
Villapol_246_B	F	CCI	PAN	Baseline	0.759787714351415
Villapol_247_B	F	CCI	PAN	Baseline	0.714621886336877
Villapol_248_B	F	CCI	PAN	Baseline	0.781503122307222
Villapol_249_B	F	CCI	PAN	Baseline	0.610506988909959
Villapol_250_B	F	CCI	PAN	Baseline	0.670273841795133
Villapol_251_B	F	CCI	PAN	Baseline	0.595790278141652
Villapol_252_B	F	CCI	PAN	Baseline	0.701313169896498
Villapol_253_B	F	CCI	PAN	Baseline	0.630277582952168
Villapol_254_B	M	CCI	Vehicle	Baseline	0.651384505389989
Villapol_255_B	M	CCI	Vehicle	Baseline	0.63015833818564
Villapol_256_B	M	CCI	Vehicle	Baseline	0.661721855273486
Villapol_257_B	M	CCI	Vehicle	Baseline	0.712985525227246
Villapol_258_B	M	CCI	Vehicle	Baseline	0.699331949368002
Villapol_259_B	M	CCI	Vehicle	Baseline	0.616346737372753
Villapol_260_B	M	CCI	Vehicle	Baseline	0.703116401835462
Villapol_261_B	M	CCI	Vehicle	Baseline	0.641370826578718
Villapol_262_B	M	CCI	Vehicle	Baseline	0.623039105244358
Villapol_263_B	M	CCI	Vehicle	Baseline	0.555444240318043
Villapol_264_B	F	CCI	Vehicle	Baseline	0.681783486634318
