id	Sex	Injury	Treatment	Timepoint	faith_pd
#q2:types	categorical	categorical	categorical	categorical	numeric
Villapol_234_B	M	CCI	PAN	Baseline	34.7002790209667
Villapol_236_B	M	CCI	PAN	Baseline	24.4137829683322
Villapol_237_B	M	CCI	PAN	Baseline	23.5255704243666
Villapol_238_B	M	CCI	PAN	Baseline	37.2372684255002
Villapol_239_B	M	CCI	PAN	Baseline	25.5621703707251
Villapol_240_B	M	CCI	PAN	Baseline	36.5414033896073
Villapol_241_B	M	CCI	PAN	Baseline	26.2460625365405
Villapol_242_B	M	CCI	PAN	Baseline	36.8155711664163
Villapol_243_B	M	CCI	PAN	Baseline	37.6990494788802
Villapol_244_B	F	CCI	PAN	Baseline	54.925324258269
Villapol_245_B	F	CCI	PAN	Baseline	39.9601371525185
Villapol_246_B	F	CCI	PAN	Baseline	44.418735656024
Villapol_247_B	F	CCI	PAN	Baseline	44.0808173632966
Villapol_248_B	F	CCI	PAN	Baseline	39.3551147666279
Villapol_249_B	F	CCI	PAN	Baseline	33.2621856723236
Villapol_250_B	F	CCI	PAN	Baseline	36.2255159482966
Villapol_251_B	F	CCI	PAN	Baseline	33.1354730970887
Villapol_252_B	F	CCI	PAN	Baseline	23.6468885671838
Villapol_253_B	F	CCI	PAN	Baseline	38.6184395648461
Villapol_254_B	M	CCI	Vehicle	Baseline	31.3871817469421
Villapol_255_B	M	CCI	Vehicle	Baseline	25.1294798945365
Villapol_256_B	M	CCI	Vehicle	Baseline	42.1635827843104
Villapol_257_B	M	CCI	Vehicle	Baseline	36.1242972114375
Villapol_258_B	M	CCI	Vehicle	Baseline	42.2783820327612
Villapol_259_B	M	CCI	Vehicle	Baseline	36.4611345042063
Villapol_260_B	M	CCI	Vehicle	Baseline	34.4948600831404
Villapol_261_B	M	CCI	Vehicle	Baseline	23.8447617117055
Villapol_262_B	M	CCI	Vehicle	Baseline	38.6809888022236
Villapol_263_B	M	CCI	Vehicle	Baseline	34.0653508478097
Villapol_264_B	F	CCI	Vehicle	Baseline	23.0446295852671
Villapol_265_B	F	CCI	Vehicle	Baseline	41.1512286099073
Villapol_266_B	F	CCI	Vehicle	Baseline	19.196750939046
Villapol_267_B	F	CCI	Vehicle	Baseline	29.9805935456342
Villapol_268_B	F	CCI	Vehicle	Baseline	18.7192014162673
Villapol_269_B	F	CCI	Vehicle	Baseline	42.8308341750564
Villapol_270_B	F	CCI	Vehicle	Baseline	36.3286478925209
Villapol_271_B	F	CCI	Vehicle	Baseline	22.7658092092162
Villapol_272_B	F	CCI	Vehicle	Baseline	23.469564630933
Villapol_273_B	F	CCI	Vehicle	Baseline	25.2493257246187
