id	Sex	Injury	Treatment	Timepoint	observed_features
#q2:types	categorical	categorical	categorical	categorical	numeric
Villapol_234_B	M	CCI	PAN	Baseline	195
Villapol_236_B	M	CCI	PAN	Baseline	207
Villapol_237_B	M	CCI	PAN	Baseline	185
Villapol_238_B	M	CCI	PAN	Baseline	225
Villapol_239_B	M	CCI	PAN	Baseline	223
Villapol_240_B	M	CCI	PAN	Baseline	208
Villapol_241_B	M	CCI	PAN	Baseline	230
Villapol_242_B	M	CCI	PAN	Baseline	201
Villapol_243_B	M	CCI	PAN	Baseline	245
Villapol_244_B	F	CCI	PAN	Baseline	203
Villapol_245_B	F	CCI	PAN	Baseline	207
Villapol_246_B	F	CCI	PAN	Baseline	278
Villapol_247_B	F	CCI	PAN	Baseline	255
Villapol_248_B	F	CCI	PAN	Baseline	278
Villapol_249_B	F	CCI	PAN	Baseline	196
Villapol_250_B	F	CCI	PAN	Baseline	223
Villapol_251_B	F	CCI	PAN	Baseline	177
Villapol_252_B	F	CCI	PAN	Baseline	221
Villapol_253_B	F	CCI	PAN	Baseline	276
Villapol_254_B	M	CCI	Vehicle	Baseline	161
Villapol_255_B	M	CCI	Vehicle	Baseline	226
Villapol_256_B	M	CCI	Vehicle	Baseline	218
Villapol_257_B	M	CCI	Vehicle	Baseline	235
Villapol_258_B	M	CCI	Vehicle	Baseline	243
Villapol_259_B	M	CCI	Vehicle	Baseline	210
Villapol_260_B	M	CCI	Vehicle	Baseline	224
Villapol_261_B	M	CCI	Vehicle	Baseline	188
Villapol_262_B	M	CCI	Vehicle	Baseline	186
Villapol_263_B	M	CCI	Vehicle	Baseline	152
Villapol_264_B	F	CCI	Vehicle	Baseline	177
Villapol_265_B	F	CCI	Vehicle	Baseline	191
Villapol_266_B	F	CCI	Vehicle	Baseline	124
Villapol_267_B	F	CCI	Vehicle	Baseline	124
Villapol_268_B	F	CCI	Vehicle	Baseline	127
Villapol_269_B	F	CCI	Vehicle	Baseline	256
Villapol_270_B	F	CCI	Vehicle	Baseline	200
Villapol_271_B	F	CCI	Vehicle	Baseline	194
Villapol_272_B	F	CCI	Vehicle	Baseline	177
Villapol_273_B	F	CCI	Vehicle	Baseline	249
Villapol_274_B	M	Sham	PAN	Baseline	292
Villapol_275_B	M	Sham	PAN	Baseline	278
Villapol_276_B	M	Sham	PAN	Baseline	319
