"","MouseID","Treatment","Injury","Sex","Timepoint","gini_simpson_unique"
"1",234,"PAN","CCI","M","Baseline",0.886307877223232
"2",236,"PAN","CCI","M","Baseline",0.884415200221084
"3",237,"PAN","CCI","M","Baseline",0.910811975128088
"4",238,"PAN","CCI","M","Baseline",0.911798142101206
"5",239,"PAN","CCI","M","Baseline",0.931605388506364
"6",240,"PAN","CCI","M","Baseline",0.935718161371399
"7",241,"PAN","CCI","M","Baseline",0.953544432676752
"8",242,"PAN","CCI","M","Baseline",0.938124401034186
"9",243,"PAN","CCI","M","Baseline",0.953175477116125
"10",244,"PAN","CCI","F","Baseline",0.946167435373378
"11",245,"PAN","CCI","F","Baseline",0.934141030297829
"12",246,"PAN","CCI","F","Baseline",0.964343162797181
"13",247,"PAN","CCI","F","Baseline",0.955821329466665
"14",248,"PAN","CCI","F","Baseline",0.976112171928443
"15",249,"PAN","CCI","F","Baseline",0.887692141418277
"16",250,"PAN","CCI","F","Baseline",0.92586810565285
"17",251,"PAN","CCI","F","Baseline",0.862588589752816
"18",252,"PAN","CCI","F","Baseline",0.940777397229789
"19",253,"PAN","CCI","F","Baseline",0.896976920811234
"20",254,"Vehicle","CCI","M","Baseline",0.910572519130997
"21",255,"Vehicle","CCI","M","Baseline",0.903950451165023
"22",256,"Vehicle","CCI","M","Baseline",0.903899533336753
"23",257,"Vehicle","CCI","M","Baseline",0.947647531790514
"24",258,"Vehicle","CCI","M","Baseline",0.929062716220734
"25",259,"Vehicle","CCI","M","Baseline",0.865303705277185
"26",260,"Vehicle","CCI","M","Baseline",0.93109263239456
"27",261,"Vehicle","CCI","M","Baseline",0.887513413275453
"28",262,"Vehicle","CCI","M","Baseline",0.85188767951722
"29",263,"Vehicle","CCI","M","Baseline",0.808832844621655
"30",264,"Vehicle","CCI","F","Baseline",0.942722264650133
"31",265,"Vehicle","CCI","F","Baseline",0.923808664534411
"32",266,"Vehicle","CCI","F","Baseline",0.899267780122045
"33",267,"Vehicle","CCI","F","Baseline",0.88861504936315
"34",268,"Vehicle","CCI","F","Baseline",0.91743074658239
"35",269,"Vehicle","CCI","F","Baseline",0.943986773419987
"36",270,"Vehicle","CCI","F","Baseline",0.939943488140628
"37",271,"Vehicle","CCI","F","Baseline",0.945974489178111
"38",272,"Vehicle","CCI","F","Baseline",0.926992719249487
"39",273,"Vehicle","CCI","F","Baseline",0.962622409725794
"40",274,"PAN","Sham","M","Baseline",0.95033164133451
"41",275,"PAN","Sham","M","Baseline",0.920156220191081
"42",276,"PAN","Sham","M","Baseline",0.928499567228656
"43",277,"PAN","Sham","M","Baseline",0.955821550235081
"44",278,"PAN","Sham","M","Baseline",0.913801435980135
"45",279,"PAN","Sham","F","Baseline",0.96332552727249
"46",280,"PAN","Sham","F","Baseline",0.961087001822551
"47",281,"PAN","Sham","F","Baseline",0.966907301643676
"48",282,"PAN","Sham","F","Baseline",0.928173454602496
"49",283,"PAN","Sham","F","Baseline",0.968509557770634
"50",284,"Vehicle","Sham","M","Baseline",0.956664480814913
"51",285,"Vehicle","Sham","M","Baseline",0.963550155309837
"52",286,"Vehicle","Sham","M","Baseline",0.956130503171514
"53",287,"Vehicle","Sham","M","Baseline",0.951707278816861
"54",288,"Vehicle","Sham","M","Baseline",0.981990685081373
"55",289,"Vehicle","Sham","F","Baseline",0.899111414450834
"56",290,"Vehicle","Sham","F","Baseline",0.879752368577448
"57",291,"Vehicle","Sham","F","Baseline",0.926874541824877
"58",292,"Vehicle","Sham","F","Baseline",0.930269077212449
"59",293,"Vehicle","Sham","F","Baseline",0.91053432823036
"60",234,"PAN","CCI","M","35d",0.933315706572647
"61",236,"PAN","CCI","M","35d",0.961989856342456
"62",237,"PAN","CCI","M","35d",0.951600205995295
"63",238,"PAN","CCI","M","35d",0.964728601261481
"64",239,"PAN","CCI","M","35d",0.950168008280333
"65",240,"PAN","CCI","M","35d",0.956709438375739
"66",241,"PAN","CCI","M","35d",0.966453099495968
"67",242,"PAN","CCI","M","35d",0.955959440609015
"68",243,"PAN","CCI","M","35d",0.965016277848331
"69",244,"PAN","CCI","F","35d",0.92963752055747
"70",245,"PAN","CCI","F","35d",0.950078792023084
"71",246,"PAN","CCI","F","35d",0.929439889768173
"72",247,"PAN","CCI","F","35d",0.940945984333168
"73",248,"PAN","CCI","F","35d",0.956993517416059
"74",249,"PAN","CCI","F","35d",0.957946327791221
"75",250,"PAN","CCI","F","35d",0.958701338255528
"76",251,"PAN","CCI","F","35d",0.956574371101258
"77",252,"PAN","CCI","F","35d",0.958787436455881
"78",253,"PAN","CCI","F","35d",0.956279349161754
"79",254,"Vehicle","CCI","M","35d",0.964685324451979
"80",255,"Vehicle","CCI","M","35d",0.951337901463335
"81",256,"Vehicle","CCI","M","35d",0.969480556019437
"82",257,"Vehicle","CCI","M","35d",0.970807425436161
"83",258,"Vehicle","CCI","M","35d",0.906583582698308
"84",259,"Vehicle","CCI","M","35d",0.927242983669278
"85",261,"Vehicle","CCI","M","35d",0.935998906942919
"86",262,"Vehicle","CCI","M","35d",0.893785342115225
"87",263,"Vehicle","CCI","M","35d",0.933195197269754
"88",264,"Vehicle","CCI","F","35d",0.946140706553615
"89",265,"Vehicle","CCI","F","35d",0.927340338809258
"90",266,"Vehicle","CCI","F","35d",0.911605910187004
