"taxon","lfc_(Intercept)","lfc_SexM","se_(Intercept)","se_SexM","W_(Intercept)","W_SexM","p_(Intercept)","p_SexM","q_(Intercept)","q_SexM","diff_(Intercept)","diff_SexM","passed_ss_(Intercept)","passed_ss_SexM"
"[Eubacterium] brachy group",-0.303272973674454,0.619861684143779,0.0836122211955337,0.217982899674435,-3.62713691058663,2.84362528010025,0.00346887738202991,0.0147968193852047,0.145692850045256,0.591872775408188,FALSE,FALSE,FALSE,FALSE
"[Eubacterium] nodatum group",0.269626187844418,-0.368304119988554,0.131398905691911,0.269677731673373,2.05196676809932,-1.36571943743073,0.0503699282731469,0.183726233187854,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",0.234097630954397,-0.272732588115115,0.123125296658137,0.194391549289692,1.9012959749805,-1.40300640183013,0.0679856941540049,0.172010505549143,1,1,FALSE,FALSE,FALSE,FALSE
"[Eubacterium] xylanophilum group",-0.129991326538233,0.481451680976759,0.222466273007642,0.328379133796343,-0.584319253344831,1.46614577915097,0.563856382876725,0.154159239548402,1,1,FALSE,FALSE,TRUE,TRUE
"A2",0.0608051015387978,0.086230508531483,0.175124557484108,0.287343798133324,0.347210593490383,0.300095248589543,0.731125033496268,0.766402888254495,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.290595256681315,-0.389763384263731,0.155355269312251,0.34775787164724,1.87052076165658,-1.12078953789751,0.0722887026600624,0.272247741017553,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",-0.216773823079609,0.661215423812468,0.357554566831519,0.42924233842236,-0.606267806898838,1.54042452159473,0.549400724729109,0.135096292590294,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",0.0912667510015649,0.023131377501465,0.125912341111533,0.187597471857531,0.724843571296327,0.123303247492759,0.474783316466134,0.902780271957861,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",0.00878378291565431,0.169960657550244,0.384385584242153,0.528767309875384,0.0228514889104706,0.32142807313542,0.981965835935245,0.750788817572886,1,1,FALSE,FALSE,TRUE,FALSE
"Anaerotruncus",0.122786701496202,-0.212564121307823,0.143206556111479,0.252355128293799,0.857409778087388,-0.842321385521242,0.404709872524047,0.412837375565864,1,1,FALSE,FALSE,TRUE,TRUE
"ASF356",-0.293179461862772,0.893272522030816,0.268606143437829,0.331928734710666,-1.09148457332522,2.69115755467648,0.286869560310755,0.013340566412732,1,0.546963222922013,FALSE,FALSE,TRUE,FALSE
"Bacteroides",0.0605655191469356,0.0867267863431972,0.129153809084948,0.205797111469552,0.468941021376304,0.421418870867041,0.6428762688053,0.67678540091757,1,1,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",0.14284681237868,-0.0837130353511314,0.185670010458302,0.346937152911587,0.769358562678389,-0.241291642156482,0.448359144515124,0.811152144997004,1,1,FALSE,FALSE,TRUE,TRUE
"Clostridium sensu stricto 1",0.174408194962145,-0.0642467189830238,0.32130080511018,0.482617097221168,0.542819041185837,-0.133121514660268,0.593252777228223,0.895427602858277,1,1,FALSE,FALSE,TRUE,TRUE
"Colidextribacter",0.021544913061935,0.167555184662127,0.121722609451366,0.206705289216586,0.177000091922473,0.810599406029529,0.860829409910948,0.424683418821037,1,1,FALSE,FALSE,TRUE,TRUE
"Defluviitaleaceae UCG-011",-0.578753705812896,1.09092914854046,0.0914384886338506,0.186965436824947,-6.32943210741829,5.83492418206622,7.54687701439683e-06,1.98877662726803e-05,0.000354703219676651,0.000934725014815975,TRUE,TRUE,FALSE,TRUE
