"taxon","lfc_(Intercept)","lfc_SexM","se_(Intercept)","se_SexM","W_(Intercept)","W_SexM","p_(Intercept)","p_SexM","q_(Intercept)","q_SexM","diff_(Intercept)","diff_SexM","passed_ss_(Intercept)","passed_ss_SexM"
"[Eubacterium] nodatum group",-0.167879867849483,0.446931921943202,0.15916839603913,0.295307240302861,-1.05473116540177,1.51344722020645,0.339824570915198,0.190582683270805,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",0.0738636110024657,-0.0614128910295637,0.194344090478645,0.33156971530961,0.380066153905421,-0.185218637872938,0.713788111944686,0.857667213148823,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",0.179917560234557,-0.273520789493746,0.390755850442767,0.475207739962959,0.460434719098106,-0.575581512024754,0.657461157566387,0.580723019383765,1,1,FALSE,FALSE,TRUE,TRUE
"A2",-0.279952545929247,0.646219422833859,0.324014452395099,0.40222582734746,-0.864012527403796,1.60660847438727,0.41273549726613,0.146807408001459,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",-0.107823719721818,0.301961770419003,0.272130041708892,0.352819508072009,-0.396221303038497,0.855853385401165,0.702300006970817,0.41697452442496,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",-0.323352143937631,0.822001421381127,0.634507770774738,0.715677358905995,-0.509611006879893,1.14856423939086,0.625993086164016,0.288465476121616,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",-0.200563550026044,0.487441431027454,0.218993307948425,0.329712034215892,-0.915843282632538,1.47838531943994,0.386523094905488,0.177562065715162,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",-1.72097105957926,2.83093893891846,0.16574026341598,0.703562518648935,-10.3835424423087,4.02372051364358,4.67142472609373e-05,0.00692949662238312,0.00186856989043749,0.256265254640133,TRUE,FALSE,FALSE,TRUE
"ASF356",-0.515277409425373,1.29311175035241,0.232638717666732,0.37535945050438,-2.21492541995325,3.44499585294795,0.0623423991286675,0.0107640504292616,1,0.376741765024155,FALSE,FALSE,TRUE,FALSE
"Bacteroides",-0.0844016906331068,0.255117712241581,0.207264057165311,0.331387395337806,-0.407218172737925,0.769847362424639,0.694526100646361,0.463513861434204,1,1,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",1.12857336494897,-2.40555249198987,0.235695456270163,0.324723900164525,4.78826950170546,-7.40799334687429,0.00199311955717527,0.00014841097737033,0.0717523040583098,0.00563961714007253,FALSE,TRUE,FALSE,TRUE
"Clostridium sensu stricto 1",1.52699030770466,-3.30199061319017,0.197407883941671,0.388113576424099,7.73520427459651,-8.50779466055583,0.000112931547126529,6.14059990020486e-05,0.00429139879080809,0.00245623996008194,TRUE,TRUE,FALSE,TRUE
"Colidextribacter",-0.131042665218821,0.348399661413008,0.27218974664533,0.391631816037759,-0.481438653857792,0.889610208225313,0.643097803436907,0.399635299218363,1,1,FALSE,FALSE,TRUE,TRUE
"Dubosiella",1.37765438656827,-2.66899444216118,0.17293001751415,0.740242604204936,7.96654280368383,-3.60556718432578,4.50051472138133e-05,0.00692608796324685,0.00184521103576635,0.256265254640133,TRUE,FALSE,TRUE,TRUE
"Enterorhabdus",0.0264781011592305,0.0333581286569053,0.217396884752779,0.358046659865465,0.121796138842289,0.09316698742404,0.906064307562991,0.928061895724782,1,1,FALSE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",0.338485137788566,-0.598566785991018,0.26850374007597,0.53102433788695,1.26063472223067,-1.12719275423954,0.263066849905125,0.310829937309787,1,1,FALSE,FALSE,TRUE,TRUE
"Faecalibaculum",0.314621704573296,-0.542929078171224,0.13865966005073,0.274247576478838,2.26902117355681,-1.97970419699632,0.0529712958294225,0.0830867438541773,1,1,FALSE,FALSE,FALSE,FALSE
"Family XIII UCG-001",-0.167125068425521,0.220205538601016,0.122388253827806,0.333148083574849,-1.36553192972797,0.660983957158324,0.2210617910438,0.533165844477692,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",-0.140015875735092,0.36634608244555,0.28455199982806,0.395635578733592,-0.492057254279344,0.925968497621483,0.635896168522244,0.381546934073417,1,1,FALSE,FALSE,TRUE,TRUE
"Ileibacterium",-1.60005054681391,3.73385130947661,0.203431966838398,0.334809586166112,-7.86528573498455,11.1521636887186,0.000101572677666959,1.03809372926083e-05,0.0039613344290114,0.00042561842899694,TRUE,TRUE,FALSE,FALSE
"Incertae Sedis",-0.372672500651635,0.831659332278638,0.273081619864843,0.362557789675466,-1.3646927275299,2.29386695297066,0.209495108354491,0.050956341863505,1,1,FALSE,FALSE,TRUE,FALSE
"Intestinimonas",-0.275571833905639,0.543309769908903,0.258147332781088,0.456516677139758,-1.06749828067884,1.19012031129495,0.321173010599342,0.272791738456064,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnoclostridium",-0.201311600608372,0.48893753219211,0.334756961385392,0.407945743311167,-0.601366435443922,1.19853568816176,0.564243540846681,0.265005289889747,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae FCS020 group",-0.0188314516488384,0.0532274105923695,0.180773289968442,0.327341901477316,-0.104171648655207,0.162604941048337,0.920428038084156,0.876167650344256,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae NK4A136 group",-0.149035961230852,0.384386253437071,0.235058435962475,0.352424364857408,-0.634037917510199,1.09069148380985,0.543755257781285,0.307166506284891,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-001",-1.0185282005467,2.12337073206877,0.881810338795812,1.12434131773098,-1.15504225311941,1.88854638585542,0.281404874611467,0.0956396455636624,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-006",-0.0667832668917609,0.219880864758888,0.423369238473867,0.508068926188389,-0.157742369597982,0.432777628044423,0.878568632889834,0.676606822184678,1,1,FALSE,FALSE,TRUE,TRUE
"Lacticaseibacillus",-0.0241987533272454,0.134711837629858,0.175013368859559,0.38821660555266,-0.138268027665155,0.347001740015948,0.893445599423685,0.737541468034856,1,1,FALSE,FALSE,TRUE,TRUE
"Lactiplantibacillus",0.0625101596450735,-0.0387059883147806,0.393264109040975,0.552453380891858,0.158952109302607,-0.0700619991723017,0.877646105547716,0.945864008025159,1,1,FALSE,FALSE,TRUE,TRUE
"Lactobacillus",0.739397282669373,-1.39248023436338,0.255724970211499,0.608000058968413,2.89137694319741,-2.29026332123386,0.0201565306630142,0.0512437851027103,0.705478573205497,1,FALSE,FALSE,FALSE,FALSE
"Limosilactobacillus",-0.059327565624669,0.107646792018098,0.319174859618074,0.456787024859609,-0.18587794068637,0.235660791921975,0.858665348614985,0.821533708208874,1,1,FALSE,FALSE,TRUE,TRUE
"Marvinbryantia",-0.526823909036545,0.940122327482579,0.20037630437375,0.652515922957556,-2.62917269925236,1.44076534289222,0.0339534108513516,0.192842335639973,1,1,FALSE,FALSE,FALSE,TRUE
"Monoglobus",0.39552451008675,-0.756192568549866,0.231117459286637,0.403275709788693,1.71135712251064,-1.87512550395384,0.130751355516457,0.102900182933608,1,1,FALSE,FALSE,TRUE,TRUE
"Oscillibacter",-0.0325326902661295,0.151379711507625,0.240828746415461,0.375503053377057,-0.135086407874275,0.403138430290256,0.895880565730666,0.697405729068968,1,1,FALSE,FALSE,TRUE,TRUE
"Parasutterella",0.263441029420521,-0.440567727865675,0.17119180085858,0.579650015510443,1.53886475928918,-0.760058166267293,0.162398540245765,0.469024329245754,1,1,FALSE,FALSE,TRUE,TRUE
"Romboutsia",1.47117151366923,-3.74588386859382,0.184399540938513,0.388225359396476,7.97817340640658,-9.64873565811637,0.000206571907382615,7.09943208312878e-05,0.00764316057315677,0.00276877851242022,TRUE,TRUE,TRUE,TRUE
"Roseburia",0.506428661632872,-0.926542992290377,0.214608451598988,0.464079579917242,2.35977967251343,-1.99651747757487,0.0459740319818987,0.0809517708181659,1,1,FALSE,FALSE,FALSE,TRUE
"Ruminococcus",0.157859328463124,-0.229404325950881,0.265478057857548,0.355337364174425,0.594622884230338,-0.645595845187486,0.568527345331267,0.536614369841669,1,1,FALSE,FALSE,TRUE,TRUE
"Turicibacter",0.3064808873128,-0.526647443650233,0.190104998848599,0.323338015662533,1.6121663773654,-1.62878293964634,0.145590761664785,0.142008117377131,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-005",-0.170684983091478,0.427684297158323,0.35279780062328,0.557652252700627,-0.483803988545089,0.766937271547117,0.641490095290919,0.465147470729688,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-009",-0.1463319324647,0.255236769653257,0.157284187139891,0.319314790595684,-0.930366460390261,0.799326486496635,0.383145504008071,0.450368267834492,1,1,FALSE,FALSE,TRUE,TRUE
