"taxon","lfc_(Intercept)","lfc_SexM","se_(Intercept)","se_SexM","W_(Intercept)","W_SexM","p_(Intercept)","p_SexM","q_(Intercept)","q_SexM","diff_(Intercept)","diff_SexM","passed_ss_(Intercept)","passed_ss_SexM"
"[Eubacterium] nodatum group",-0.000227691084131033,-0.1585331921784,0.102050094900273,0.38170199791227,-0.0022311697441687,-0.41533236149012,0.998326624427344,0.699210779145177,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",-0.0265762417344553,0.0254175488233616,0.210523102395133,0.377743303775703,-0.126239075104328,0.0672878872220965,0.902657723691487,0.948003817469852,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",-0.257628308013729,0.487521681381909,0.203066833750344,0.350015230036297,-1.26868727529609,1.39285848027628,0.240221136127826,0.201149005460117,1,1,FALSE,FALSE,TRUE,TRUE
"A2",0.373749051836086,-0.77523303831772,0.248903998569965,0.640675963219922,1.50157913887843,-1.2100236044779,0.171603329429148,0.260807237666241,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.109033507923267,-0.245801950492082,0.315666363243736,0.567140685297385,0.345407432083849,-0.433405602638424,0.738694688422684,0.676169246828521,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",0.437977573591223,-0.903690081827995,0.197146803910249,0.51695619496063,2.2215808976067,-1.74809798322819,0.0570412650823918,0.118575371687325,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",0.102533459498956,-0.232801853643461,0.0988944879410467,0.289337157025836,1.03679650538338,-0.804604068265842,0.330150451667628,0.444299690541704,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",0.787577125200997,-1.60288918504754,0.165110055125199,0.422428477187466,4.77001309583355,-3.79446290107996,0.00140858749880328,0.00527814082268732,0.0478919749593114,0.174178647148682,TRUE,FALSE,TRUE,TRUE
"Anaerotruncus",0.0496865025849035,-0.149578742128203,0.239125768450369,0.433446935418096,0.207783974545663,-0.345091243946441,0.843595821474602,0.744068839115012,1,1,FALSE,FALSE,TRUE,TRUE
"Bacteroides",-0.0140160875381951,0.000297240430841545,0.116740495221801,0.34198601963636,-0.12006191606062,0.000869159596516859,0.907394574177438,0.99932779376515,1,1,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",-0.788028573672996,1.54832221270044,0.286676617607249,0.416422408567916,-2.7488414655171,3.71815296401832,0.0251038257405877,0.00588699217232159,0.778218597958219,0.188383749514291,FALSE,FALSE,TRUE,TRUE
"Clostridium sensu stricto 1",0.530329990798376,-1.0883949162423,0.394922343514709,0.689717589283962,1.34287157844394,-1.57802980981278,0.21616565105052,0.153211037835545,1,1,FALSE,FALSE,TRUE,TRUE
"Colidextribacter",-0.23888894478923,0.450042954932911,0.300387605912299,0.406278364537262,-0.79526897943644,1.10772070140997,0.449406354626683,0.300172803616218,1,1,FALSE,FALSE,TRUE,TRUE
"Coriobacteriaceae UCG-002",0.743926267097062,-1.51558746883967,0.297382533207763,0.488641060982912,2.50158023429482,-3.1016375615079,0.0368511885578353,0.0146294547175479,1,0.453513096243986,FALSE,FALSE,TRUE,TRUE
"Dubosiella",1.25431283406415,-2.53636060277385,0.357167276664703,0.509147037487743,3.51183581479571,-4.98158766726578,0.00794021410442119,0.00107734864921085,0.262027065445899,0.0366298540731689,FALSE,TRUE,TRUE,TRUE
"Enterorhabdus",0.130771875708039,-0.289278686061626,0.242609738368482,0.413528133498929,0.539021543765977,-0.699538103040272,0.604543812355742,0.504044479978483,1,1,FALSE,FALSE,TRUE,TRUE
"Faecalibaculum",-0.172907694878366,0.318080455111184,0.203194515361001,0.352907804799446,-0.850946663452866,0.901313178074783,0.41953852317543,0.393746579253096,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",-0.0336257618439464,-0.00864440370336858,0.271742445886437,0.409541697178422,-0.123741293835262,-0.0211075056897138,0.904998295985489,0.983748960607222,1,1,FALSE,FALSE,TRUE,TRUE
"Incertae Sedis",0.0286621675956569,-0.0850592698368616,0.298665082628651,0.408903769959528,0.0959675879864886,-0.208017817603591,0.925906779888735,0.840413161405952,1,1,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",0.508164113179723,-1.00342630057832,0.268244615038031,0.419003698333644,1.89440564578594,-2.39479103542258,0.100025432022844,0.0478308440099301,1,1,FALSE,FALSE,TRUE,FALSE
"Lachnoclostridium",-0.386916292243038,0.746097649840527,0.402086764526258,0.514189396619635,-0.962270649965078,1.45101718305647,0.364093310760374,0.184829273402309,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae NK4A136 group",0.131072743674766,-0.28988042199508,0.212891806009745,0.363401125166448,0.615677729131416,-0.79768718894942,0.555214316266439,0.448079686470982,1,1,FALSE,FALSE,TRUE,TRUE
