"taxon","lfc_(Intercept)","lfc_SexM","se_(Intercept)","se_SexM","W_(Intercept)","W_SexM","p_(Intercept)","p_SexM","q_(Intercept)","q_SexM","diff_(Intercept)","diff_SexM","passed_ss_(Intercept)","passed_ss_SexM"
"[Eubacterium] brachy group",-0.00556991085571364,-0.251117712383938,0.151513568996476,0.306630599844583,-0.0367617956108155,-0.818958422646725,0.971477418034114,0.433959307631117,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] nodatum group",0.1529200532179,-0.495475906067996,0.153046988274376,0.260183415497611,0.999170613823197,-1.90433316097561,0.335947858862114,0.0792333696538547,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",-0.0935155722665407,0.0563075100423869,0.250719474440923,0.320632374100976,-0.372988865244992,0.175613926074272,0.714051928056457,0.862800576228564,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",-0.780083712409323,1.42944379032795,0.318993615222858,0.429249721940449,-2.44545243284676,3.33009834896588,0.026411984216828,0.00424156984290277,1,0.173904363559013,FALSE,FALSE,TRUE,TRUE
"A2",-0.0829960955559875,0.0352685566212793,0.286351998854592,0.521604405097646,-0.289839414035774,0.0676155267796807,0.775661555104395,0.946929450721018,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",-0.064091730475611,-0.00254017353947306,0.336957348388679,0.427617493221738,-0.190207249618077,-0.0059402937899827,0.851539031774789,0.995333794961375,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",-0.736814030114687,1.29333528492021,0.377247203686268,0.431182854094026,-1.9531331787616,2.99950536678385,0.0697186126628754,0.00898177907953034,1,0.359271163181213,FALSE,FALSE,TRUE,FALSE
"Alistipes",-0.0251563873979882,-0.0804108596947183,0.145825475752411,0.25748681326472,-0.172510237104934,-0.312291175905962,0.865199701911584,0.758852356665477,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",-0.747224170103793,1.19025313269641,0.301823400587457,0.409155055463929,-2.47569992468915,2.90905151189398,0.0291871464393482,0.0131041390912104,1,0.503755734402798,FALSE,FALSE,FALSE,FALSE
"Anaerotruncus",-0.170431711556728,0.0182410353248979,0.237323725547648,0.342441934707332,-0.718140216126474,0.0532675279401385,0.490891501761241,0.958682388722035,1,1,FALSE,FALSE,TRUE,TRUE
"ASF356",0.118214363117335,-0.32975141822976,0.174321056175308,0.295595427814727,0.678141618178652,-1.11554979272697,0.51473720744121,0.293513875983591,1,1,FALSE,FALSE,TRUE,TRUE
"Bacteroides",-0.331672678998295,0.532621723505895,0.221066542992469,0.311047611422405,-1.50032960441958,1.71234789770686,0.1530030582653,0.106141744729085,1,1,FALSE,FALSE,TRUE,FALSE
"Bifidobacterium",0.436815548768901,-1.0043547320285,0.211056397091117,0.430808978939125,2.06966268158325,-2.33132265372402,0.0550310928786356,0.0331364665902163,1,1,FALSE,FALSE,TRUE,TRUE
"Blautia",0.0707080799816841,-0.450678560719935,0.26284714774979,0.445326187148175,0.269008359371633,-1.01201899579729,0.794730850420866,0.341155127307644,1,1,FALSE,FALSE,TRUE,TRUE
"Clostridium sensu stricto 1",0.978137533709206,-1.93910727792762,0.388812298910545,0.536643842865373,2.51570625839243,-3.61339704854134,0.0258124164471388,0.00315011805109983,1,0.132304958146193,FALSE,FALSE,FALSE,FALSE
"Colidextribacter",-0.073647239106187,0.016570843721679,0.154125047505627,0.280339513025319,-0.477840820152859,0.0591099112032147,0.639226373023043,0.953596547998003,1,1,FALSE,FALSE,TRUE,TRUE
"Defluviitaleaceae UCG-011",-0.643071422080967,0.751405373332977,0.13393993591632,0.24875859934144,-4.80119254710358,3.02062069541409,0.00299708873697743,0.0233784179276313,0.125877726953052,0.865001463322358,FALSE,FALSE,FALSE,FALSE
"Dubosiella",-0.0295153911217283,-0.0716928522472384,0.633890697039671,1.00549642975815,-0.0465622721071124,-0.0713009515752158,0.963438326324048,0.94404187768358,1,1,FALSE,FALSE,TRUE,TRUE
"Enterorhabdus",0.123404521129709,-0.377532676750114,0.179111378345316,0.269543994404636,0.688982030453657,-1.40063471858834,0.500704425314827,0.180418313886277,1,1,FALSE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",-0.219458135596525,0.157092953096805,0.148341381215794,0.306452684336826,-1.47941278285172,0.512617317863473,0.17315835231288,0.62056227423042,1,1,FALSE,FALSE,TRUE,FALSE
"Faecalibaculum",0.204995768366972,-0.540715171224639,0.182175296165086,0.318433895951366,1.12526655744369,-1.69804527124594,0.27707340610161,0.108859263657805,1,1,FALSE,FALSE,TRUE,FALSE
"Family XIII UCG-001",0.038479558812773,-0.273469538011429,0.168012965149165,0.350177676198395,0.229027318091852,-0.780945093303132,0.822411351717075,0.448822890936809,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",0.163162362017562,-0.457048358525818,0.164674468889711,0.311180171742778,0.990817599823795,-1.46875797376838,0.336523200401358,0.161284494358442,1,1,FALSE,FALSE,TRUE,TRUE
"Incertae Sedis",0.142920417719518,-0.41656446992973,0.221213144602976,0.341877550487134,0.646075611718395,-1.21846102306564,0.52738913962518,0.240710928944999,1,1,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",-0.362537552472966,0.525835682281325,0.319066698848299,0.441400074795623,-1.13624378157162,1.19129042405531,0.274931059076172,0.253345037036589,1,1,FALSE,FALSE,TRUE,TRUE
