"taxon","lfc_(Intercept)","lfc_SexM","se_(Intercept)","se_SexM","W_(Intercept)","W_SexM","p_(Intercept)","p_SexM","q_(Intercept)","q_SexM","diff_(Intercept)","diff_SexM","passed_ss_(Intercept)","passed_ss_SexM"
"[Eubacterium] brachy group",-0.258106073318201,0.344790278413736,0.104142784585471,0.214215427645299,-2.47838651852419,1.60954923837066,0.0290438275847325,0.133471695977642,0.958446310296172,1,FALSE,FALSE,FALSE,FALSE
"[Eubacterium] nodatum group",0.0653133637932135,-0.0285943778420442,0.138524147855942,0.220826094445082,0.47149442753574,-0.129488219740967,0.641930047503758,0.898147942411704,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",0.0970686339766047,-0.000775632794140266,0.134978227034647,0.202697762544768,0.719142902593384,-0.00382654837627504,0.478231405303968,0.996974996766707,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",-0.352051493719072,0.929544631718334,0.191516724678901,0.240127748244551,-1.83822845920807,3.87104213700312,0.0770550585824101,0.000621899495141201,1,0.0242540803105068,FALSE,TRUE,TRUE,FALSE
"A2",-0.301080314884376,0.725074037468437,0.181140622250069,0.308665178586271,-1.66213580998263,2.34906328206303,0.108053929952846,0.0263904407038549,1,0.844494102523355,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.017579558650601,0.138102769460565,0.191401637825224,0.299449437198451,0.091846437942467,0.461188943123781,0.927474022659579,0.648225671633678,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",-0.24472095018525,0.662703787132267,0.310705669491128,0.369296005093553,-0.78762949702866,1.79450570272046,0.43753053810595,0.0835371369538281,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",-0.064325591644613,0.301913070050992,0.141473206218293,0.198399892344386,-0.454683917641329,1.52174009009504,0.652842290656168,0.139288591845645,1,1,FALSE,FALSE,TRUE,FALSE
"Anaeroplasma",-0.225708727406402,0.507867712248238,0.240213760077444,0.408538834507676,-0.939616145776307,1.24313203385001,0.356405073775643,0.225351937935932,1,1,FALSE,FALSE,TRUE,FALSE
"ASF356",-0.061889887036627,0.22819984557263,0.188453173751495,0.342619280678469,-0.32840989517236,0.666044961394872,0.745707141784275,0.512306519430781,1,1,FALSE,FALSE,TRUE,TRUE
"Bacteroides",-0.193229119109799,0.559720124981364,0.144233422921647,0.209052638114252,-1.33969724350762,2.67741239732868,0.191116439391589,0.0122677988654629,1,0.429372960291201,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",0.617018879521647,-1.06077587228153,0.145640108691378,0.422597072009973,4.23659996594176,-2.51013540447931,0.000222148450598478,0.0181238885170342,0.00866378957334066,0.598088321062127,TRUE,FALSE,TRUE,TRUE
"Blautia",0.433651275546858,-0.936387618541274,0.270784157797506,0.393009279006801,1.60146472036649,-2.38260944094673,0.131590241861314,0.0319135387807476,1,0.957406163422427,FALSE,FALSE,TRUE,FALSE
"Clostridium sensu stricto 1",0.779219135719143,-1.56307015615998,0.169676330560055,0.39058608394301,4.59238559171545,-4.00185828532501,0.000117083581391203,0.000524439692607708,0.00468334325564812,0.0209775877043083,TRUE,TRUE,TRUE,TRUE
"Colidextribacter",-0.300323803035388,0.773909492832542,0.198691945934216,0.261060057257124,-1.51150466428478,2.96448832871549,0.141865002915097,0.00613205994751758,1,0.226886218058151,FALSE,FALSE,FALSE,TRUE
"Dubosiella",0.471427308818364,-0.76959273087496,0.276744719318883,0.833293738211632,1.70347354767465,-0.923555158984654,0.099555778865866,0.363608861144244,1,1,FALSE,FALSE,TRUE,TRUE
"Enterorhabdus",0.238186655739032,-0.303111424716297,0.128261617608917,0.231428238565711,1.85703767174751,-1.30974260788073,0.0738545882770591,0.200927982194467,1,1,FALSE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",-0.24161182295984,0.486389081137894,0.231886944192316,0.350763238403517,-1.0419380176896,1.38665922732289,0.308755819647152,0.179437708232681,1,1,FALSE,FALSE,TRUE,FALSE
"Faecalibaculum",0.888271587032472,-2.52206854195272,0.128759459337661,0.607960519678541,6.89868994170792,-4.14840842508369,1.06063710130033e-06,0.00049722420964738,4.34861211533135e-05,0.0203861925955426,TRUE,TRUE,TRUE,TRUE
