"taxon","lfc_(Intercept)","lfc_TimepointBaseline","se_(Intercept)","se_TimepointBaseline","W_(Intercept)","W_TimepointBaseline","p_(Intercept)","p_TimepointBaseline","q_(Intercept)","q_TimepointBaseline","diff_(Intercept)","diff_TimepointBaseline","passed_ss_(Intercept)","passed_ss_TimepointBaseline"
"[Eubacterium] nodatum group",-0.47108194442804,0.885180724547132,0.161103239918256,0.2976439970501,-2.92409975533122,2.97395792732261,0.0222100002283126,0.0206912988750003,0.866190008904193,0.744886759500011,FALSE,FALSE,FALSE,FALSE
"[Eubacterium] ventriosum group",-0.0442616637486708,0.212376639172777,0.193720012146128,0.3000308201936,-0.228482660404146,0.707849410389697,0.825003193797522,0.499138801112824,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",-0.0878230869328665,0.299499485541168,0.389530217540191,0.466082594961294,-0.225458983612241,0.642588864675455,0.827275117762412,0.53846674388215,1,1,FALSE,FALSE,TRUE,TRUE
"A2",0.152955094298044,-0.182056876920653,0.325192451803781,0.455581168325169,0.470352535705028,-0.399614579307436,0.650659572537717,0.699897197914547,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.179193057883347,-0.234532804091259,0.27386885704206,0.347816655382265,0.654302427149749,-0.674300095932721,0.531272592282848,0.519126320871317,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",-1.42719573032893,2.97824477233329,0.632323762196081,0.698248353180437,-2.25706483870261,4.2653086953485,0.0539690109400887,0.00274156769715123,1,0.106921140188898,FALSE,FALSE,FALSE,TRUE
"Alistipes",0.190949152587303,-0.25804499349917,0.217058207409051,0.322869229713446,0.879714040148939,-0.799224483944138,0.404664107124486,0.447237687103739,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",-1.0628873894075,2.36477917167411,0.166920237178787,0.346700487358966,-6.36763646740482,6.82081294343745,0.00311892042179206,0.00241547182176175,0.128274795741892,0.0966188728704701,FALSE,FALSE,FALSE,FALSE
"ASF356",0.279325264642611,-0.434797217609788,0.234442039508335,0.558615439445884,1.19144699998517,-0.778348013511912,0.267623385389895,0.458763873922546,1,1,FALSE,FALSE,TRUE,TRUE
"Bacteroides",0.0194435963772286,0.0849661189209784,0.207447683404368,0.32599502232248,0.0937277103226462,0.260636246270436,0.927630357498705,0.800956421879567,1,1,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",0.103344364469869,-0.0828354172643015,0.235460116881906,0.335435733834772,0.438903903720139,-0.246948696602207,0.67234361292013,0.811167072570478,1,1,FALSE,FALSE,TRUE,TRUE
"Blautia",-0.582160587571217,1.69858717994473,0.424297159504519,0.51690722604998,-1.3720586492991,3.28605810548388,0.219131850469649,0.0166957627498136,1,0.617743221743105,FALSE,FALSE,TRUE,FALSE
"Clostridium sensu stricto 1",0.441016793978738,-0.75818027628204,0.197913234555867,0.391121215506361,2.22833402206989,-1.93847903469125,0.0564434940131057,0.0885540233318364,1,1,FALSE,FALSE,TRUE,TRUE
"Colidextribacter",0.0937004601375687,-0.063547608599702,0.27385738613311,0.401942722441708,0.342150567712002,-0.15810115484531,0.741052681344003,0.878295008575691,1,1,FALSE,FALSE,TRUE,TRUE
"Dubosiella",-0.177584271768326,0.479021855212087,0.171912671459337,0.284186828841067,-1.03299117081274,1.6855878126568,0.331822510484554,0.13036354640366,1,1,FALSE,FALSE,TRUE,TRUE
"Enterorhabdus",-0.0790926326822931,0.282038577040022,0.216026499460352,0.307611607087628,-0.366124678592078,0.916865848172233,0.72376501608426,0.386018399864532,1,1,FALSE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",0.078043605584997,0.0096357833612088,0.268775211280595,0.531550084226474,0.29036757226663,0.0181277054545689,0.779948753125354,0.986042850367812,1,1,FALSE,FALSE,TRUE,TRUE
"Faecalibaculum",0.16387506501915,-0.203896818362864,0.139173922566359,0.267632318156949,1.17748398548595,-0.761854247525112,0.272842526345229,0.468010052219012,1,1,FALSE,FALSE,TRUE,TRUE
"Family XIII UCG-001",0.212022156624777,-0.331384029693472,0.122939409918839,0.331746975903477,1.7246069162423,-0.998905954729452,0.1353600262545,0.356406206400265,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",-0.0890376530247253,0.301928617724886,0.284242224530981,0.350549003742138,-0.313245694483441,0.861302170315063,0.762105046642314,0.414140247544325,1,1,FALSE,FALSE,TRUE,TRUE
"Incertae Sedis",-0.215236963445182,0.554327238565799,0.272787041276571,0.391222115567898,-0.78902928246859,1.41691181686173,0.452841846692008,0.194252316267968,1,1,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",0.147196513912401,-0.170482217037374,0.255771422467104,0.453222678837222,0.57550023568928,-0.376155530157403,0.58297154840008,0.717942570193362,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnoclostridium",-0.0354537252292327,0.194760762133901,0.33666180436352,0.40078697968104,-0.105309615672797,0.485945831595871,0.9187227219471,0.640036027111587,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae FCS020 group",-0.0449358587466426,0.118117770320617,0.179810121557292,0.315508947124747,-0.249907281956455,0.374372173585033,0.80983448428295,0.719210567447355,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae NK4A136 group",0.0236907073714342,0.0764718969325671,0.233451632113024,0.352762747984728,0.101480153113535,0.216779967185985,0.921666674158711,0.833805884992809,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-001",-0.303321816501542,0.730496944678519,0.881212928302977,0.972466552622965,-0.344209448998522,0.751179506079877,0.739561696263477,0.474059595921466,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-006",0.216625687665398,-0.30939806365536,0.425068692768815,0.529177155904788,0.509625129656903,-0.584677664564621,0.624071717060616,0.574878804855626,1,1,FALSE,FALSE,TRUE,TRUE
