"taxon","lfc_(Intercept)","lfc_TimepointBaseline","se_(Intercept)","se_TimepointBaseline","W_(Intercept)","W_TimepointBaseline","p_(Intercept)","p_TimepointBaseline","q_(Intercept)","q_TimepointBaseline","diff_(Intercept)","diff_TimepointBaseline","passed_ss_(Intercept)","passed_ss_TimepointBaseline"
"[Eubacterium] nodatum group",-0.123658210034794,0.454945624214578,0.106769773168881,0.269670399891395,-1.15817619879364,1.68704323647608,0.290805218464284,0.142566412278851,1,1,FALSE,FALSE,TRUE,FALSE
"[Eubacterium] ventriosum group",0.210887279942171,-0.148227603458934,0.21507137678972,0.335450052722993,0.980545543019238,-0.441876822661694,0.35553573375513,0.670279314100762,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",-0.022744024789006,0.319035006003418,0.204790085126511,0.435268627435399,-0.111060185237755,0.732961178211191,0.914304411918104,0.484502334138119,1,1,FALSE,FALSE,TRUE,TRUE
"A2",0.305972518521283,-0.471328180676546,0.252354140755637,0.340596129673567,1.21247274804009,-1.38383304921366,0.264659806956734,0.208925449082002,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.199030147775815,-0.124513339126223,0.31967255142491,0.465687418319059,0.622606310390607,-0.2673753557175,0.550873456686695,0.795943953299421,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",0.103893674072506,0.0657596082803938,0.19992748082886,0.352477137259721,0.519656795763061,0.18656418056397,0.61737100208987,0.856646562584057,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",0.356378391431289,-0.439209826437171,0.103366918815824,0.30562345282708,3.44770256784256,-1.43709464170498,0.00872425999701811,0.188626192186352,0.287900579901598,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",0.844273588640557,-1.41500022085571,0.170317378797559,0.344680623903675,4.95706072158419,-4.10525025987868,0.00111098866422798,0.00341293086258536,0.0377736145837513,0.116039649327902,TRUE,FALSE,TRUE,TRUE
"Bacteroides",0.138893394045725,-0.00423983166604391,0.121954779260808,0.286626181365353,1.13889258697023,-0.0147921995326712,0.287700503623272,0.988560211180775,1,1,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",-0.642497340747261,1.55854163791993,0.288842317782881,0.393619610444089,-2.22438784482479,3.95951217004039,0.0567920423175815,0.00417989123210721,1,0.137936410659538,FALSE,FALSE,FALSE,TRUE
