"taxon","lfc_(Intercept)","lfc_TimepointBaseline","se_(Intercept)","se_TimepointBaseline","W_(Intercept)","W_TimepointBaseline","p_(Intercept)","p_TimepointBaseline","q_(Intercept)","q_TimepointBaseline","diff_(Intercept)","diff_TimepointBaseline","passed_ss_(Intercept)","passed_ss_TimepointBaseline"
"[Eubacterium] nodatum group",0.105840189162277,-0.508792024655353,0.145248681487275,0.256170888441579,0.728682615763023,-1.98614303034431,0.482911614887035,0.0751011908868955,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",-0.102185295468421,0.162278511547194,0.243576147618983,0.303793738565957,-0.41952094434249,0.534173325339823,0.680089136157993,0.600138175178671,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",-0.449598299627425,0.8223632194493,0.309322311329885,0.384608586904288,-1.45349456912579,2.13818216090415,0.164298064269192,0.0473181750140918,1,1,FALSE,FALSE,TRUE,TRUE
"A2",-0.0941169316082077,0.146948620212787,0.276215284480183,0.362333141179006,-0.340737594537279,0.405562184388175,0.737475767021951,0.69012293018646,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.121590501171034,-0.262895502067773,0.327825462653081,0.410704152179034,0.370900113087636,-0.640109189724412,0.715293384325704,0.530635040404607,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",0.0535536516397336,-0.0939168331468458,0.369717501341762,0.529368076064987,0.144850193581259,-0.177413103270164,0.88663810429325,0.861410460488494,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",0.0377067734297666,-0.103516419359364,0.136476694861391,0.218790387422215,0.276287269911266,-0.473130563819523,0.785658234561839,0.642138198854127,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",-0.0140452416048184,0.00264313520446213,0.295483785533852,0.454849939343018,-0.0475330366417324,0.00581100485201748,0.962940428864452,0.995467563086335,1,1,FALSE,FALSE,TRUE,TRUE
"Anaerotruncus",0.177469213361854,-0.80966220897666,0.229165735075615,0.291377056733483,0.774414260942179,-2.77874386560656,0.464034665311104,0.0273476467619264,1,1,FALSE,FALSE,TRUE,FALSE
"ASF356",0.0556569579688057,-0.204856367113006,0.165280190290831,0.315619888862792,0.336743065644288,-0.649060386692117,0.743270838112399,0.530922775944405,1,1,FALSE,FALSE,TRUE,TRUE
"Bacteroides",0.0891104685847963,-0.201183440153921,0.21260407226309,0.284719326836663,0.419138107921684,-0.70660268268102,0.680363514189902,0.489385926578793,1,1,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",-0.0989397397841611,0.156111955747098,0.203421557034195,0.282211741608737,-0.486377851131725,0.553173141759404,0.632909995849098,0.587346543027268,1,1,FALSE,FALSE,TRUE,TRUE
