"taxon","lfc_(Intercept)","lfc_TimepointBaseline","se_(Intercept)","se_TimepointBaseline","W_(Intercept)","W_TimepointBaseline","p_(Intercept)","p_TimepointBaseline","q_(Intercept)","q_TimepointBaseline","diff_(Intercept)","diff_TimepointBaseline","passed_ss_(Intercept)","passed_ss_TimepointBaseline"
"[Eubacterium] brachy group",0.0141130784920569,0.141927505547245,0.23443749453764,0.460057762007549,0.0601997497025416,0.30849931740727,0.953473244323153,0.765582791411997,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] nodatum group",-0.375252005374565,0.779210020650701,0.123362884483668,0.251177522128131,-3.04185498697742,3.1022283126641,0.0227485969288225,0.0210565154127279,0.867606946970549,0.758034554858205,FALSE,FALSE,FALSE,FALSE
"[Eubacterium] ventriosum group",-0.182712400900992,0.535578464333344,0.197529100029917,0.326721448709256,-0.92498979073625,1.63925100861666,0.382025871209718,0.139792802174988,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",-0.199960190563194,0.570074043657746,0.193314954727392,0.538208425479582,-1.0343751772602,1.05920683636599,0.331213623935324,0.320435593184657,1,1,FALSE,FALSE,TRUE,TRUE
"A2",0.16395834487986,-0.157763027228361,0.147772776172285,0.385115237099049,1.1095301118841,-0.409651480987197,0.299437208936055,0.692811089853459,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.165595583514293,-0.161037504497227,0.126459770260016,0.298354191023508,1.30947243675842,-0.53975278156739,0.226728748919072,0.604062252791017,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",-0.571298233219797,1.17135288261942,0.258597309037429,0.491831937591657,-2.20921955973296,2.38161207740018,0.0628696183855233,0.0487663934488505,1,1,FALSE,FALSE,TRUE,FALSE
"Alistipes",0.12893197007843,-0.0877102776255012,0.166730950141499,0.258967227536247,0.77329356048778,-0.338692576894599,0.461584254979038,0.743559481527438,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",0.258280322259135,-0.34640698198691,0.64568656656932,1.03623545252073,0.400008821046777,-0.334293698545292,0.699618264228984,0.746753064159246,1,1,FALSE,FALSE,TRUE,TRUE
"Anaerotruncus",-0.0101040255231447,0.181512960044666,0.218752491661262,0.379470209671827,-0.0461893048459112,0.478332568455485,0.964449471026918,0.646991651462802,1,1,FALSE,FALSE,TRUE,TRUE
"ASF356",0.31670356230677,-0.3949648253314,0.222023806054978,0.379396632055294,1.42643965948565,-1.04103408401853,0.196781439880381,0.332474528578723,1,1,FALSE,FALSE,TRUE,TRUE
"Bacteroides",-0.0782879855589275,0.326729633649214,0.183629874945697,0.322527321558315,-0.426335777781686,1.01302932126989,0.681103055074288,0.340700963585223,1,1,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",-1.53716050933185,2.94199050361812,0.105379878948565,0.695120713327864,-14.5868502096318,4.23234475280336,1.69939916848056e-06,0.00387685793459339,7.3074164244664e-05,0.151197459449142,TRUE,FALSE,FALSE,TRUE
"Clostridium sensu stricto 1",-0.373872095139163,1.09186102907357,0.269551469652319,0.566802930819464,-1.3870156064124,1.92635035865992,0.224087463260057,0.11201303174087,1,1,FALSE,FALSE,TRUE,TRUE
"Colidextribacter",-0.143015709696814,0.456185081924987,0.213529417617904,0.3002963744186,-0.669770522920315,1.51911618249871,0.521862425067468,0.167217176499339,1,1,FALSE,FALSE,TRUE,TRUE
"Dubosiella",-0.174903844376874,0.577342888760853,0.690125902364716,1.07424300709839,-0.253437588384331,0.537441607667803,0.807212408695881,0.607616113333365,1,1,FALSE,FALSE,TRUE,TRUE
"Enterorhabdus",-0.0666186313907828,0.303390925312924,0.218409933892035,0.316563148230839,-0.305016489880511,0.958389904221227,0.768138322216204,0.365930237953327,1,1,FALSE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",0.186829345033435,-0.152205663999096,0.40191999403655,0.534896393118825,0.46484212730269,-0.284551673851508,0.658435201042449,0.785553401300769,1,1,FALSE,FALSE,TRUE,TRUE
"Family XIII UCG-001",-0.0589943046231176,0.288142271777594,0.228609605004035,0.358874578028262,-0.258056981560667,0.802905219312866,0.802877461840683,0.445226070947243,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",0.0860974112806308,-0.00204116002990291,0.205047376335802,0.279149885545636,0.419890333732584,-0.00731205755615193,0.685615411488881,0.994344925695199,1,1,FALSE,FALSE,TRUE,TRUE
"Harryflintia",-0.0706195198375035,0.234096637855927,0.113050884201293,0.26677704028725,-0.624670212324583,0.877499194098058,0.566051936860051,0.429760264991871,1,1,FALSE,FALSE,TRUE,TRUE
"Incertae Sedis",-0.188010340658964,0.546174343849287,0.150684837868836,0.27787112259295,-1.2477057633537,1.96556712605711,0.247421961519996,0.0849238910568747,1,1,FALSE,FALSE,TRUE,FALSE
"Intestinimonas",-0.1491791267242,0.468511915979759,0.321922740503354,0.382216601678662,-0.463400400018172,1.22577594464002,0.655423709347925,0.255140376027946,1,1,FALSE,FALSE,TRUE,TRUE
