"taxon","lfc_(Intercept)","lfc_TimepointBaseline","se_(Intercept)","se_TimepointBaseline","W_(Intercept)","W_TimepointBaseline","p_(Intercept)","p_TimepointBaseline","q_(Intercept)","q_TimepointBaseline","diff_(Intercept)","diff_TimepointBaseline","passed_ss_(Intercept)","passed_ss_TimepointBaseline"
"[Eubacterium] nodatum group",-0.0221988303615469,-0.0465922970882402,0.268450476479225,0.381668087584187,-0.082692460273077,-0.122075433089394,0.936785804122829,0.906825330560151,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",0.321911337845183,-0.577868030058128,0.230477228875532,0.293199959200134,1.39671645401043,-1.97090078605258,0.200028636402375,0.084226210348686,1,1,FALSE,FALSE,TRUE,FALSE
"[Eubacterium] xylanophilum group",-0.428759953688101,0.923474553008441,0.192487104916667,0.266525247583519,-2.2274736475138,3.46486706749633,0.0565193058478813,0.00850668410740725,1,0.272213891437032,FALSE,FALSE,FALSE,TRUE
"A2",-0.946676671272131,1.9593079881765,0.538272642391576,0.604952040191382,-1.75873079312742,3.23878234637684,0.116672070130157,0.011899319535331,1,0.356979586059931,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",-0.251270948870116,0.568496543372471,0.409175160580988,0.458705261156587,-0.614091404066015,1.2393503879573,0.556210981252292,0.250339417738893,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",-0.0754182641221791,0.216791173876596,0.421624057683369,0.505256494066998,-0.178875618570173,0.429071523913652,0.86248246460596,0.679191909230643,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",0.0878733813238347,-0.109792117015431,0.177897242928824,0.279020510084774,0.493955835836043,-0.393491206012322,0.634612832979163,0.704235803525369,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",0.462517379824177,-0.859080114016115,0.329397711004086,0.567357241447458,1.40413052177657,-1.51417845980851,0.197890842192961,0.168441866535663,1,1,FALSE,FALSE,TRUE,TRUE
"Anaerotruncus",-0.921943877519982,1.4488175728892,0.264782250757786,0.341904499839849,-3.48189455630599,4.23749197090954,0.0131121868496075,0.00545483900624721,0.432702166037048,0.180009687206158,FALSE,FALSE,FALSE,TRUE
"ASF356",-0.206898000263239,0.345576275869665,0.197173584429538,0.595839166936505,-1.04931905996351,0.579982476892948,0.328902977785749,0.580107004148316,1,1,FALSE,FALSE,TRUE,TRUE
"Bacteroides",0.113328920368301,-0.160703195104363,0.241437157310719,0.307349685612885,0.46939303639353,-0.522867608547916,0.651316086465197,0.615234304787502,1,1,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",1.49888150544085,-2.93180836524946,0.21385004989028,0.546285574491649,7.00903042206386,-5.3668053892466,0.000111628332914187,0.000672169154866413,0.0041302483178249,0.0244930401521349,TRUE,TRUE,TRUE,TRUE
"Blautia",0.200893730580974,-0.32946878858477,0.277546040496652,0.689272282418367,0.723821281043989,-0.477995121795414,0.496414763139806,0.649570487385761,1,1,FALSE,FALSE,TRUE,TRUE
"Colidextribacter",-0.274627596434104,0.615209838500446,0.162025773269776,0.266119072247075,-1.69496241796572,2.31178409463739,0.128528851581851,0.0495508896361893,1,1,FALSE,FALSE,TRUE,TRUE
"Coriobacteriaceae UCG-002",-0.0175298447880807,0.1010143352084,0.321188077504664,0.450648813075372,-0.0545781304345774,0.224153114970048,0.957812941781366,0.828256855442141,1,1,FALSE,FALSE,TRUE,TRUE
"Defluviitaleaceae UCG-011",0.121566035384514,-0.253718405222504,0.318677466535921,0.397575925191332,0.381470446297811,-0.638163402626562,0.715997683305353,0.546936155639059,1,1,FALSE,FALSE,TRUE,TRUE
"Dubosiella",0.952892173659041,-1.83982970168584,0.289358672982287,0.353937125418813,3.29311772077892,-5.19818230288438,0.0109708852764139,0.000824229270551209,0.383980984674487,0.0288480244692923,FALSE,TRUE,TRUE,TRUE
"Enterorhabdus",-0.0217783520481323,0.109511349728503,0.256330534262096,0.344901083660227,-0.0849619890616079,0.317515238184597,0.934379367952171,0.758981588458826,1,1,FALSE,FALSE,TRUE,TRUE
"Faecalibaculum",0.427387351826783,-0.788820058021328,0.197833426537929,0.386380125620519,2.16033942951923,-2.04156478482039,0.0627561969488461,0.0754902723466776,1,1,FALSE,FALSE,TRUE,TRUE
"Family XIII UCG-001",-0.415552708280541,0.897060062193321,0.36462642352267,0.444878899289211,-1.13966701662998,2.01641404801748,0.287396032727915,0.078493834209994,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",0.040794681969809,-0.100270552149821,0.206181166724303,0.475625360596081,0.197858430126928,-0.210818346658715,0.848778956159465,0.839034698538982,1,1,FALSE,FALSE,TRUE,TRUE
"Incertae Sedis",-0.242000198855569,0.549955043343376,0.173032809320886,0.274731740183982,-1.39857984046704,2.00178924712188,0.199489454313556,0.0802933533856053,1,1,FALSE,FALSE,TRUE,FALSE
"Intestinimonas",-0.0254553913563851,0.116865428345008,0.232892834898005,0.409484031980516,-0.109300878094997,0.285396790150217,0.915655803760018,0.782589875373624,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnoclostridium",-0.725127753409668,1.51621015245157,0.224518070046866,0.281845726403496,-3.22970776142118,5.37957474750189,0.0120622715893583,0.000661974058165808,0.410117234038183,0.0244930401521349,FALSE,TRUE,TRUE,TRUE
"Lachnospiraceae NK4A136 group",-0.411243660295538,0.888441966223314,0.20428565056297,0.260808462482746,-2.01308148253308,3.40649209678957,0.0789004202652357,0.00927107005737241,1,0.287403171778545,FALSE,FALSE,FALSE,TRUE
"Lachnospiraceae UCG-001",0.349178820633762,-0.632402995635286,0.54974990902468,1.00745388795404,0.635159396848733,-0.627724011189814,0.543059895998769,0.547680006406085,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-006",-0.26860161767837,0.603157880988979,0.222947735984789,0.366980803490425,-1.20477391928616,1.64356793394158,0.262718778596608,0.138888505129773,1,1,FALSE,FALSE,TRUE,TRUE
"Lactobacillus",0.465252453732137,-0.864550261832036,0.311188160864143,0.898249932055735,1.49508404317237,-0.96248296935957,0.173253736760378,0.363993009895792,1,1,FALSE,FALSE,TRUE,TRUE
"Marvinbryantia",-0.0880480986470157,0.242050842926269,0.293582608220238,0.360117257030317,-0.299909109673705,0.672144525709002,0.77189132591041,0.520427294403154,1,1,FALSE,FALSE,TRUE,TRUE
"Monoglobus",-0.501333784571122,0.956512398744878,0.412775140530802,0.494667788026142,-1.21454451914531,1.93364601839473,0.263916535258006,0.094414189845507,1,1,FALSE,FALSE,TRUE,TRUE
"Oscillibacter",-0.254086918284333,0.574128482200904,0.289759921475537,0.366310816873695,-0.876887724811812,1.56732604049436,0.406108601064234,0.155674062105118,1,1,FALSE,FALSE,TRUE,TRUE
"Parasutterella",0.408146726159949,-0.75033880668766,0.383723003908927,0.427663498701975,1.06364935644259,-1.75450747834466,0.31853652472732,0.117424604003818,1,1,FALSE,FALSE,TRUE,TRUE
"Roseburia",9.87407720214579e-05,0.0657571640881947,0.237993800985236,0.399331012150817,0.000414887999656695,0.164668312971796,0.999679126443804,0.873289738978623,1,1,FALSE,FALSE,TRUE,TRUE
"Ruminococcus",-0.264103003672061,0.594160652976361,0.305320829136083,0.616302697429516,-0.865001593305478,0.964072776988474,0.412223716508078,0.363242632517216,1,1,FALSE,FALSE,TRUE,TRUE
"Turicibacter",0.736844723116943,-1.40773480060165,0.173038212105573,0.342798224403992,4.25827748767645,-4.10659886890958,0.00276785554177495,0.00340658416429857,0.0996427995038982,0.115823861586151,FALSE,FALSE,TRUE,TRUE
"Tuzzerella",0.304803121995357,-0.537961275021954,0.181855432520993,0.433715415479389,1.67607377888022,-1.24035544004665,0.137629050818498,0.254803677221596,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-009",-0.186873094589467,0.439700834811173,0.262442135761165,0.316552690323389,-0.712054465063229,1.38902889867079,0.496668399231623,0.202266533466785,1,1,FALSE,FALSE,TRUE,TRUE
