"taxon","lfc_(Intercept)","lfc_TimepointBaseline","se_(Intercept)","se_TimepointBaseline","W_(Intercept)","W_TimepointBaseline","p_(Intercept)","p_TimepointBaseline","q_(Intercept)","q_TimepointBaseline","diff_(Intercept)","diff_TimepointBaseline","passed_ss_(Intercept)","passed_ss_TimepointBaseline"
"[Eubacterium] nodatum group",0.217207056909872,-0.662317429790896,0.102687398870959,0.275597611917122,2.115226009209,-2.40320453135881,0.0528224315137594,0.0306800223412283,1,0.917988644379394,FALSE,FALSE,TRUE,FALSE
"[Eubacterium] ventriosum group",0.304430985118766,-0.863384841060954,0.18841351470489,0.234157249936926,1.6157598121111,-3.68720097837467,0.12569023010798,0.00199558575650433,1,0.0798234302601732,FALSE,FALSE,FALSE,TRUE
"[Eubacterium] xylanophilum group",-0.0550543759259529,-0.144414118971516,0.262471722753169,0.326346469370257,-0.209753551157687,-0.442517791751168,0.836507584945358,0.66403833144501,1,1,FALSE,FALSE,TRUE,TRUE
"A2",0.128605084796464,-0.511733040416349,0.183876074635376,0.299455756028627,0.699411737233819,-1.7088769546558,0.494338145331352,0.10679576048978,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.370949284276187,-0.996421439375795,0.124844760386844,0.417246394104782,2.97128436248958,-2.38808879706116,0.00900259104337061,0.0296125369154643,0.378108823821566,0.917988644379394,FALSE,FALSE,FALSE,TRUE
"Akkermansia",-0.258718814161215,0.262914757499007,0.306952116464778,0.347441181626811,-0.842863757190944,0.756717313324721,0.4117279451956,0.460217691535616,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",0.0876763429568592,-0.429875556737141,0.136153898804656,0.198973973290023,0.643950292474921,-2.16046123836788,0.528731350621685,0.0462506352716949,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",0.518367376431572,-1.29125762368657,0.288602399293011,0.406608756160291,1.79612982324962,-3.17567589021013,0.091379301675405,0.00587013026245881,1,0.217194819710976,FALSE,FALSE,TRUE,TRUE
"Anaerotruncus",0.203870637070334,-1.01201043511381,0.136538478517735,0.213483688615785,1.49313687455404,-4.74045788545074,0.17903933772264,0.00210675241761474,1,0.0821633442869749,FALSE,FALSE,TRUE,FALSE
"ASF356",-0.315156568282725,0.578984842185522,0.240389529337342,0.32102458603483,-1.31102452403599,1.80355295940699,0.216558133969274,0.0987286750193265,1,1,FALSE,FALSE,TRUE,TRUE
