"taxon","lfc_(Intercept)","lfc_TimepointBaseline","se_(Intercept)","se_TimepointBaseline","W_(Intercept)","W_TimepointBaseline","p_(Intercept)","p_TimepointBaseline","q_(Intercept)","q_TimepointBaseline","diff_(Intercept)","diff_TimepointBaseline","passed_ss_(Intercept)","passed_ss_TimepointBaseline"
"[Eubacterium] brachy group",-0.0801906974610553,0.192377407906683,0.221232183461364,0.284346508736978,-0.362473019098778,0.676559767732664,0.725364436347748,0.515694616691317,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] nodatum group",-0.0239117638777078,0.218665363430597,0.170517962245025,0.244592540035675,-0.140230176122724,0.893998498068272,0.89034382471404,0.385442602326572,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",0.00680112388129631,0.182779883358812,0.166074049808488,0.233997902611914,0.0409523576328704,0.781117613955508,0.967840554129094,0.446137738543983,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",0.0513774327935363,0.0936272655343307,0.261345144191641,0.307941735271976,0.196588434625216,0.304042144373963,0.846624979741201,0.765014255590664,1,1,FALSE,FALSE,TRUE,TRUE
"A2",-0.0650535438525582,0.285014678785155,0.415738475247294,0.499818094807541,-0.156477082891744,0.570236815645704,0.877500224475209,0.575976862764332,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.303622094395302,-0.415469033885779,0.234379094472174,0.381382559297154,1.29543163855575,-1.08937607071346,0.212486838985598,0.291190256395251,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",0.166204128590975,-0.154374898857557,0.166790297779934,0.284321435049696,0.996485591807429,-0.542959059103561,0.332987615592975,0.594206090155324,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",-0.0428311992170466,0.242792223977682,0.181852397181558,0.229945193788361,-0.235527273111966,1.05586996613265,0.816613439016211,0.305802772245332,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",0.0719264305567398,-0.00825615914167535,0.242897255702241,0.364398019308264,0.296118745140998,-0.0226569813890536,0.770948309350582,0.982204049939528,1,1,FALSE,FALSE,TRUE,TRUE
"Anaerotruncus",0.116229041386583,-0.192928187716511,0.197523286994954,0.275471438827914,0.588432094032295,-0.700356409134059,0.57247634267888,0.503560133461179,1,1,FALSE,FALSE,TRUE,TRUE
"ASF356",-0.0307101477588409,0.23089119455508,0.186130364278055,0.36119981234477,-0.164992680683544,0.639233982587706,0.871942757795749,0.535755347442871,1,1,FALSE,FALSE,TRUE,TRUE
"Bacteroides",0.0611677651022875,0.0451941917709483,0.185498823466892,0.246301221698112,0.329747455854914,0.183491545268672,0.745619116032835,0.856583096667194,1,1,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",-0.389599966093401,0.901652881042756,0.360859357486681,0.441040486823307,-1.07964490323015,2.0443766683125,0.29538053507553,0.0567233847122179,1,1,FALSE,FALSE,TRUE,FALSE
"Blautia",0.355233051009816,-0.990820937523153,0.32285205458433,0.412544620152208,1.10029670236163,-2.40173035624023,0.313376768810851,0.0531693818026631,1,1,FALSE,FALSE,TRUE,TRUE
"Clostridium sensu stricto 1",0.0176591505740362,0.103372643456249,0.341679696619653,0.573914114970037,0.0516833477339855,0.180118663681317,0.959462999969107,0.859470202784766,1,1,FALSE,FALSE,TRUE,TRUE
"Colidextribacter",-0.0896730840056955,0.331791805076115,0.202991847872311,0.259125902913833,-0.441757070274582,1.28042700997918,0.664232869254839,0.21759048131599,1,1,FALSE,FALSE,TRUE,TRUE
"Defluviitaleaceae UCG-011",0.00860220121407418,0.0747173561131585,0.132111044169359,0.325828271763127,0.0651134147652837,0.229315141098244,0.949074355035397,0.822192341210584,1,1,FALSE,FALSE,TRUE,FALSE
"Dubosiella",-1.54060041569311,3.0885537352822,0.773570024698602,0.801086183543044,-1.99154616454193,3.85545750099215,0.0627382047610369,0.00126856456098586,1,0.0520111470004202,FALSE,FALSE,FALSE,TRUE
"Enterorhabdus",0.209747158584481,-0.237106655845221,0.172538878870726,0.292739154816722,1.21565156767729,-0.809958804430067,0.240730353968443,0.429156411131447,1,1,FALSE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",-0.214525784968456,0.553475360869268,0.224087931986597,0.409827935674784,-0.957328594479096,1.35050667045907,0.353577936892606,0.196877724922234,1,1,FALSE,FALSE,TRUE,TRUE
"Family XIII UCG-001",6.12160919052918e-07,0.11033414574662,0.273788589729911,0.322031867879322,2.23588908382488e-06,0.342618718057948,0.999998247566231,0.736975001058648,1,1,FALSE,FALSE,TRUE,TRUE
