"taxon","lfc_(Intercept)","lfc_TreatmentVehicle","se_(Intercept)","se_TreatmentVehicle","W_(Intercept)","W_TreatmentVehicle","p_(Intercept)","p_TreatmentVehicle","q_(Intercept)","q_TreatmentVehicle","diff_(Intercept)","diff_TreatmentVehicle","passed_ss_(Intercept)","passed_ss_TreatmentVehicle"
"[Eubacterium] brachy group",-0.0555313103274984,0.152870457716311,0.0752431640205106,0.184227778252962,-0.738024657128469,0.829790486353287,0.477461378132435,0.426022378871559,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] nodatum group",0.269851231986457,-0.502039682018932,0.121527753259028,0.2143739787902,2.22049058548205,-2.34188722368334,0.0365174928596198,0.0282127387816807,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",0.210695651611354,-0.19489755260415,0.113817126249981,0.200393594770768,1.85117704648942,-0.972573763283676,0.0747190805411683,0.339092775207202,1,1,FALSE,FALSE,FALSE,TRUE
"[Eubacterium] xylanophilum group",0.202442674416208,-0.178391598213858,0.213097677732977,0.307156731648694,0.949999439552221,-0.580783619021872,0.35024104814176,0.566032056027348,1,1,FALSE,FALSE,TRUE,TRUE
"A2",0.230820941478192,-0.269022004667066,0.165394028914624,0.266954317515569,1.39558207145036,-1.00774547184979,0.174212953765345,0.322523149115962,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.355694342207709,-0.48489493379686,0.145669087387867,0.26025554103435,2.44179701119852,-1.86314931804991,0.02118793821053,0.0729622624667914,0.720389899158019,1,FALSE,FALSE,TRUE,FALSE
"Akkermansia",0.0176927820258801,0.191108186566798,0.348111241218155,0.483971450281765,0.0508250809826402,0.394874917633129,0.959825755418443,0.69592725600995,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",0.251775598916835,-0.277057447215113,0.116536333132842,0.206230471772963,2.16049014198716,-1.34343603461337,0.0394422314230967,0.189918341404147,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",0.0635825937222887,0.0559435123561444,0.375581626808163,0.468186022574947,0.169291012083413,0.119489924215303,0.867187868649943,0.906022963566853,1,1,FALSE,FALSE,TRUE,TRUE
"ASF356",0.0790681555999206,0.01282458806868,0.258893244456671,0.343788615859552,0.305408338351423,0.0373037019757491,0.762688338966163,0.970551411062164,1,1,FALSE,FALSE,TRUE,TRUE
"Bacteroides",0.284565766505312,-0.342637782392066,0.119627124516043,0.210541510017095,2.3787729384664,-1.62741201183674,0.0244281314324681,0.114852238172714,0.806128337271448,1,FALSE,FALSE,TRUE,FALSE
"Bifidobacterium",-0.197127718059182,0.620749186736922,0.175922011884639,0.25166112766326,-1.12054038006596,2.46660734814606,0.272002920472952,0.0200243289927529,1,0.760924501724609,FALSE,FALSE,TRUE,TRUE
"Blautia",0.279407683504631,-0.373024399446536,0.256718660374009,0.398847226104678,1.08838088784651,-0.935256346370164,0.293605605332925,0.364469671541753,1,1,FALSE,FALSE,TRUE,TRUE
"Clostridium sensu stricto 1",-0.397337491258474,0.889939404089195,0.311434378693355,0.379385803890639,-1.27583053908669,2.34573722833795,0.214750313742398,0.0279802105704454,1,1,FALSE,FALSE,FALSE,TRUE
"Colidextribacter",0.283938078389064,-0.341382406159569,0.112574179813724,0.248131891242072,2.52223093127477,-1.37581027755326,0.0176261470035262,0.179786718441147,0.616915145123416,1,FALSE,FALSE,FALSE,TRUE
"Dubosiella",0.12452729546603,-0.0225608403135012,0.127239316788747,0.321677106756426,0.978685665789772,-0.0701350510796039,0.336116152613072,0.944584691160839,1,1,FALSE,FALSE,TRUE,TRUE
"Enterorhabdus",0.195784893633056,-0.165076036647555,0.0883675099641441,0.18019771305106,2.21557554029188,-0.916082861721886,0.0350235326732651,0.367446401371361,1,1,FALSE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",0.224854395670132,-0.363155225905999,0.252091804486402,0.365143391767068,0.891954405769908,-0.994555109291592,0.381654410875436,0.33030157774031,1,1,FALSE,FALSE,FALSE,FALSE
"Faecalibaculum",-0.659069479897703,1.35577148509068,0.473410446039342,0.515208059102863,-1.3921735048553,2.63150286789282,0.176636853914028,0.014622560679877,1,0.584902427195082,FALSE,FALSE,FALSE,TRUE
"Family XIII UCG-001",0.147483058614839,-0.326094799895239,0.159443364064559,0.242724277920869,0.924987123045918,-1.34347829845661,0.367917518309601,0.196777129423066,1,1,FALSE,FALSE,FALSE,FALSE
"GCA-900066575",0.0866434902155236,0.043497010325288,0.129207445622634,0.249081798882027,0.670576604916226,0.174629421019597,0.508186212289371,0.862673720594428,1,1,FALSE,FALSE,TRUE,TRUE
"Incertae Sedis",0.423208714084016,-0.619923677549474,0.12303087987932,0.227431585740957,3.43985765605462,-2.72575893770341,0.00184266819063833,0.0109375563751727,0.0755493958161715,0.448439811382082,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",0.0961732828940504,-0.0861738839848586,0.227001832634866,0.299244795248996,0.423667429367171,-0.287971204020959,0.675744229637581,0.775947787266961,1,1,FALSE,FALSE,FALSE,FALSE
"Lachnoclostridium",0.337352113597618,-0.489693718343019,0.125935020102146,0.292662677114814,2.67877920950019,-1.67323596971987,0.012426266221955,0.105829802931193,0.459771850212337,1,FALSE,FALSE,FALSE,TRUE
