"taxon","lfc_(Intercept)","lfc_TreatmentVehicle","se_(Intercept)","se_TreatmentVehicle","W_(Intercept)","W_TreatmentVehicle","p_(Intercept)","p_TreatmentVehicle","q_(Intercept)","q_TreatmentVehicle","diff_(Intercept)","diff_TreatmentVehicle","passed_ss_(Intercept)","passed_ss_TreatmentVehicle"
"[Eubacterium] nodatum group",-0.0131500400370396,-0.0376015007354944,0.144808473100304,0.274318293723553,-0.090809879805383,-0.13707252340009,0.931169408200982,0.896322012191264,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",-0.15149367879171,0.350194769312129,0.175634749581888,0.325714949540934,-0.862549576051164,1.07515718822761,0.413493310051206,0.313658208793042,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",0.432712204627738,-0.818216997526766,0.372117481433082,0.468417810222652,1.16283761504914,-1.74676747909702,0.27840621835276,0.118815570790005,1,1,FALSE,FALSE,TRUE,TRUE
"A2",0.278676945858486,-0.510146479988264,0.309243736181627,0.440741368666574,0.901156315401687,-1.15747355763692,0.393825092462364,0.280466819244581,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.458006428573209,-0.868805445417708,0.25792174264416,0.447323157072533,1.77575734359508,-1.9422322132919,0.113683811436626,0.0880422856803149,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",-1.37627663923392,2.79976069019654,0.61499829517402,0.684944608591972,-2.23785439737599,4.08757241837695,0.0556113094812647,0.00349731259285302,1,0.122405940749856,FALSE,FALSE,FALSE,TRUE
"Alistipes",-0.0249316709389167,0.0970707536065427,0.198029847463816,0.286327108050772,-0.125898551446757,0.339020479993567,0.902918742384871,0.743321634560534,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",-2.45660010543718,3.98106513892179,0.149923937788283,0.298038870188067,-16.3856428911725,13.3575366743595,3.29094017686623e-06,1.08949165893207e-05,0.000121764786544051,0.000403111913804867,TRUE,TRUE,TRUE,TRUE
"Bacteroides",-0.0991376816432094,0.245482775015128,0.190108191507331,0.285937173794977,-0.521480325793254,0.858519974010602,0.616157021417736,0.415585747122181,1,1,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",0.508316649841628,-0.969425887954547,0.217913235501425,0.403498630457243,2.3326561540513,-2.40255062788193,0.0479624016833998,0.0430052124889423,1,1,FALSE,FALSE,FALSE,TRUE
"Clostridium sensu stricto 1",0.295385734451661,-0.543564057174613,0.180245351440525,0.471015325918887,1.63879807213296,-1.15402626467449,0.139887994873376,0.281797620545318,1,1,FALSE,FALSE,TRUE,TRUE
"Colidextribacter",0.204457691716886,-0.361707971705063,0.257921544556083,0.436536860308563,0.792712730023329,-0.828585177089953,0.45081164860761,0.4313635392951,1,1,FALSE,FALSE,TRUE,TRUE
"Coriobacteriaceae UCG-002",-0.511369905418705,1.06994722256612,0.196915589023835,0.39980184589305,-2.59689904671187,2.67619380339814,0.031770562034142,0.0280912312458725,1,0.955101862359666,FALSE,FALSE,FALSE,TRUE
"Dubosiella",0.0496569477724746,-0.0521064838162393,0.153228373290844,0.427674426259262,0.324071493457811,-0.121836800652307,0.754194417438078,0.906033120962098,1,1,FALSE,FALSE,TRUE,TRUE
"Enterorhabdus",-0.0533773432102055,0.15396209814912,0.197506928607919,0.360479558929775,-0.270255547926461,0.427103546748162,0.793804756355334,0.680566456520123,1,1,FALSE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",-0.0136540817000192,0.106671089384744,0.251725430970155,0.390718678354988,-0.0542419637435758,0.27301251589469,0.958503383455625,0.793997132760282,1,1,FALSE,FALSE,TRUE,TRUE
"Faecalibaculum",0.0276122016613663,-0.00801699159402186,0.122343693406969,0.292350997819202,0.225693706740698,-0.0274224875366418,0.827098689699755,0.978794491740475,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",0.240851587439123,-0.434495763149537,0.26709174919297,0.423397479494924,0.901756000201678,-1.02621244620505,0.393524998233685,0.334817271121943,1,1,FALSE,FALSE,TRUE,TRUE
"Incertae Sedis",0.157731606869011,-0.268255802009311,0.255487218164921,0.434202468167658,0.617375726276812,-0.617812706457785,0.554148647301211,0.553874590919397,1,1,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",-0.179684999111973,0.317431361959451,0.236571025235572,0.411492953460655,-0.759539334679919,0.771413846312199,0.476302014673501,0.469742001376362,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnoclostridium",0.290882448039964,-0.53455748435122,0.321214440616894,0.548662250662637,0.905570893641405,-0.97429244258306,0.391619828752111,0.358446668437451,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae FCS020 group",0.0679217647073003,-0.32492870334387,0.1614045991891,0.292883162489313,0.4208167861916,-1.10941407687008,0.69136430113817,0.317738870011846,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae NK4A136 group",0.107801607180818,-0.168395802632927,0.214769057625781,0.351387108736936,0.501941985370418,-0.479231589451951,0.629229059510992,0.644599742423821,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-001",-0.125857355167401,0.342287415490724,0.865559885569706,0.961501745177499,-0.145405716306461,0.355992505689665,0.889152345931277,0.734028652780301,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-006",0.271131804299828,-0.541231629875706,0.410019244757102,0.492865970559023,0.661266044866865,-1.09813146414192,0.529597746292314,0.308477346563203,1,1,FALSE,FALSE,TRUE,TRUE
"Lactobacillus",0.351132179865955,-0.6550569480032,0.235605425927099,0.520886358684329,1.49033995496607,-1.25758130748089,0.174468151119722,0.244010446982498,1,1,FALSE,FALSE,TRUE,TRUE
"Marvinbryantia",-0.248793674983038,0.38275028269819,0.182206284767251,0.291303358211113,-1.36545056774987,1.31392334454587,0.221085946474716,0.236870350056226,1,1,FALSE,FALSE,TRUE,TRUE
"Monoglobus",0.366689546347809,-0.82985629313735,0.214152794606933,0.393001091983014,1.71227999625618,-2.11158775399336,0.130575901992392,0.0726179720436673,1,1,FALSE,FALSE,TRUE,TRUE
"NK4A214 group",-0.0273010955652645,0.0490462280105291,0.153437615999372,0.304578754937027,-0.177929612549352,0.161029708131382,0.867425703774784,0.879875744739786,1,1,FALSE,FALSE,TRUE,TRUE
"Oscillibacter",0.15270099691632,-0.258194582103932,0.226382039883084,0.332460447815987,0.674527877720261,-0.776617440661209,0.518988962835934,0.459728229482524,1,1,FALSE,FALSE,TRUE,TRUE
"Parasutterella",0.44258910342736,-0.83797079512601,0.153312162291605,0.451212048563108,2.88684926761087,-1.85715518411918,0.0202970435046125,0.100368135161199,0.710396522661436,1,FALSE,FALSE,FALSE,TRUE
"Romboutsia",0.136037204834438,-0.224866997940167,0.164613176380842,0.323958104984215,0.826405320797095,-0.694123698344029,0.432528545607473,0.507256610336416,1,1,FALSE,FALSE,TRUE,TRUE
"Roseburia",0.156123270039914,-0.265039128351118,0.200195078493632,0.537558943020468,0.779855684838324,-0.493041985055444,0.457924835919476,0.635230381568502,1,1,FALSE,FALSE,TRUE,TRUE
"Ruminococcus",0.163127496976666,-0.279047582224622,0.248414802308845,0.436126781972185,0.656673819194782,-0.639831337490342,0.529823269985989,0.540168817936765,1,1,FALSE,FALSE,TRUE,TRUE
"Turicibacter",0.886531525404973,-1.72585563908124,0.169251832787983,0.326957973906298,5.23794342904107,-5.27852438789533,0.000785251626864625,0.000747540232949464,0.0282690585671265,0.0269114483861807,TRUE,TRUE,TRUE,TRUE
"UCG-005",0.0071741409822765,-0.0388659570954318,0.334152141068947,0.541775218505479,0.021469684316032,-0.0717381596054651,0.983567169233913,0.945141797559176,1,1,FALSE,FALSE,TRUE,TRUE
