"taxon","lfc_(Intercept)","lfc_TreatmentVehicle","se_(Intercept)","se_TreatmentVehicle","W_(Intercept)","W_TreatmentVehicle","p_(Intercept)","p_TreatmentVehicle","q_(Intercept)","q_TreatmentVehicle","diff_(Intercept)","diff_TreatmentVehicle","passed_ss_(Intercept)","passed_ss_TreatmentVehicle"
"[Eubacterium] brachy group",0.0403162709681463,0.0120427112711771,0.0497874662078308,0.241171770444435,0.809767478422213,0.0499341662126733,0.444724318363274,0.961569796661583,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] nodatum group",0.0220293033617205,0.0168982699912895,0.11760477354893,0.249649715327698,0.187316404742323,0.0676879201288425,0.854100134854198,0.946991274898587,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",0.288414805218255,-0.4315300122031,0.136559448403768,0.323530490180474,2.11200915491027,-1.33381559173103,0.0507616985188333,0.200941278203954,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",0.506696958083145,-0.868094317932879,0.437963424787667,0.570436659241974,1.15693898030138,-1.52180667891585,0.264278881625304,0.147574370984523,1,1,FALSE,FALSE,TRUE,TRUE
"A2",0.149505384504122,-0.153711170774833,0.26977443171369,0.424200423776452,0.554186634939485,-0.36235506180408,0.587114112744559,0.721828482912925,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.0480772044429895,0.0491451893474315,0.0976761721758628,0.379606537310532,0.492210161106928,0.129463495796515,0.629256004696694,0.898604458420944,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",0.223067672922932,-0.290600572025645,0.542507270760786,0.688791204811451,0.411179139793118,-0.421899365142436,0.686755635226896,0.679082866392285,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",0.219888922414214,-0.294478246595018,0.13110347150995,0.246342476485211,1.67721662807019,-1.1954018275557,0.112924432884255,0.249347738272991,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",0.286212881032845,-0.408515592792151,0.161112773934489,0.384832288563484,1.77647540938761,-1.0615418844325,0.103284648838659,0.311194634346729,1,1,FALSE,FALSE,TRUE,TRUE
"Anaerotruncus",-0.123698003864112,0.276941344166742,0.0896678344185438,0.310672586289769,-1.37951367584863,0.891425109225551,0.205066633319134,0.398717940280153,1,1,FALSE,FALSE,TRUE,TRUE
"ASF356",-0.150679967402355,0.48871687997275,0.18898468212703,0.315928718804505,-0.79731312456886,1.54692134929071,0.445793672656604,0.156286226408402,1,1,FALSE,FALSE,TRUE,TRUE
"Bacteroides",0.348115449750282,-0.550931301267153,0.126213044977471,0.294510365012592,2.75815744570953,-1.870668630775,0.0139972907424317,0.0797965880312684,0.5494451587832,1,FALSE,FALSE,TRUE,FALSE
"Bifidobacterium",0.0101078353460351,0.125083927541341,0.17414687289224,0.314361753012665,0.0580420146406517,0.397898046892178,0.954433877184309,0.695963978761873,1,1,FALSE,FALSE,TRUE,TRUE
"Blautia",-0.478621351445457,0.865864103812579,0.178819100509158,0.371579165359929,-2.67656726872388,2.33022780750869,0.0367037188648337,0.0586224523399904,1,1,FALSE,FALSE,FALSE,TRUE
"Clostridium sensu stricto 1",0.0389266283741666,0.154990586924123,0.13875369791221,0.448769261491105,0.280544799597309,0.345368099430747,0.784265704966119,0.736331696996707,1,1,FALSE,FALSE,TRUE,TRUE
"Colidextribacter",-0.0329652547519352,0.21123010773728,0.176643393811566,0.280787168993302,-0.186620365701878,0.752278348382504,0.854304026440896,0.462808182220324,1,1,FALSE,FALSE,TRUE,TRUE
"Defluviitaleaceae UCG-011",0.190519306772295,-0.287843326825067,0.0807569634831818,0.247034693596894,2.35916877696834,-1.16519393545088,0.0648178735021873,0.296500688468426,1,1,FALSE,FALSE,TRUE,TRUE
"Dubosiella",0.599646267558066,-1.05399293688272,0.184866669234955,0.681062976513439,3.2436689103537,-1.54757044976724,0.00508834605304929,0.141275865946728,0.208622188175021,1,FALSE,FALSE,FALSE,TRUE
"Enterorhabdus",0.0304537529335481,0.0843920923663133,0.0952649233192891,0.250258033280282,0.319674355181912,0.337220313210871,0.753351421533267,0.740334008764459,1,1,FALSE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",0.500488540462548,-1.90508458027902,0.126947179747013,0.261224117182792,3.94249436230049,-7.29291231156094,0.00276368191997723,2.62296688708049e-05,0.118838322559021,0.00118033509918622,FALSE,TRUE,TRUE,TRUE
"Faecalibaculum",-0.409627333968139,0.964554266169689,0.148023599922961,0.279690118773646,-2.76731098406828,3.44865335392956,0.01373612896958,0.00330294875594707,0.5494451587832,0.138723847749777,FALSE,FALSE,TRUE,TRUE
"Family XIII AD3011 group",0.0762037091543033,-0.0540858855180518,0.056733922585549,0.22857174246263,1.34317716247093,-0.236625424189932,0.250360630503397,0.824571116226149,1,1,FALSE,FALSE,TRUE,TRUE
"Family XIII UCG-001",-0.0237690328432739,0.128376409128752,0.123912623874352,0.265694192510511,-0.191820914609764,0.48317356098656,0.851090084412787,0.637668159027282,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",-0.903831640513218,1.66631039142814,0.222223482402305,0.326148616737354,-4.06721931787999,5.10905245619977,0.00133258827323603,0.000200535609977613,0.0586338840223853,0.00862303122903735,FALSE,TRUE,TRUE,TRUE
"Incertae Sedis",-0.0221730952701716,0.189645788773753,0.151844414132431,0.306344148891973,-0.14602509678646,0.61906124030666,0.885725497491735,0.544590434042661,1,1,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",-0.123231724062579,0.358646017761671,0.185218137226012,0.402982112495549,-0.665332919919207,0.889979993257473,0.516649533634487,0.388514454598486,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnoclostridium",0.0872671192249514,-0.0292346402164922,0.226343430816263,0.438769564940499,0.385551809081623,-0.0666286874762079,0.704906420117094,0.947702782215536,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae FCS020 group",0.033614984114603,0.104085493354595,0.175567543289641,0.309364007094026,0.191464683532918,0.336449913266607,0.851362987147026,0.742342138093671,1,1,FALSE,FALSE,TRUE,FALSE
"Lachnospiraceae NK4A136 group",0.195708444117439,-0.246117290001468,0.113496340887472,0.255599504335859,1.72435906379992,-0.962902062900984,0.103905308919829,0.349924791281206,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-001",-0.122967397107006,0.403768028563832,0.363475971955702,0.636869471396784,-0.338309562652444,0.633988669104026,0.741498974638087,0.539048229365436,1,1,FALSE,FALSE,TRUE,TRUE
