"taxon","lfc_(Intercept)","lfc_TreatmentVehicle","se_(Intercept)","se_TreatmentVehicle","W_(Intercept)","W_TreatmentVehicle","p_(Intercept)","p_TreatmentVehicle","q_(Intercept)","q_TreatmentVehicle","diff_(Intercept)","diff_TreatmentVehicle","passed_ss_(Intercept)","passed_ss_TreatmentVehicle"
"[Eubacterium] brachy group",-0.00478550492472807,0.0756820104024644,0.131145815263066,0.229195944394429,-0.036489955208474,0.330206586344396,0.971406887159471,0.746133205705408,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] nodatum group",0.114151494201188,0.0398275454643355,0.196756556654659,0.265612034198554,0.580166151217739,0.149946313933062,0.56699545263722,0.882010157509461,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",-0.00407478944713432,0.278892533590857,0.0945934239469343,0.183377390732809,-0.0430768786783765,1.52086651727539,0.965969373166811,0.140362856297015,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",-0.10039576435258,0.471534483401748,0.203962162983415,0.258538052977426,-0.492227395925116,1.82384944100635,0.626689340262762,0.0796905323961645,1,1,FALSE,FALSE,TRUE,TRUE
"A2",-0.165507660810846,0.57228388845736,0.188644333521132,0.316318736423157,-0.877352940963403,1.8092000964868,0.38803519209323,0.081568093197875,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",0.00392400393191295,0.244716003288025,0.278313113629514,0.368215288419273,0.0140992419679387,0.664600332969813,0.988854473815475,0.511942923046355,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",-0.0734684081159287,0.394341333247185,0.196294386630791,0.285952389248029,-0.374276663622149,1.37904542180671,0.711121885932089,0.179198507205529,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",0.0252586459627866,0.203469028695003,0.0774649733304937,0.163370196208422,0.326065379962426,1.24544766069463,0.746888736773329,0.223667681999374,1,1,FALSE,FALSE,TRUE,FALSE
"Anaeroplasma",-0.177793715215109,0.596036926972266,0.329836177219589,0.472065076793892,-0.539036429277867,1.26261601688553,0.594279024649952,0.217523716415833,1,1,FALSE,FALSE,TRUE,TRUE
"Anaerotruncus",-0.454792539810421,0.949634847595368,0.146212416207647,0.253160843863743,-3.11049192405477,3.75111266458917,0.00673030105368838,0.00174366050141006,0.282672644254912,0.0767210620620428,FALSE,FALSE,FALSE,FALSE
