"taxon","lfc_(Intercept)","lfc_TreatmentVehicle","se_(Intercept)","se_TreatmentVehicle","W_(Intercept)","W_TreatmentVehicle","p_(Intercept)","p_TreatmentVehicle","q_(Intercept)","q_TreatmentVehicle","diff_(Intercept)","diff_TreatmentVehicle","passed_ss_(Intercept)","passed_ss_TreatmentVehicle"
"[Eubacterium] nodatum group",0.257384942318411,-0.454524984103087,0.104697727316626,0.358823145791579,2.45836226740653,-1.26671032633746,0.0698142641945699,0.273995337054361,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",-0.249690092000678,0.624196656369725,0.178136352130579,0.339589772684172,-1.40167960674106,1.83809026825506,0.198595328063423,0.103347571235232,1,1,FALSE,FALSE,TRUE,FALSE
"[Eubacterium] xylanophilum group",-0.00259022409259435,0.129996920553559,0.17415000636389,0.309569944367271,-0.014873522813327,0.41992746039755,0.98849732369796,0.685589380980199,1,1,FALSE,FALSE,TRUE,TRUE
"A2",0.934621983151771,-1.74442749393517,0.128536704535184,0.584138818650314,7.27124587900056,-2.98632352146322,8.62561717677004e-05,0.0174314205146796,0.00301896601186952,0.540374035955067,TRUE,FALSE,FALSE,TRUE
"Acetatifactor",0.677107095746246,-1.22939771912412,0.107349620077789,0.459325515806511,6.30749410436286,-2.67652825026598,0.000230915648087484,0.0280766728389731,0.00785113203497447,0.786146839491246,TRUE,FALSE,FALSE,TRUE
"Akkermansia",-0.638505028989085,1.26097874906369,0.239526309724138,0.525058755569463,-2.66569893605613,2.40159550847994,0.0321998728340702,0.0473550187295923,0.837196693685826,1,FALSE,FALSE,FALSE,FALSE
"Alistipes",0.280408778114036,-0.436001083859702,0.146721414388888,0.283139855351488,1.91116463320621,-1.53987888182839,0.0923652453494477,0.162154502453709,1,1,FALSE,FALSE,TRUE,FALSE
"Anaeroplasma",0.196256195226814,-0.267695918085258,0.629204423861185,0.745849218059725,0.311911658253235,-0.358914257202884,0.763081939014479,0.728947273014758,1,1,FALSE,FALSE,TRUE,TRUE
"Anaerotruncus",0.314431740801746,-0.630832145468412,0.199897814352742,0.392144583556006,1.57296237490069,-1.60867234158372,0.17653666400058,0.168600907517905,1,1,FALSE,FALSE,TRUE,TRUE
"ASF356",1.00845064938191,-1.93791256990746,0.203229250952981,0.346984477698988,4.96213337722347,-5.58501228285092,0.00254680805830058,0.00140006174214519,0.0840446659239192,0.0490021609750817,FALSE,TRUE,FALSE,FALSE
