"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_35d_244",244,"WT","F","CCI","PAN","35d","PAN",11
"2","Villapol_35d_245",245,"WT","F","CCI","PAN","35d","PAN",24
"3","Villapol_35d_246",246,"WT","F","CCI","PAN","35d","PAN",25
"4","Villapol_35d_247",247,"WT","F","CCI","PAN","35d","PAN",20
"5","Villapol_35d_248",248,"WT","F","CCI","PAN","35d","PAN",20
"6","Villapol_35d_249",249,"WT","F","CCI","PAN","35d","PAN",35
"7","Villapol_35d_250",250,"WT","F","CCI","PAN","35d","PAN",47
"8","Villapol_35d_251",251,"WT","F","CCI","PAN","35d","PAN",38
"9","Villapol_35d_252",252,"WT","F","CCI","PAN","35d","PAN",41
"10","Villapol_35d_253",253,"WT","F","CCI","PAN","35d","PAN",41
