"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_244",244,"WT","F","CCI","PAN","35d","PAN",2643
"2","Villapol_35d_245",245,"WT","F","CCI","PAN","35d","PAN",4411
"3","Villapol_35d_246",246,"WT","F","CCI","PAN","35d","PAN",6565
"4","Villapol_35d_247",247,"WT","F","CCI","PAN","35d","PAN",6175
"5","Villapol_35d_248",248,"WT","F","CCI","PAN","35d","PAN",2463
"6","Villapol_35d_249",249,"WT","F","CCI","PAN","35d","PAN",2742
"7","Villapol_35d_250",250,"WT","F","CCI","PAN","35d","PAN",2150
"8","Villapol_35d_251",251,"WT","F","CCI","PAN","35d","PAN",3864
"9","Villapol_35d_252",252,"WT","F","CCI","PAN","35d","PAN",2413
"10","Villapol_35d_253",253,"WT","F","CCI","PAN","35d","PAN",2769
