"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_35d_244",244,"WT","F","CCI","PAN","35d","PAN",47
"2","Villapol_35d_245",245,"WT","F","CCI","PAN","35d","PAN",178
"3","Villapol_35d_246",246,"WT","F","CCI","PAN","35d","PAN",151
"4","Villapol_35d_247",247,"WT","F","CCI","PAN","35d","PAN",110
"5","Villapol_35d_248",248,"WT","F","CCI","PAN","35d","PAN",476
"6","Villapol_35d_249",249,"WT","F","CCI","PAN","35d","PAN",342
"7","Villapol_35d_250",250,"WT","F","CCI","PAN","35d","PAN",419
"8","Villapol_35d_251",251,"WT","F","CCI","PAN","35d","PAN",565
"9","Villapol_35d_252",252,"WT","F","CCI","PAN","35d","PAN",343
"10","Villapol_35d_253",253,"WT","F","CCI","PAN","35d","PAN",321
