"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_264",264,"WT","F","CCI","Vehicle","35d","PAN",2379
"2","Villapol_35d_265",265,"WT","F","CCI","Vehicle","35d","PAN",1165
"3","Villapol_35d_266",266,"WT","F","CCI","Vehicle","35d","PAN",4117
"4","Villapol_35d_267",267,"WT","F","CCI","Vehicle","35d","PAN",9591
"5","Villapol_35d_268",268,"WT","F","CCI","Vehicle","35d","PAN",1511
"6","Villapol_35d_269",269,"WT","F","CCI","Vehicle","35d","PAN",3533
"7","Villapol_35d_270",270,"WT","F","CCI","Vehicle","35d","PAN",2580
"8","Villapol_35d_271",271,"WT","F","CCI","Vehicle","35d","PAN",4684
"9","Villapol_35d_272",272,"WT","F","CCI","Vehicle","35d","PAN",1745
"10","Villapol_35d_273",273,"WT","F","CCI","Vehicle","35d","PAN",1082
