"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_244_B",244,"WT","F","CCI","PAN","Baseline","PAN",78
"2","Villapol_245_B",245,"WT","F","CCI","PAN","Baseline","PAN",84
"3","Villapol_246_B",246,"WT","F","CCI","PAN","Baseline","PAN",99
"4","Villapol_247_B",247,"WT","F","CCI","PAN","Baseline","PAN",135
"5","Villapol_248_B",248,"WT","F","CCI","PAN","Baseline","PAN",132
"6","Villapol_249_B",249,"WT","F","CCI","PAN","Baseline","PAN",88
"7","Villapol_250_B",250,"WT","F","CCI","PAN","Baseline","PAN",92
"8","Villapol_251_B",251,"WT","F","CCI","PAN","Baseline","PAN",40
"9","Villapol_252_B",252,"WT","F","CCI","PAN","Baseline","PAN",187
"10","Villapol_253_B",253,"WT","F","CCI","PAN","Baseline","PAN",81
"11","Villapol_279_B",279,"WT","F","Sham","PAN","Baseline","PAN",123
"12","Villapol_280_B",280,"WT","F","Sham","PAN","Baseline","PAN",45
"13","Villapol_281_B",281,"WT","F","Sham","PAN","Baseline","PAN",86
"14","Villapol_282_B",282,"WT","F","Sham","PAN","Baseline","PAN",32
"15","Villapol_283_B",283,"WT","F","Sham","PAN","Baseline","PAN",37
