"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_244_B",244,"WT","F","CCI","PAN","Baseline","PAN",3481
"2","Villapol_245_B",245,"WT","F","CCI","PAN","Baseline","PAN",6388
"3","Villapol_246_B",246,"WT","F","CCI","PAN","Baseline","PAN",3981
"4","Villapol_247_B",247,"WT","F","CCI","PAN","Baseline","PAN",2796
"5","Villapol_248_B",248,"WT","F","CCI","PAN","Baseline","PAN",1898
"6","Villapol_249_B",249,"WT","F","CCI","PAN","Baseline","PAN",9056
"7","Villapol_250_B",250,"WT","F","CCI","PAN","Baseline","PAN",5785
"8","Villapol_251_B",251,"WT","F","CCI","PAN","Baseline","PAN",10741
"9","Villapol_252_B",252,"WT","F","CCI","PAN","Baseline","PAN",5295
"10","Villapol_253_B",253,"WT","F","CCI","PAN","Baseline","PAN",11353
"11","Villapol_279_B",279,"WT","F","Sham","PAN","Baseline","PAN",412
"12","Villapol_280_B",280,"WT","F","Sham","PAN","Baseline","PAN",2547
"13","Villapol_281_B",281,"WT","F","Sham","PAN","Baseline","PAN",725
"14","Villapol_282_B",282,"WT","F","Sham","PAN","Baseline","PAN",2693
"15","Villapol_283_B",283,"WT","F","Sham","PAN","Baseline","PAN",2189
