"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_244_B",244,"WT","F","CCI","PAN","Baseline","PAN",48
"2","Villapol_245_B",245,"WT","F","CCI","PAN","Baseline","PAN",69
"3","Villapol_246_B",246,"WT","F","CCI","PAN","Baseline","PAN",77
"4","Villapol_247_B",247,"WT","F","CCI","PAN","Baseline","PAN",97
"5","Villapol_248_B",248,"WT","F","CCI","PAN","Baseline","PAN",89
"6","Villapol_249_B",249,"WT","F","CCI","PAN","Baseline","PAN",57
"7","Villapol_250_B",250,"WT","F","CCI","PAN","Baseline","PAN",40
"8","Villapol_251_B",251,"WT","F","CCI","PAN","Baseline","PAN",36
"9","Villapol_252_B",252,"WT","F","CCI","PAN","Baseline","PAN",130
"10","Villapol_253_B",253,"WT","F","CCI","PAN","Baseline","PAN",96
"11","Villapol_279_B",279,"WT","F","Sham","PAN","Baseline","PAN",67
"12","Villapol_280_B",280,"WT","F","Sham","PAN","Baseline","PAN",37
"13","Villapol_281_B",281,"WT","F","Sham","PAN","Baseline","PAN",31
"14","Villapol_282_B",282,"WT","F","Sham","PAN","Baseline","PAN",14
"15","Villapol_283_B",283,"WT","F","Sham","PAN","Baseline","PAN",24
