"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_264_B",264,"WT","F","CCI","Vehicle","Baseline","PAN",3893
"2","Villapol_265_B",265,"WT","F","CCI","Vehicle","Baseline","PAN",4577
"3","Villapol_266_B",266,"WT","F","CCI","Vehicle","Baseline","PAN",2062
"4","Villapol_267_B",267,"WT","F","CCI","Vehicle","Baseline","PAN",5112
"5","Villapol_268_B",268,"WT","F","CCI","Vehicle","Baseline","PAN",1748
"6","Villapol_269_B",269,"WT","F","CCI","Vehicle","Baseline","PAN",3807
"7","Villapol_270_B",270,"WT","F","CCI","Vehicle","Baseline","PAN",3221
"8","Villapol_271_B",271,"WT","F","CCI","Vehicle","Baseline","PAN",869
"9","Villapol_272_B",272,"WT","F","CCI","Vehicle","Baseline","PAN",4744
"10","Villapol_273_B",273,"WT","F","CCI","Vehicle","Baseline","PAN",2119
"11","Villapol_289_B",289,"WT","F","Sham","Vehicle","Baseline","PAN",3958
"12","Villapol_290_B",290,"WT","F","Sham","Vehicle","Baseline","PAN",4587
"13","Villapol_291_B",291,"WT","F","Sham","Vehicle","Baseline","PAN",2738
"14","Villapol_292_B",292,"WT","F","Sham","Vehicle","Baseline","PAN",3990
"15","Villapol_293_B",293,"WT","F","Sham","Vehicle","Baseline","PAN",2752
