"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_234_B",234,"WT","M","CCI","PAN","Baseline","PAN",108
"2","Villapol_236_B",236,"WT","M","CCI","PAN","Baseline","PAN",96
"3","Villapol_237_B",237,"WT","M","CCI","PAN","Baseline","PAN",75
"4","Villapol_238_B",238,"WT","M","CCI","PAN","Baseline","PAN",106
"5","Villapol_239_B",239,"WT","M","CCI","PAN","Baseline","PAN",26
"6","Villapol_240_B",240,"WT","M","CCI","PAN","Baseline","PAN",29
"7","Villapol_241_B",241,"WT","M","CCI","PAN","Baseline","PAN",42
"8","Villapol_242_B",242,"WT","M","CCI","PAN","Baseline","PAN",53
"9","Villapol_243_B",243,"WT","M","CCI","PAN","Baseline","PAN",45
"10","Villapol_274_B",274,"WT","M","Sham","PAN","Baseline","PAN",118
"11","Villapol_275_B",275,"WT","M","Sham","PAN","Baseline","PAN",112
"12","Villapol_276_B",276,"WT","M","Sham","PAN","Baseline","PAN",56
"13","Villapol_277_B",277,"WT","M","Sham","PAN","Baseline","PAN",115
"14","Villapol_278_B",278,"WT","M","Sham","PAN","Baseline","PAN",112
