"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_234_B",234,"WT","M","CCI","PAN","Baseline","PAN",24
"2","Villapol_236_B",236,"WT","M","CCI","PAN","Baseline","PAN",28
"3","Villapol_237_B",237,"WT","M","CCI","PAN","Baseline","PAN",41
"4","Villapol_238_B",238,"WT","M","CCI","PAN","Baseline","PAN",76
"5","Villapol_239_B",239,"WT","M","CCI","PAN","Baseline","PAN",27
"6","Villapol_240_B",240,"WT","M","CCI","PAN","Baseline","PAN",22
"7","Villapol_241_B",241,"WT","M","CCI","PAN","Baseline","PAN",31
"8","Villapol_242_B",242,"WT","M","CCI","PAN","Baseline","PAN",29
"9","Villapol_243_B",243,"WT","M","CCI","PAN","Baseline","PAN",38
"10","Villapol_274_B",274,"WT","M","Sham","PAN","Baseline","PAN",69
"11","Villapol_275_B",275,"WT","M","Sham","PAN","Baseline","PAN",40
"12","Villapol_276_B",276,"WT","M","Sham","PAN","Baseline","PAN",36
"13","Villapol_277_B",277,"WT","M","Sham","PAN","Baseline","PAN",82
"14","Villapol_278_B",278,"WT","M","Sham","PAN","Baseline","PAN",31
