"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_254_B",254,"WT","M","CCI","Vehicle","Baseline","PAN",3359
"2","Villapol_255_B",255,"WT","M","CCI","Vehicle","Baseline","PAN",4199
"3","Villapol_256_B",256,"WT","M","CCI","Vehicle","Baseline","PAN",1866
"4","Villapol_257_B",257,"WT","M","CCI","Vehicle","Baseline","PAN",2331
"5","Villapol_258_B",258,"WT","M","CCI","Vehicle","Baseline","PAN",2195
"6","Villapol_259_B",259,"WT","M","CCI","Vehicle","Baseline","PAN",2174
"7","Villapol_260_B",260,"WT","M","CCI","Vehicle","Baseline","PAN",1621
"8","Villapol_261_B",261,"WT","M","CCI","Vehicle","Baseline","PAN",2612
"9","Villapol_262_B",262,"WT","M","CCI","Vehicle","Baseline","PAN",1605
"10","Villapol_263_B",263,"WT","M","CCI","Vehicle","Baseline","PAN",2745
"11","Villapol_284_B",284,"WT","M","Sham","Vehicle","Baseline","PAN",1957
"12","Villapol_285_B",285,"WT","M","Sham","Vehicle","Baseline","PAN",609
"13","Villapol_286_B",286,"WT","M","Sham","Vehicle","Baseline","PAN",3173
"14","Villapol_287_B",287,"WT","M","Sham","Vehicle","Baseline","PAN",6865
"15","Villapol_288_B",288,"WT","M","Sham","Vehicle","Baseline","PAN",38
