"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_35d_244",244,"WT","F","CCI","PAN","35d","PAN",2.01512598236319
"2","Villapol_35d_245",245,"WT","F","CCI","PAN","35d","PAN",1.7610083498418
"3","Villapol_35d_246",246,"WT","F","CCI","PAN","35d","PAN",2.03849958773832
"4","Villapol_35d_247",247,"WT","F","CCI","PAN","35d","PAN",1.73647982432429
"5","Villapol_35d_248",248,"WT","F","CCI","PAN","35d","PAN",1.26192899434362
"6","Villapol_35d_249",249,"WT","F","CCI","PAN","35d","PAN",1.9052204558006
"7","Villapol_35d_250",250,"WT","F","CCI","PAN","35d","PAN",2.14696617180419
"8","Villapol_35d_251",251,"WT","F","CCI","PAN","35d","PAN",1.87084458922005
"9","Villapol_35d_252",252,"WT","F","CCI","PAN","35d","PAN",1.92987511967518
"10","Villapol_35d_253",253,"WT","F","CCI","PAN","35d","PAN",2.08837584248497
