"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_244",244,"WT","F","CCI","PAN","35d","PAN",7.18978565878612
"2","Villapol_35d_245",245,"WT","F","CCI","PAN","35d","PAN",6.51121547223924
"3","Villapol_35d_246",246,"WT","F","CCI","PAN","35d","PAN",7.20643697135334
"4","Villapol_35d_247",247,"WT","F","CCI","PAN","35d","PAN",6.97421796580831
"5","Villapol_35d_248",248,"WT","F","CCI","PAN","35d","PAN",5.57854367778015
"6","Villapol_35d_249",249,"WT","F","CCI","PAN","35d","PAN",5.82799546851456
"7","Villapol_35d_250",250,"WT","F","CCI","PAN","35d","PAN",5.48172830905051
"8","Villapol_35d_251",251,"WT","F","CCI","PAN","35d","PAN",6.07335593875108
"9","Villapol_35d_252",252,"WT","F","CCI","PAN","35d","PAN",5.50262388009399
"10","Villapol_35d_253",253,"WT","F","CCI","PAN","35d","PAN",5.78742041610971
