"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_35d_244",244,"WT","F","CCI","PAN","35d","PAN",3.45331497230144
"2","Villapol_35d_245",245,"WT","F","CCI","PAN","35d","PAN",3.7483864369213
"3","Villapol_35d_246",246,"WT","F","CCI","PAN","35d","PAN",3.82125591489999
"4","Villapol_35d_247",247,"WT","F","CCI","PAN","35d","PAN",3.42155842343522
"5","Villapol_35d_248",248,"WT","F","CCI","PAN","35d","PAN",4.41085965558812
"6","Villapol_35d_249",249,"WT","F","CCI","PAN","35d","PAN",4.17268399978591
"7","Villapol_35d_250",250,"WT","F","CCI","PAN","35d","PAN",4.32563080744
"8","Villapol_35d_251",251,"WT","F","CCI","PAN","35d","PAN",4.55789664348249
"9","Villapol_35d_252",252,"WT","F","CCI","PAN","35d","PAN",4.04365482462084
"10","Villapol_35d_253",253,"WT","F","CCI","PAN","35d","PAN",4.13632086500652
