"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_264",264,"WT","F","CCI","Vehicle","35d","PAN",5.94458763872608
"2","Villapol_35d_265",265,"WT","F","CCI","Vehicle","35d","PAN",5.24247850406493
"3","Villapol_35d_266",266,"WT","F","CCI","Vehicle","35d","PAN",6.44206048625516
"4","Villapol_35d_267",267,"WT","F","CCI","Vehicle","35d","PAN",7.52070583319536
"5","Villapol_35d_268",268,"WT","F","CCI","Vehicle","35d","PAN",6.62253371541966
"6","Villapol_35d_269",269,"WT","F","CCI","Vehicle","35d","PAN",6.75362774484985
"7","Villapol_35d_270",270,"WT","F","CCI","Vehicle","35d","PAN",5.96005077240712
"8","Villapol_35d_271",271,"WT","F","CCI","Vehicle","35d","PAN",6.79487078285355
"9","Villapol_35d_272",272,"WT","F","CCI","Vehicle","35d","PAN",5.86496747219257
"10","Villapol_35d_273",273,"WT","F","CCI","Vehicle","35d","PAN",5.72540760415601
