"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_35d_264",264,"WT","F","CCI","Vehicle","35d","PAN",-2.06932656121186
"2","Villapol_35d_265",265,"WT","F","CCI","Vehicle","35d","PAN",-2.19286488218425
"3","Villapol_35d_266",266,"WT","F","CCI","Vehicle","35d","PAN",-2.16444385677529
"4","Villapol_35d_267",267,"WT","F","CCI","Vehicle","35d","PAN",-1.89939400318259
"5","Villapol_35d_268",268,"WT","F","CCI","Vehicle","35d","PAN",-1.95352882483208
"6","Villapol_35d_269",269,"WT","F","CCI","Vehicle","35d","PAN",-1.89655698007416
"7","Villapol_35d_270",270,"WT","F","CCI","Vehicle","35d","PAN",-2.24210609026253
"8","Villapol_35d_271",271,"WT","F","CCI","Vehicle","35d","PAN",-2.07487401786085
"9","Villapol_35d_272",272,"WT","F","CCI","Vehicle","35d","PAN",-2.26548278158493
"10","Villapol_35d_273",273,"WT","F","CCI","Vehicle","35d","PAN",-2.00377648341605
