"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_244_B",244,"WT","F","CCI","PAN","Baseline","PAN",2.88040599517814
"2","Villapol_245_B",245,"WT","F","CCI","PAN","Baseline","PAN",2.91294802762702
"3","Villapol_246_B",246,"WT","F","CCI","PAN","Baseline","PAN",2.91242868654411
"4","Villapol_247_B",247,"WT","F","CCI","PAN","Baseline","PAN",3.43848997913153
"5","Villapol_248_B",248,"WT","F","CCI","PAN","Baseline","PAN",3.25346931859764
"6","Villapol_249_B",249,"WT","F","CCI","PAN","Baseline","PAN",3.06982633539949
"7","Villapol_250_B",250,"WT","F","CCI","PAN","Baseline","PAN",3.17747986873345
"8","Villapol_251_B",251,"WT","F","CCI","PAN","Baseline","PAN",2.41898915354191
"9","Villapol_252_B",252,"WT","F","CCI","PAN","Baseline","PAN",3.8110749005061
"10","Villapol_253_B",253,"WT","F","CCI","PAN","Baseline","PAN",2.58122459294621
"11","Villapol_279_B",279,"WT","F","Sham","PAN","Baseline","PAN",3.51233331578194
"12","Villapol_280_B",280,"WT","F","Sham","PAN","Baseline","PAN",2.12535930288936
"13","Villapol_281_B",281,"WT","F","Sham","PAN","Baseline","PAN",2.60950556952684
"14","Villapol_282_B",282,"WT","F","Sham","PAN","Baseline","PAN",2.24621326291622
"15","Villapol_283_B",283,"WT","F","Sham","PAN","Baseline","PAN",1.84207480127622
