"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_244_B",244,"WT","F","CCI","PAN","Baseline","PAN",6.1130665279744
"2","Villapol_245_B",245,"WT","F","CCI","PAN","Baseline","PAN",6.66557445765351
"3","Villapol_246_B",246,"WT","F","CCI","PAN","Baseline","PAN",6.06958724482649
"4","Villapol_247_B",247,"WT","F","CCI","PAN","Baseline","PAN",5.9400541828433
"5","Villapol_248_B",248,"WT","F","CCI","PAN","Baseline","PAN",5.36937438132032
"6","Villapol_249_B",249,"WT","F","CCI","PAN","Baseline","PAN",7.19274807209976
"7","Villapol_250_B",250,"WT","F","CCI","PAN","Baseline","PAN",6.76845295451283
"8","Villapol_251_B",251,"WT","F","CCI","PAN","Baseline","PAN",7.44870645153302
"9","Villapol_252_B",252,"WT","F","CCI","PAN","Baseline","PAN",6.603005115402
"10","Villapol_253_B",253,"WT","F","CCI","PAN","Baseline","PAN",6.99421389291069
"11","Villapol_279_B",279,"WT","F","Sham","PAN","Baseline","PAN",4.21317823822466
"12","Villapol_280_B",280,"WT","F","Sham","PAN","Baseline","PAN",5.65821605245902
"13","Villapol_281_B",281,"WT","F","Sham","PAN","Baseline","PAN",4.12129730047509
"14","Villapol_282_B",282,"WT","F","Sham","PAN","Baseline","PAN",6.17334358962489
"15","Villapol_283_B",283,"WT","F","Sham","PAN","Baseline","PAN",5.26563962921725
