"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_264_B",264,"WT","F","CCI","Vehicle","Baseline","PAN",6.70884266213517
"2","Villapol_265_B",265,"WT","F","CCI","Vehicle","Baseline","PAN",6.58806959024546
"3","Villapol_266_B",266,"WT","F","CCI","Vehicle","Baseline","PAN",6.85620660197628
"4","Villapol_267_B",267,"WT","F","CCI","Vehicle","Baseline","PAN",7.32589744314836
"5","Villapol_268_B",268,"WT","F","CCI","Vehicle","Baseline","PAN",6.42040410730529
"6","Villapol_269_B",269,"WT","F","CCI","Vehicle","Baseline","PAN",6.19643538037148
"7","Villapol_270_B",270,"WT","F","CCI","Vehicle","Baseline","PAN",6.14221839667051
"8","Villapol_271_B",271,"WT","F","CCI","Vehicle","Baseline","PAN",5.29749068821404
"9","Villapol_272_B",272,"WT","F","CCI","Vehicle","Baseline","PAN",6.74815103598949
"10","Villapol_273_B",273,"WT","F","CCI","Vehicle","Baseline","PAN",5.67920641930571
"11","Villapol_289_B",289,"WT","F","Sham","Vehicle","Baseline","PAN",6.64276962594316
"12","Villapol_290_B",290,"WT","F","Sham","Vehicle","Baseline","PAN",7.2592428653159
"13","Villapol_291_B",291,"WT","F","Sham","Vehicle","Baseline","PAN",6.37830746771961
"14","Villapol_292_B",292,"WT","F","Sham","Vehicle","Baseline","PAN",6.45793413810692
"15","Villapol_293_B",293,"WT","F","Sham","Vehicle","Baseline","PAN",6.15573490373651
