"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_234_B",234,"WT","M","CCI","PAN","Baseline","PAN",3.68958642198343
"2","Villapol_236_B",236,"WT","M","CCI","PAN","Baseline","PAN",3.21255550752847
"3","Villapol_237_B",237,"WT","M","CCI","PAN","Baseline","PAN",3.08604665387378
"4","Villapol_238_B",238,"WT","M","CCI","PAN","Baseline","PAN",3.22670739651644
"5","Villapol_239_B",239,"WT","M","CCI","PAN","Baseline","PAN",1.98877141914892
"6","Villapol_240_B",240,"WT","M","CCI","PAN","Baseline","PAN",2.09842930016856
"7","Villapol_241_B",241,"WT","M","CCI","PAN","Baseline","PAN",2.4773067570595
"8","Villapol_242_B",242,"WT","M","CCI","PAN","Baseline","PAN",2.7380557565021
"9","Villapol_243_B",243,"WT","M","CCI","PAN","Baseline","PAN",2.10791389935
"10","Villapol_274_B",274,"WT","M","Sham","PAN","Baseline","PAN",2.88568639306822
"11","Villapol_275_B",275,"WT","M","Sham","PAN","Baseline","PAN",2.71932055103931
"12","Villapol_276_B",276,"WT","M","Sham","PAN","Baseline","PAN",2.24850422117651
"13","Villapol_277_B",277,"WT","M","Sham","PAN","Baseline","PAN",2.63630070013576
"14","Villapol_278_B",278,"WT","M","Sham","PAN","Baseline","PAN",2.88443479043271
