"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_234_B",234,"WT","M","CCI","PAN","Baseline","PAN",6.80424104348953
"2","Villapol_236_B",236,"WT","M","CCI","PAN","Baseline","PAN",6.71176689956324
"3","Villapol_237_B",237,"WT","M","CCI","PAN","Baseline","PAN",6.38700398214261
"4","Villapol_238_B",238,"WT","M","CCI","PAN","Baseline","PAN",6.35961315062079
"5","Villapol_239_B",239,"WT","M","CCI","PAN","Baseline","PAN",5.75946497202668
"6","Villapol_240_B",240,"WT","M","CCI","PAN","Baseline","PAN",6.34644407787241
"7","Villapol_241_B",241,"WT","M","CCI","PAN","Baseline","PAN",6.40665406703973
"8","Villapol_242_B",242,"WT","M","CCI","PAN","Baseline","PAN",6.1513556384938
"9","Villapol_243_B",243,"WT","M","CCI","PAN","Baseline","PAN",6.00148325562007
"10","Villapol_274_B",274,"WT","M","Sham","PAN","Baseline","PAN",6.37931837361051
"11","Villapol_275_B",275,"WT","M","Sham","PAN","Baseline","PAN",6.85243939518888
"12","Villapol_276_B",276,"WT","M","Sham","PAN","Baseline","PAN",6.63702791363678
"13","Villapol_277_B",277,"WT","M","Sham","PAN","Baseline","PAN",6.09220671824636
"14","Villapol_278_B",278,"WT","M","Sham","PAN","Baseline","PAN",6.90257027861389
