"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_234_B",234,"WT","M","CCI","PAN","Baseline","PAN",2.19499399166769
"2","Villapol_236_B",236,"WT","M","CCI","PAN","Baseline","PAN",1.98945446409738
"3","Villapol_237_B",237,"WT","M","CCI","PAN","Baseline","PAN",2.48513126070268
"4","Villapol_238_B",238,"WT","M","CCI","PAN","Baseline","PAN",2.8953377288056
"5","Villapol_239_B",239,"WT","M","CCI","PAN","Baseline","PAN",2.02601204218269
"6","Villapol_240_B",240,"WT","M","CCI","PAN","Baseline","PAN",1.82574185566936
"7","Villapol_241_B",241,"WT","M","CCI","PAN","Baseline","PAN",2.17631190095824
"8","Villapol_242_B",242,"WT","M","CCI","PAN","Baseline","PAN",2.13952102164173
"9","Villapol_243_B",243,"WT","M","CCI","PAN","Baseline","PAN",1.94052116174541
"10","Villapol_274_B",274,"WT","M","Sham","PAN","Baseline","PAN",2.35138254833487
"11","Villapol_275_B",275,"WT","M","Sham","PAN","Baseline","PAN",1.69766930350733
"12","Villapol_276_B",276,"WT","M","Sham","PAN","Baseline","PAN",1.81142927657726
"13","Villapol_277_B",277,"WT","M","Sham","PAN","Baseline","PAN",2.29972243543972
"14","Villapol_278_B",278,"WT","M","Sham","PAN","Baseline","PAN",1.61137407669977
