"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_254_B",254,"WT","M","CCI","Vehicle","Baseline","PAN",6.69442939290726
"2","Villapol_255_B",255,"WT","M","CCI","Vehicle","Baseline","PAN",6.61854819421189
"3","Villapol_256_B",256,"WT","M","CCI","Vehicle","Baseline","PAN",5.90808026315915
"4","Villapol_257_B",257,"WT","M","CCI","Vehicle","Baseline","PAN",5.92977419642849
"5","Villapol_258_B",258,"WT","M","CCI","Vehicle","Baseline","PAN",6.05048614375644
"6","Villapol_259_B",259,"WT","M","CCI","Vehicle","Baseline","PAN",5.72604785277372
"7","Villapol_260_B",260,"WT","M","CCI","Vehicle","Baseline","PAN",5.63858473629291
"8","Villapol_261_B",261,"WT","M","CCI","Vehicle","Baseline","PAN",5.85179286323507
"9","Villapol_262_B",262,"WT","M","CCI","Vehicle","Baseline","PAN",5.85684793594422
"10","Villapol_263_B",263,"WT","M","CCI","Vehicle","Baseline","PAN",6.30243549050205
"11","Villapol_284_B",284,"WT","M","Sham","Vehicle","Baseline","PAN",5.55652610043025
"12","Villapol_285_B",285,"WT","M","Sham","Vehicle","Baseline","PAN",4.37351079926665
"13","Villapol_286_B",286,"WT","M","Sham","Vehicle","Baseline","PAN",6.10839156443297
"14","Villapol_287_B",287,"WT","M","Sham","Vehicle","Baseline","PAN",6.37978987086345
"15","Villapol_288_B",288,"WT","M","Sham","Vehicle","Baseline","PAN",1.61320656766308
